Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-006,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Simon Adingra,ci CIV,"FW,MF",Brighton,22-273,2002,1.5,1,5,1,20.0,3.28,0.66,0.20,1.00,14.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
3,Ola Aina,ng NGA,DF,Nott'ham Forest,27-358,1996,5.6,0,2,0,0.0,0.36,0.00,0.00,,30.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
4,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,23-116,2001,5.3,1,8,2,25.0,1.52,0.38,0.13,0.50,15.2,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches
5,Kristoffer Ajer,no NOR,DF,Brentford,26-166,1998,5.1,0,1,1,100.0,0.20,0.20,0.00,0.00,6.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
6,Manuel Akanji,ch SUI,DF,Manchester City,29-073,1995,6.0,0,4,0,0.0,0.67,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
7,Nathan Aké,nl NED,DF,Manchester City,29-225,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Carlos Alcaraz,ar ARG,MF,Southampton,21-305,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
9,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-359,1998,5.5,0,6,1,16.7,1.10,0.18,0.00,0.00,25.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
10,Alisson,br BRA,GK,Liverpool,31-364,1992,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Miguel Almirón,py PAR,FW,Newcastle Utd,30-233,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Edson Álvarez,mx MEX,"MF,DF",West Ham,26-342,1997,2.5,0,2,0,0.0,0.81,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
13,Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-074,2006,0.1,0,1,0,0.0,9.00,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
14,Joachim Andersen,dk DEN,DF,Crystal Palace,28-122,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
15,Joachim Andersen,dk DEN,DF,Fulham,28-122,1996,3.0,0,5,1,20.0,1.67,0.33,0.00,0.00,17.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
16,Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-329,2002,4.0,0,4,0,0.0,1.01,0.00,0.00,,20.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
17,André,br BRA,MF,Wolves,23-076,2001,2.9,0,1,0,0.0,0.34,0.00,0.00,,14.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
18,Michail Antonio,jm JAM,FW,West Ham,34-186,1990,4.0,0,10,1,10.0,2.51,0.25,0.00,0.00,12.6,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
19,Antony,br BRA,FW,Manchester Utd,24-219,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20,Julian Araujo,mx MEX,DF,Bournemouth,23-048,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Cameron Archer,eng ENG,FW,Southampton,23-071,2001,2.3,0,7,3,42.9,3.07,1.32,0.00,0.00,14.2,0,0,1,2.3,1.5,0.21,-2.3,-1.5,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,31-216,1993,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Joe Aribo,ng NGA,MF,Southampton,28-071,1996,2.5,0,2,0,0.0,0.80,0.00,0.00,,10.5,0,0,0,0.5,0.5,0.27,-0.5,-0.5,Matches
24,Adam Armstrong,eng ENG,FW,Southampton,27-233,1997,2.4,0,7,1,14.3,2.94,0.42,0.00,0.00,19.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
25,Harrison Armstrong,eng ENG,MF,Everton,17-255,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29-363,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-049,1997,0.9,0,2,1,50.0,2.25,1.13,0.00,0.00,9.4,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
28,Yasin Ayari,se SWE,MF,Brighton,20-360,2003,2.2,0,6,1,16.7,2.69,0.45,0.00,0.00,17.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,0.2,0,1,0,0.0,4.29,0.00,0.00,,5.5,0,0,0,0.5,0.5,0.46,-0.5,-0.5,Matches
30,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,3.0,0,6,1,16.7,1.98,0.33,0.00,0.00,20.2,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
