Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-006,1997,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2,Simon Adingra,ci CIV,"FW,MF",Brighton,22-273,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53,Matches
3,Ola Aina,ng NGA,DF,Nott'ham Forest,27-358,1996,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,14,25,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05,Matches
4,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,23-116,2001,6,6,473,5.3,1,1,2,1,0,0,3,0,0.9,0.9,0.7,1.6,12,21,16,0.19,0.19,0.38,0.19,0.38,0.18,0.13,0.31,0.18,0.31,Matches
5,Kristoffer Ajer,no NOR,DF,Brentford,26-166,1998,6,6,457,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,10,17,10,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
6,Manuel Akanji,ch SUI,DF,Manchester City,29-073,1995,6,6,540,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,12,54,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
7,Nathan Aké,nl NED,DF,Manchester City,29-225,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Carlos Alcaraz,ar ARG,MF,Southampton,21-305,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
9,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-359,1998,6,6,492,5.5,0,1,1,0,0,0,2,0,0.3,0.3,1.7,2.0,18,35,21,0.00,0.18,0.18,0.00,0.18,0.05,0.31,0.36,0.05,0.36,Matches
10,Alisson,br BRA,GK,Liverpool,31-364,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Miguel Almirón,py PAR,FW,Newcastle Utd,30-233,1994,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Edson Álvarez,mx MEX,"MF,DF",West Ham,26-342,1997,4,3,223,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,1,11,3,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
13,Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-074,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80,Matches
14,Joachim Andersen,dk DEN,DF,Crystal Palace,28-122,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
15,Joachim Andersen,dk DEN,DF,Fulham,28-122,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,Matches
16,Elliot Anderson,eng ENG,"MF,FW",Nott'ham Forest,21-329,2002,6,5,356,4.0,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,9,14,18,0.00,0.25,0.25,0.00,0.25,0.03,0.04,0.07,0.03,0.07,Matches
17,André,br BRA,MF,Wolves,23-076,2001,4,3,261,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
18,Michail Antonio,jm JAM,FW,West Ham,34-186,1990,6,5,359,4.0,0,1,1,0,0,0,1,0,1.3,1.3,0.2,1.5,9,8,26,0.00,0.25,0.25,0.00,0.25,0.31,0.06,0.37,0.31,0.37,Matches
19,Antony,br BRA,FW,Manchester Utd,24-219,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,6.28,6.28,0.00,6.28,Matches
20,Julian Araujo,mx MEX,DF,Bournemouth,23-048,2001,5,3,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Cameron Archer,eng ENG,FW,Southampton,23-071,2001,5,2,205,2.3,0,0,0,0,0,1,0,0,2.3,1.5,0.0,1.5,3,2,10,0.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,0.66,0.66,Matches
22,Alphonse Areola,fr FRA,GK,West Ham,31-216,1993,6,6,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Joe Aribo,ng NGA,MF,Southampton,28-071,1996,4,3,226,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,12,11,14,0.00,0.00,0.00,0.00,0.00,0.21,0.26,0.47,0.21,0.47,Matches
24,Adam Armstrong,eng ENG,FW,Southampton,27-233,1997,4,3,214,2.4,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,5,5,14,0.00,0.00,0.00,0.00,0.00,0.33,0.05,0.37,0.33,0.37,Matches
25,Harrison Armstrong,eng ENG,MF,Everton,17-255,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29-363,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-049,1997,4,1,80,0.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,7,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches
28,Yasin Ayari,se SWE,MF,Brighton,20-360,2003,5,1,201,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,5,9,12,0.00,0.00,0.00,0.00,0.00,0.24,0.04,0.28,0.24,0.28,Matches
29,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-019,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches
30,Jordan Ayew,gh GHA,FW,Leicester City,33-019,1991,5,3,273,3.0,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,5,8,0.00,0.00,0.00,0.00,0.00,0.10,0.02,0.12,0.10,0.12,Matches
31,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-052,1997,5,4,286,3.2,0,1,1,0,0,0,1,0,0.3,0.3,0.7,1.0,16,11,24,0.00,0.31,0.31,0.00,0.31,0.10,0.21,0.31,0.10,0.31,Matches
32,Carlos Baleba,cm CMR,MF,Brighton,20-271,2004,5,4,349,3.9,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,6,24,2,0.26,0.26,0.52,0.26,0.52,0.19,0.05,0.24,0.19,0.24,Matches
33,Ross Barkley,eng ENG,MF,Aston Villa,30-300,1993,5,0,126,1.4,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,4,5,1,0.00,0.71,0.71,0.00,0.71,0.09,0.07,0.17,0.09,0.17,Matches
34,Harvey Barnes,eng ENG,FW,Newcastle Utd,26-296,1997,6,3,324,3.6,3,1,4,3,0,0,0,0,1.8,1.8,1.6,3.5,14,17,29,0.83,0.28,1.11,0.83,1.11,0.51,0.45,0.96,0.51,0.96,Matches
35,Calvin Bassey,ng NGA,DF,Fulham,24-274,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,19,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
36,Jan Bednarek,pl POL,DF,Southampton,28-171,1996,5,5,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
37,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-095,1998,6,6,388,4.3,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,5,19,0.23,0.00,0.23,0.23,0.23,0.07,0.05,0.12,0.07,0.12,Matches
