Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,2.9,8,2.80,3,0,0,4,1,0,3,1.05,1,0,0,1,1,0,Matches
4,Federico Accornero,it ITA,MF,Genoa,20-238,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,3.9,12,3.04,9,0,0,1,2,0,1,0.25,1,0,0,0,0,0,Matches
7,Yacine Adli,fr FRA,MF,Fiorentina,24-063,2000,0.7,4,5.37,1,2,1,0,0,0,2,2.69,0,1,1,0,0,0,Matches
8,Michel Aebischer,ch SUI,MF,Bologna,27-268,1997,3.7,8,2.16,6,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
9,Honest Ahanor,it ITA,DF,Genoa,16-220,2008,0.8,1,1.32,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
10,David Akpan Ankeye,ng NGA,FW,Genoa,22-229,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-074,2001,0.7,2,3.05,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
12,Pontus Almqvist,se SWE,FW,Parma,25-082,1999,1.4,4,2.90,3,0,1,0,0,0,1,0.73,1,0,0,0,0,0,Matches
13,Giorgio Altare,it ITA,DF,Venezia,26-052,1998,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-040,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Angeliño,es ESP,DF,Roma,27-270,1997,6.0,17,2.83,15,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Lorenzo Anghelè,it ITA,FW,Juventus,19-217,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Faustino Anjorin,eng ENG,MF,Empoli,22-312,2001,1.7,2,1.16,2,0,0,0,0,0,1,0.58,1,0,0,0,0,0,Matches
18,Marko Arnautović,at AUT,FW,Inter,35-164,1989,0.4,1,2.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Kristjan Asllani,al ALB,MF,Inter,22-205,2002,1.6,5,3.10,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Arthur Atta,fr FRA,MF,Udinese,21-260,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Emil Audero,it ITA,GK,Como,27-256,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Tommaso Augello,it ITA,DF,Cagliari,30-031,1994,4.5,14,3.08,10,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Carlos Augusto,br BRA,DF,Inter,25-267,1999,2.1,2,0.95,0,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,23-306,2000,2.0,2,1.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Paulo Azzi,br BRA,DF,Cagliari,30-077,1994,3.7,15,4.02,9,2,1,2,0,1,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Milan Badelj,hr CRO,MF,Genoa,35-218,1989,4.4,10,2.26,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
27,Mitchel Bakker,nl NED,MF,Atalanta,24-102,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
