Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Emil Audero,it ITA,GK,Como,27-256,1997,3.0,6,2,0,1,0,4.2,0.23,-1.8,-0.60,9,36,25.0,112,8,30.4,31.9,6,33.3,32.7,42,4,9.5,1,0.33,10.1,Matches
2,Elia Caprile,it ITA,GK,Napoli,23-036,2001,1.6,0,0,0,0,0,0.8,0.41,+0.8,+0.51,4,9,44.4,25,4,28.0,30.6,3,66.7,49.0,16,1,6.3,0,0.00,6.5,Matches
3,Marco Carnesecchi,it ITA,GK,Atalanta,24-091,2000,5.0,12,0,0,2,2,8.2,0.38,-1.8,-0.36,14,50,28.0,111,16,27.9,32.9,31,61.3,46.5,38,3,7.9,9,1.80,18.5,Matches
4,Leandro Chichizola,ar ARG,GK,Parma,34-187,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,8,37.5,34.4,21,2,9.5,2,2.00,16.3,Matches
5,Michele Di Gregorio,it ITA,GK,Juventus,27-065,1997,4.0,0,0,0,0,0,0.5,0.16,+0.5,+0.12,9,24,37.5,83,13,16.9,26.8,22,45.5,40.2,45,5,11.1,2,0.50,11.5,Matches
6,Wladimiro Falcone,it ITA,GK,Lecce,29-171,1995,6.0,11,2,0,1,0,8.7,0.26,-2.3,-0.39,29,89,32.6,138,24,50.7,38.2,28,67.9,48.9,93,4,4.3,4,0.67,10.7,Matches
7,David de Gea,es ESP,GK,Fiorentina,33-328,1990,3.0,4,0,0,0,0,2.6,0.18,-1.4,-0.47,18,31,58.1,78,14,30.8,30.9,22,31.8,34.5,41,1,2.4,1,0.33,9.3,Matches
8,Pierluigi Gollini,it ITA,GK,Genoa,29-196,1995,6.0,10,2,0,0,0,9.4,0.29,-0.6,-0.09,29,67,43.3,159,17,27.7,31.3,44,52.3,45.3,81,2,2.5,2,0.33,10.1,Matches
9,Jesse Joronen,fi FIN,GK,Venezia,31-193,1993,6.0,10,3,0,3,1,8.8,0.20,-0.2,-0.03,16,65,24.6,213,41,27.2,30.4,26,26.9,34.8,91,6,6.6,4,0.67,9.7,Matches
