Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
3,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,2.9,26,35,74.3,351,63,15,21,71.4,9,11,81.8,1,2,50.0,1,0.3,0.2,+0.7,2,1,2,0,3,Matches
4,Federico Accornero,it ITA,MF,Genoa,20-238,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
5,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5.0,348,366,95.1,6500,1867,114,121,94.2,206,210,98.1,23,27,85.2,0,0.0,0.1,0.0,0,14,1,0,16,Matches
6,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,3.9,64,93,68.8,1011,160,34,43,79.1,22,30,73.3,4,8,50.0,1,0.7,0.3,+0.3,5,5,1,0,4,Matches
7,Yacine Adli,fr FRA,MF,Fiorentina,24-063,2000,0.7,49,69,71.0,1098,343,16,20,80.0,22,30,73.3,11,17,64.7,1,0.2,0.1,+0.8,2,6,1,0,5,Matches
8,Michel Aebischer,ch SUI,MF,Bologna,27-268,1997,3.7,158,184,85.9,2821,687,72,79,91.1,69,77,89.6,16,19,84.2,0,0.2,0.3,-0.2,5,17,2,0,18,Matches
9,Honest Ahanor,it ITA,DF,Genoa,16-220,2008,0.8,8,11,72.7,158,41,3,4,75.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
10,David Akpan Ankeye,ng NGA,FW,Genoa,22-229,2002,0.2,4,4,100.0,45,25,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
11,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-074,2001,0.7,15,19,78.9,185,42,6,6,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1,Matches
12,Pontus Almqvist,se SWE,FW,Parma,25-082,1999,1.4,31,44,70.5,415,82,20,25,80.0,9,11,81.8,1,2,50.0,1,0.8,0.4,+0.2,2,0,1,0,2,Matches
13,Giorgio Altare,it ITA,DF,Venezia,26-052,1998,2.2,72,103,69.9,1359,421,22,27,81.5,44,58,75.9,4,14,28.6,0,0.0,0.0,0.0,0,1,0,0,4,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-040,1996,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14,Matches
15,Angeliño,es ESP,DF,Roma,27-270,1997,6.0,403,475,84.8,7184,2736,182,192,94.8,185,214,86.4,34,62,54.8,0,0.2,0.6,-0.2,5,47,13,4,52,Matches
16,Lorenzo Anghelè,it ITA,FW,Juventus,19-217,2005,0.1,4,4,100.0,82,12,2,2,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
17,Faustino Anjorin,eng ENG,MF,Empoli,22-312,2001,1.7,55,70,78.6,925,293,28,31,90.3,23,27,85.2,3,9,33.3,1,0.4,0.2,+0.6,1,5,1,0,5,Matches
18,Marko Arnautović,at AUT,FW,Inter,35-164,1989,0.4,10,15,66.7,125,42,6,8,75.0,3,5,60.0,0,0,,0,0.0,0.1,0.0,0,0,2,0,3,Matches
19,Kristjan Asllani,al ALB,MF,Inter,22-205,2002,1.6,147,165,89.1,2736,718,59,62,95.2,68,72,94.4,17,22,77.3,0,0.6,0.6,-0.6,3,18,3,1,11,Matches
20,Arthur Atta,fr FRA,MF,Udinese,21-260,2003,0.2,8,11,72.7,117,0,5,5,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Emil Audero,it ITA,GK,Como,27-256,1997,3.0,88,118,74.6,2061,1355,26,26,100.0,46,46,100.0,16,46,34.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
22,Tommaso Augello,it ITA,DF,Cagliari,30-031,1994,4.5,180,263,68.4,3403,1337,71,80,88.8,87,122,71.3,22,48,45.8,0,0.6,0.8,-0.6,5,14,6,2,22,Matches
23,Carlos Augusto,br BRA,DF,Inter,25-267,1999,2.1,110,122,90.2,1869,455,51,51,100.0,53,55,96.4,5,10,50.0,0,0.0,0.0,0.0,0,5,0,0,10,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,23-306,2000,2.0,129,139,92.8,2211,495,53,54,98.1,70,76,92.1,4,5,80.0,0,0.0,0.1,0.0,0,6,1,0,10,Matches
25,Paulo Azzi,br BRA,DF,Cagliari,30-077,1994,3.7,106,155,68.4,1879,730,51,65,78.5,42,58,72.4,11,25,44.0,0,0.9,0.7,-0.9,5,7,6,4,12,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Milan Badelj,hr CRO,MF,Genoa,35-218,1989,4.4,167,215,77.7,2849,925,80,99,80.8,71,79,89.9,14,27,51.9,0,0.3,0.3,-0.3,7,15,2,0,20,Matches
27,Mitchel Bakker,nl NED,MF,Atalanta,24-102,2000,0.2,7,9,77.8,109,22,2,3,66.7,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
28,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21-191,2003,1.7,52,63,82.5,694,150,34,38,89.5,17,20,85.0,0,1,0.0,1,0.1,0.2,+0.9,2,2,2,0,4,Matches
29,Botond Balogh,hu HUN,DF,Parma,22-116,2002,4.8,167,187,89.3,3243,932,44,48,91.7,102,109,93.6,17,25,68.0,0,0.0,0.0,0.0,0,3,0,0,6,Matches
30,Lameck Banda,zm ZAM,"FW,MF",Lecce,23-245,2001,2.7,61,74,82.4,876,173,41,45,91.1,15,19,78.9,3,8,37.5,0,0.4,0.3,-0.4,6,0,3,1,4,Matches
31,Daniel Bandeira,pt POR,MF,Hellas Verona,24-172,2000,2.5,101,125,80.8,1452,408,58,66,87.9,31,36,86.1,5,14,35.7,0,0.0,0.0,0.0,1,8,0,0,14,Matches
32,Mattia Bani,it ITA,DF,Genoa,30-295,1993,3.5,115,132,87.1,2231,931,36,39,92.3,62,67,92.5,16,22,72.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
33,Antonín Barák,cz CZE,MF,Fiorentina,29-302,1994,0.6,17,20,85.0,228,77,8,10,80.0,8,9,88.9,0,0,,0,0.3,0.1,-0.3,3,1,1,0,2,Matches
34,Federico Barba,it ITA,DF,Como,31-029,1993,2.0,101,113,89.4,1616,466,56,60,93.3,36,40,90.0,6,10,60.0,0,0.0,0.0,0.0,0,5,0,0,8,Matches
35,Nicolò Barella,it ITA,MF,Inter,27-236,1997,3.5,167,201,83.1,2829,747,84,95,88.4,70,76,92.1,11,20,55.0,1,0.7,0.8,+0.3,7,19,5,2,22,Matches
36,Davide Bartesaghi,it ITA,DF,Milan,18-276,2005,0.1,3,3,100.0,53,15,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
37,Federico Baschirotto,it ITA,DF,Lecce,28-010,1996,6.0,198,220,90.0,3676,1331,71,77,92.2,102,110,92.7,22,27,81.5,0,0.0,0.0,0.0,1,5,0,0,6,Matches
38,Daniele Baselli,it ITA,MF,Como,32-202,1992,0.2,24,27,88.9,437,123,7,8,87.5,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
39,Alessandro Bastoni,it ITA,DF,Inter,25-170,1999,4.4,329,374,88.0,6058,1832,142,148,95.9,150,159,94.3,34,56,60.7,0,0.2,0.4,-0.2,3,21,10,4,28,Matches
40,Reda Belahyane,fr FRA,MF,Hellas Verona,20-121,2004,5.8,192,227,84.6,3090,885,99,109,90.8,68,77,88.3,17,29,58.6,1,0.2,0.2,+0.8,2,23,2,0,26,Matches
41,Raoul Bellanova,it ITA,DF,Torino,24-136,2000,1.0,31,43,72.1,541,130,15,17,88.2,13,18,72.2,3,6,50.0,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
42,Raoul Bellanova,it ITA,DF,Atalanta,24-136,2000,3.3,109,137,79.6,1836,667,46,50,92.0,55,68,80.9,7,12,58.3,0,0.7,0.5,-0.7,3,8,4,3,14,Matches
43,Andrea Belotti,it ITA,FW,Como,30-285,1993,2.2,30,39,76.9,368,65,15,19,78.9,9,11,81.8,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,3,Matches
44,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,23-185,2001,1.0,33,45,73.3,498,105,15,19,78.9,15,19,78.9,1,5,20.0,0,0.0,0.0,0.0,1,5,0,0,7,Matches
45,Ismaël Bennacer,dz ALG,MF,Milan,26-304,1997,0.6,43,47,91.5,752,174,23,23,100.0,15,15,100.0,5,9,55.6,0,0.1,0.1,-0.1,1,4,0,0,4,Matches
46,Medon Berisha,al ALB,"MF,FW",Lecce,20-345,2003,0.9,42,53,79.2,760,240,20,22,90.9,13,16,81.3,8,13,61.5,0,0.1,0.2,-0.1,3,4,1,0,5,Matches
47,Adrian Bernabe,es ESP,MF,Parma,23-127,2001,4.9,250,297,84.2,4868,1700,100,114,87.7,100,114,87.7,39,53,73.6,0,0.4,0.4,-0.4,8,35,5,0,39,Matches
48,Sam Beukema,nl NED,DF,Bologna,25-318,1998,5.5,349,396,88.1,7196,2216,91,102,89.2,219,233,94.0,34,46,73.9,1,0.6,0.2,+0.4,4,39,2,0,33,Matches
49,Alessandro Bianco,it ITA,MF,Monza,21-365,2002,2.1,112,128,87.5,2121,497,34,40,85.0,64,67,95.5,10,15,66.7,0,0.1,0.1,-0.1,3,13,0,0,11,Matches
50,Alessandro Bianco,it ITA,MF,Fiorentina,21-365,2002,0.2,9,12,75.0,191,17,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Jaka Bijol,si SVN,DF,Udinese,25-238,1999,6.0,186,232,80.2,3764,1383,56,66,84.8,108,121,89.3,22,41,53.7,0,0.0,0.0,0.0,1,8,0,0,10,Matches
52,Cristiano Biraghi,it ITA,DF,Fiorentina,32-029,1992,4.5,250,300,83.3,4619,1637,100,108,92.6,122,132,92.4,25,50,50.0,0,0.2,0.4,-0.2,5,14,1,1,14,Matches
53,Samuele Birindelli,it ITA,DF,Monza,25-073,1999,1.9,69,87,79.3,1130,290,36,41,87.8,27,33,81.8,5,9,55.6,0,0.0,0.1,0.0,1,4,2,2,5,Matches
54,Emil Bohinen,no NOR,MF,Genoa,25-202,1999,0.8,29,37,78.4,467,71,15,18,83.3,11,11,100.0,2,2,100.0,0,0.1,0.0,-0.1,2,0,0,0,2,Matches
55,Warren Bondo,fr FRA,MF,Monza,21-015,2003,5.1,183,200,91.5,2913,397,89,97,91.8,83,87,95.4,7,11,63.6,0,0.0,0.1,0.0,1,17,0,0,7,Matches
56,Ange-Yoan Bonny,fr FRA,FW,Parma,20-341,2003,4.3,67,88,76.1,914,183,34,40,85.0,26,31,83.9,2,4,50.0,1,0.9,0.4,+0.1,10,1,4,0,8,Matches
57,Edoardo Bove,it ITA,MF,Fiorentina,22-137,2002,3.2,78,95,82.1,1371,303,37,40,92.5,25,28,89.3,11,15,73.3,0,0.1,0.1,-0.1,4,7,2,0,11,Matches
58,Domagoj Bradarić,hr CRO,MF,Hellas Verona,24-295,1999,0.0,3,4,75.0,34,0,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
59,Matthias Braunöder,at AUT,MF,Como,22-187,2002,1.5,47,53,88.7,847,198,21,23,91.3,20,21,95.2,5,7,71.4,0,0.0,0.0,0.0,0,5,0,0,8,Matches
60,Iker Bravo,es ESP,MF,Udinese,19-261,2005,0.5,14,15,93.3,189,68,9,10,90.0,1,1,100.0,2,2,100.0,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
61,Gleison Bremer,br BRA,DF,Juventus,27-196,1997,6.0,468,504,92.9,9245,3225,142,149,95.3,279,295,94.6,46,57,80.7,0,0.0,0.1,0.0,0,26,0,0,21,Matches
62,Brenner,br BRA,"MF,FW",Udinese,24-258,2000,3.6,65,83,78.3,1128,231,31,34,91.2,23,29,79.3,10,13,76.9,2,0.5,0.1,+1.5,4,5,1,1,4,Matches
63,Marco Brescianini,it ITA,MF,Atalanta,24-254,2000,4.1,91,112,81.3,1320,287,56,62,90.3,33,40,82.5,1,3,33.3,0,0.3,0.3,-0.3,3,5,4,0,13,Matches
64,Alessandro Buongiorno,it ITA,DF,Napoli,25-116,1999,5.0,201,230,87.4,3395,1238,89,96,92.7,97,105,92.4,12,23,52.2,0,0.0,0.0,0.0,2,14,0,0,19,Matches
65,Gianluca Busio,us USA,MF,Venezia,22-125,2002,2.8,69,89,77.5,1160,291,35,41,85.4,26,30,86.7,7,12,58.3,0,0.4,0.1,-0.4,5,7,2,0,8,Matches
66,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-003,2000,0.7,21,31,67.7,278,132,13,14,92.9,4,9,44.4,2,5,40.0,0,0.1,0.1,-0.1,3,5,1,1,2,Matches
67,Davide Calabria,it ITA,DF,Milan,27-299,1996,1.6,102,111,91.9,1771,387,44,45,97.8,52,56,92.9,4,8,50.0,0,0.2,0.1,-0.2,1,14,1,1,16,Matches
68,Luca Caldirola,it ITA,DF,Monza,33-242,1991,2.1,142,159,89.3,2575,1006,56,58,96.6,72,78,92.3,13,20,65.0,0,0.0,0.2,0.0,0,6,1,0,7,Matches
69,Hakan Çalhanoğlu,tr TUR,MF,Inter,30-235,1994,4.1,304,335,90.7,6027,1813,107,116,92.2,147,154,95.5,44,56,78.6,0,0.7,0.8,-0.7,5,35,7,4,30,Matches
70,Drissa Camara,ci CIV,FW,Parma,22-225,2002,0.3,7,10,70.0,100,27,4,6,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
71,Nicolò Cambiaghi,it ITA,FW,Bologna,23-277,2000,0.2,12,17,70.6,144,23,9,11,81.8,2,3,66.7,0,0,,0,0.0,0.1,0.0,0,1,1,0,2,Matches
72,Andrea Cambiaso,it ITA,"DF,FW",Juventus,24-223,2000,5.1,285,314,90.8,4738,905,130,137,94.9,125,133,94.0,19,25,76.0,0,0.6,0.3,-0.6,5,18,7,3,18,Matches
73,Matteo Cancellieri,it ITA,"FW,MF",Parma,22-231,2002,1.7,28,44,63.6,379,83,17,23,73.9,7,9,77.8,2,7,28.6,0,0.0,0.0,0.0,1,2,0,0,4,Matches
74,Antonio Candela,it ITA,DF,Venezia,24-156,2000,4.9,108,141,76.6,1709,752,52,61,85.2,46,60,76.7,7,14,50.0,1,0.3,0.2,+0.7,4,8,2,2,4,Matches
75,Gianluca Caprari,it ITA,MF,Monza,31-062,1993,2.2,63,75,84.0,1099,195,32,33,97.0,24,30,80.0,6,9,66.7,0,0.1,0.2,-0.1,2,0,1,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
