Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
1,James Abankwah,ie IRL,DF,Udinese,20-258,2004,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-074,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,1,7,7,1.3,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.34,0.0,0.0,0.0,-0.61,-0.75,Matches
4,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,1,1,1,0.2,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.50,0.0,0.1,0.0,-3.09,-3.33,Matches
5,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,4,257,64,47.6,2.9,3,79,0,1,20,0,2.50,10,1,+9,+3.15,+3.79,5.1,1.5,+3.6,+1.28,+0.99,Matches
6,Federico Accornero,it ITA,MF,Genoa,20-238,2004,1,5,5,0.9,0.1,0,,0,1,5,4,0.00,0,0,0,0.00,+1.01,0.0,0.0,0.0,+0.71,+1.37,Matches
7,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5,450,90,83.3,5.0,5,90,5,0,,1,2.00,12,6,+6,+1.20,+1.20,8.5,6.2,+2.3,+0.46,-0.95,Matches
8,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,6,355,59,65.7,3.9,3,85,1,3,33,0,1.83,6,6,0,0.00,-0.97,4.7,8.1,-3.4,-0.85,-1.34,Matches
9,Vernon Addo,,MF,Lecce,,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
