Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
2,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,Matches
3,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,2.9,67,5,7,33,27,14,66,4,0,0.0,4,100.0,30,60,18,0,0,0,5,2,39,17,Matches
4,Federico Accornero,it ITA,MF,Genoa,20-238,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,Matches
5,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5.0,409,43,185,216,9,1,409,0,0,,0,,283,1373,717,4,3,0,1,1,325,1,Matches
6,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,3.9,126,2,9,64,54,12,126,2,1,50.0,1,50.0,75,331,107,3,3,0,8,3,92,20,Matches
7,Yacine Adli,fr FRA,MF,Fiorentina,24-063,2000,0.7,75,2,10,44,21,1,75,2,2,100.0,0,0.0,46,317,156,4,2,0,0,0,51,1,Matches
8,Michel Aebischer,ch SUI,MF,Bologna,27-268,1997,3.7,221,4,30,132,60,7,221,3,1,33.3,1,33.3,120,470,173,4,6,2,4,1,153,8,Matches
9,Honest Ahanor,it ITA,DF,Genoa,16-220,2008,0.8,16,1,4,4,8,0,16,1,0,0.0,0,0.0,10,80,24,1,0,0,1,1,8,2,Matches
10,David Akpan Ankeye,ng NGA,FW,Genoa,22-229,2002,0.2,4,0,0,2,2,0,4,0,0,,0,,3,13,8,0,0,0,0,1,5,2,Matches
11,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-074,2001,0.7,26,2,3,9,16,0,26,3,2,66.7,1,33.3,15,69,29,0,2,0,1,1,18,2,Matches
12,Pontus Almqvist,se SWE,FW,Parma,25-082,1999,1.4,68,2,16,22,33,9,68,4,2,50.0,1,25.0,35,253,159,5,1,3,3,1,37,9,Matches
13,Giorgio Altare,it ITA,DF,Venezia,26-052,1998,2.2,132,16,63,54,16,5,132,1,1,100.0,0,0.0,76,375,169,2,4,0,1,5,79,2,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-040,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Matches
15,Angeliño,es ESP,DF,Roma,27-270,1997,6.0,522,21,134,287,105,8,522,3,2,66.7,1,33.3,297,1609,970,16,13,1,2,2,361,20,Matches
16,Lorenzo Anghelè,it ITA,FW,Juventus,19-217,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0,Matches
17,Faustino Anjorin,eng ENG,MF,Empoli,22-312,2001,1.7,91,4,28,54,9,1,91,2,0,0.0,2,100.0,47,235,133,4,1,0,1,1,61,3,Matches
18,Marko Arnautović,at AUT,FW,Inter,35-164,1989,0.4,21,1,3,4,14,5,21,0,0,,0,,13,69,37,1,0,1,0,1,17,9,Matches
19,Kristjan Asllani,al ALB,MF,Inter,22-205,2002,1.6,184,4,39,117,28,3,184,0,0,,0,,126,750,368,3,3,0,2,0,151,7,Matches
20,Arthur Atta,fr FRA,MF,Udinese,21-260,2003,0.2,14,0,1,11,2,0,14,0,0,,0,,9,48,32,0,0,0,0,1,9,0,Matches
21,Emil Audero,it ITA,GK,Como,27-256,1997,3.0,122,103,122,0,0,0,122,0,0,,0,,87,429,220,0,0,0,0,0,79,0,Matches
22,Tommaso Augello,it ITA,DF,Cagliari,30-031,1994,4.5,318,21,94,119,111,2,318,14,8,57.1,6,42.9,136,856,400,11,8,0,6,4,158,20,Matches
23,Carlos Augusto,br BRA,DF,Inter,25-267,1999,2.1,142,9,47,72,23,2,142,1,0,0.0,1,100.0,71,398,161,4,1,1,2,2,95,11,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,23-306,2000,2.0,161,12,57,81,23,3,161,1,0,0.0,1,100.0,112,590,256,3,6,0,2,0,123,11,Matches
25,Paulo Azzi,br BRA,DF,Cagliari,30-077,1994,3.7,201,12,50,76,77,8,201,7,5,71.4,1,14.3,100,671,404,14,10,3,1,4,118,19,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Milan Badelj,hr CRO,MF,Genoa,35-218,1989,4.4,247,10,59,158,32,4,247,3,2,66.7,0,0.0,131,412,157,3,2,1,4,2,168,5,Matches
27,Mitchel Bakker,nl NED,MF,Atalanta,24-102,2000,0.2,10,0,2,5,3,0,10,0,0,,0,,6,23,15,0,0,0,0,0,7,1,Matches
28,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21-191,2003,1.7,83,1,11,25,49,9,83,8,3,37.5,4,50.0,47,451,254,12,6,3,0,0,53,8,Matches
29,Botond Balogh,hu HUN,DF,Parma,22-116,2002,4.8,250,52,161,86,3,0,250,0,0,,0,,110,382,175,1,0,0,4,0,150,0,Matches
30,Lameck Banda,zm ZAM,"FW,MF",Lecce,23-245,2001,2.7,105,1,20,37,51,10,105,10,3,30.0,4,40.0,76,638,360,10,3,9,4,4,73,22,Matches
31,Daniel Bandeira,pt POR,MF,Hellas Verona,24-172,2000,2.5,146,7,41,93,13,0,146,0,0,,0,,81,392,181,1,0,0,1,5,86,1,Matches
32,Mattia Bani,it ITA,DF,Genoa,30-295,1993,3.5,164,21,101,60,4,3,164,1,1,100.0,0,0.0,88,471,226,3,1,0,0,0,108,1,Matches
33,Antonín Barák,cz CZE,MF,Fiorentina,29-302,1994,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117,35,2,1,0,1,0,20,5,Matches
34,Federico Barba,it ITA,DF,Como,31-029,1993,2.0,127,21,71,52,4,1,127,0,0,,0,,72,385,241,2,1,0,1,0,79,0,Matches
35,Nicolò Barella,it ITA,MF,Inter,27-236,1997,3.5,227,5,35,128,64,3,227,5,3,60.0,1,20.0,171,737,286,2,3,0,4,6,184,10,Matches
36,Davide Bartesaghi,it ITA,DF,Milan,18-276,2005,0.1,3,0,0,3,0,0,3,0,0,,0,,3,4,3,0,0,0,0,0,3,0,Matches
37,Federico Baschirotto,it ITA,DF,Lecce,28-010,1996,6.0,271,67,178,85,8,5,271,0,0,,0,,115,526,301,1,1,0,2,0,140,1,Matches
38,Daniele Baselli,it ITA,MF,Como,32-202,1992,0.2,31,1,6,23,2,0,31,0,0,,0,,22,134,45,2,0,0,1,0,24,0,Matches
39,Alessandro Bastoni,it ITA,DF,Inter,25-170,1999,4.4,411,29,137,207,69,3,411,0,0,,0,,288,1418,873,10,11,0,3,1,303,21,Matches
40,Reda Belahyane,fr FRA,MF,Hellas Verona,20-121,2004,5.8,270,16,83,165,29,3,270,19,13,68.4,5,26.3,170,1074,547,5,1,1,8,5,182,1,Matches
41,Raoul Bellanova,it ITA,DF,Torino,24-136,2000,1.0,51,5,19,19,13,1,51,1,0,0.0,1,100.0,34,228,127,4,3,0,1,0,33,5,Matches
42,Raoul Bellanova,it ITA,DF,Atalanta,24-136,2000,3.3,166,4,26,65,78,4,166,9,4,44.4,3,33.3,91,528,263,7,4,1,6,1,107,31,Matches
43,Andrea Belotti,it ITA,FW,Como,30-285,1993,2.2,57,2,11,24,23,8,57,2,1,50.0,0,0.0,24,96,50,2,1,1,1,5,38,11,Matches
44,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,23-185,2001,1.0,51,0,1,31,20,5,51,0,0,,0,,39,180,61,1,1,0,0,2,47,9,Matches
45,Ismaël Bennacer,dz ALG,MF,Milan,26-304,1997,0.6,49,0,5,29,15,0,49,3,3,100.0,0,0.0,30,129,44,0,1,0,0,1,42,0,Matches
46,Medon Berisha,al ALB,"MF,FW",Lecce,20-345,2003,0.9,61,0,3,26,32,3,61,1,0,0.0,0,0.0,37,187,94,2,1,1,0,0,40,6,Matches
47,Adrian Bernabe,es ESP,MF,Parma,23-127,2001,4.9,346,17,80,193,77,1,346,11,5,45.5,3,27.3,184,906,606,12,7,0,4,2,237,3,Matches
48,Sam Beukema,nl NED,DF,Bologna,25-318,1998,5.5,439,38,168,248,25,6,439,0,0,,0,,272,1713,1023,6,3,0,1,1,316,1,Matches
49,Alessandro Bianco,it ITA,MF,Monza,21-365,2002,2.1,152,5,37,94,23,2,152,2,0,0.0,2,100.0,106,646,312,5,7,2,5,2,118,1,Matches
50,Alessandro Bianco,it ITA,MF,Fiorentina,21-365,2002,0.2,14,0,2,11,1,0,14,0,0,,0,,8,48,30,0,0,0,1,0,8,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Jaka Bijol,si SVN,DF,Udinese,25-238,1999,6.0,302,57,179,119,7,6,302,0,0,,0,,136,660,333,0,1,0,3,1,159,0,Matches
52,Cristiano Biraghi,it ITA,DF,Fiorentina,32-029,1992,4.5,320,26,114,145,61,1,320,0,0,,0,,172,666,276,3,2,1,2,0,221,17,Matches
53,Samuele Birindelli,it ITA,DF,Monza,25-073,1999,1.9,98,2,25,46,29,1,98,0,0,,0,,56,212,84,0,1,0,2,2,61,9,Matches
54,Emil Bohinen,no NOR,MF,Genoa,25-202,1999,0.8,52,5,15,17,20,3,52,0,0,,0,,23,210,105,3,3,0,1,1,31,1,Matches
55,Warren Bondo,fr FRA,MF,Monza,21-015,2003,5.1,233,9,46,160,29,1,233,8,2,25.0,3,37.5,172,918,383,5,5,0,6,9,173,5,Matches
56,Ange-Yoan Bonny,fr FRA,FW,Parma,20-341,2003,4.3,132,1,9,48,76,24,131,7,4,57.1,3,42.9,73,346,111,4,3,2,12,10,95,34,Matches
57,Edoardo Bove,it ITA,MF,Fiorentina,22-137,2002,3.2,121,3,23,70,28,8,121,5,3,60.0,1,20.0,69,347,122,3,5,0,2,5,86,6,Matches
58,Domagoj Bradarić,hr CRO,MF,Hellas Verona,24-295,1999,0.0,5,0,0,3,2,1,5,0,0,,0,,3,54,45,1,1,0,1,0,3,0,Matches
59,Matthias Braunöder,at AUT,MF,Como,22-187,2002,1.5,65,2,18,39,8,2,65,3,1,33.3,2,66.7,36,142,78,1,2,1,1,1,41,0,Matches
60,Iker Bravo,es ESP,MF,Udinese,19-261,2005,0.5,21,1,4,9,9,2,21,1,0,0.0,1,100.0,8,34,24,0,0,0,1,0,13,3,Matches
61,Gleison Bremer,br BRA,DF,Juventus,27-196,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,Matches
62,Brenner,br BRA,"MF,FW",Udinese,24-258,2000,3.6,117,4,21,60,39,6,117,4,2,50.0,2,50.0,74,406,169,4,3,1,4,6,84,9,Matches
63,Marco Brescianini,it ITA,MF,Atalanta,24-254,2000,4.1,146,1,17,68,64,11,146,8,3,37.5,4,50.0,95,793,429,14,8,6,7,8,109,21,Matches
64,Alessandro Buongiorno,it ITA,DF,Napoli,25-116,1999,5.0,278,34,106,158,16,6,278,1,0,0.0,1,100.0,153,679,424,3,2,0,2,3,175,1,Matches
65,Gianluca Busio,us USA,MF,Venezia,22-125,2002,2.8,123,8,29,56,39,5,123,4,1,25.0,2,50.0,82,530,347,6,5,0,2,1,79,10,Matches
