Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
3,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,2.9,1,8,3,37.5,2.80,1.05,0.00,0.00,16.4,0,1,1,1.8,1.0,0.13,-0.8,-1.0,Matches
4,Federico Accornero,it ITA,MF,Genoa,20-238,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,3.9,3,10,7,70.0,2.54,1.77,0.30,0.43,19.5,0,0,0,1.5,1.5,0.15,+1.5,+1.5,Matches
7,Yacine Adli,fr FRA,MF,Fiorentina,24-063,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Michel Aebischer,ch SUI,MF,Bologna,27-268,1997,3.7,0,5,2,40.0,1.35,0.54,0.00,0.00,21.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
9,Honest Ahanor,it ITA,DF,Genoa,16-220,2008,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,David Akpan Ankeye,ng NGA,FW,Genoa,22-229,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-074,2001,0.7,0,1,0,0.0,1.53,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
12,Pontus Almqvist,se SWE,FW,Parma,25-082,1999,1.4,1,4,3,75.0,2.90,2.18,0.25,0.33,17.0,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
13,Giorgio Altare,it ITA,DF,Venezia,26-052,1998,2.2,0,3,1,33.3,1.39,0.46,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-040,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Angeliño,es ESP,DF,Roma,27-270,1997,6.0,0,4,0,0.0,0.67,0.00,0.00,,21.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
16,Lorenzo Anghelè,it ITA,FW,Juventus,19-217,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Faustino Anjorin,eng ENG,MF,Empoli,22-312,2001,1.7,0,1,0,0.0,0.58,0.00,0.00,,24.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
18,Marko Arnautović,at AUT,FW,Inter,35-164,1989,0.4,0,2,0,0.0,4.50,0.00,0.00,,4.7,0,0,0,0.9,0.9,0.44,-0.9,-0.9,Matches
19,Kristjan Asllani,al ALB,MF,Inter,22-205,2002,1.6,0,3,1,33.3,1.86,0.62,0.00,0.00,17.0,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
20,Arthur Atta,fr FRA,MF,Udinese,21-260,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Emil Audero,it ITA,GK,Como,27-256,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Tommaso Augello,it ITA,DF,Cagliari,30-031,1994,4.5,0,2,0,0.0,0.44,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
23,Carlos Augusto,br BRA,DF,Inter,25-267,1999,2.1,0,1,0,0.0,0.47,0.00,0.00,,7.0,0,0,0,0.3,0.3,0.30,-0.3,-0.3,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,23-306,2000,2.0,0,3,0,0.0,1.50,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
25,Paulo Azzi,br BRA,DF,Cagliari,30-077,1994,3.7,0,8,3,37.5,2.14,0.80,0.00,0.00,16.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Milan Badelj,hr CRO,MF,Genoa,35-218,1989,4.4,0,3,0,0.0,0.68,0.00,0.00,,14.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
