Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Oliver Abildgaard,dk DEN,MF,Como,28-112,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Tammy Abraham,eng ENG,FW,Roma,26-364,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
3,Tammy Abraham,eng ENG,FW,Milan,26-364,1997,4,3,257,2.9,1,1,2,0,1,1,0,0,1.8,1.0,0.3,1.3,0,3,17,0.35,0.35,0.70,0.00,0.35,0.64,0.09,0.73,0.36,0.45,Matches
4,Federico Accornero,it ITA,MF,Genoa,20-238,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Francesco Acerbi,it ITA,DF,Inter,36-233,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,16,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Che Adams,sct SCO,"FW,MF",Torino,28-079,1996,6,3,355,3.9,3,1,4,3,0,0,0,0,1.5,1.5,0.7,2.2,3,4,20,0.76,0.25,1.01,0.76,1.01,0.38,0.18,0.56,0.38,0.56,Matches
7,Yacine Adli,fr FRA,MF,Fiorentina,24-063,2000,4,0,67,0.7,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,1,0.00,1.34,1.34,0.00,1.34,0.00,0.24,0.24,0.00,0.24,Matches
8,Michel Aebischer,ch SUI,MF,Bologna,27-268,1997,6,4,333,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,4,18,8,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.11,0.04,0.11,Matches
9,Honest Ahanor,it ITA,DF,Genoa,16-220,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,David Akpan Ankeye,ng NGA,FW,Genoa,22-229,2002,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-074,2001,2,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
12,Pontus Almqvist,se SWE,FW,Parma,25-082,1999,5,0,124,1.4,1,1,2,1,0,0,0,0,0.4,0.4,0.8,1.2,5,2,9,0.73,0.73,1.45,0.73,1.45,0.29,0.60,0.89,0.29,0.89,Matches
13,Giorgio Altare,it ITA,DF,Venezia,26-052,1998,3,2,194,2.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,4,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
14,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-040,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
15,Angeliño,es ESP,DF,Roma,27-270,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,16,52,20,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
16,Lorenzo Anghelè,it ITA,FW,Juventus,19-217,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
17,Faustino Anjorin,eng ENG,MF,Empoli,22-312,2001,3,2,155,1.7,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,4,5,3,0.00,0.58,0.58,0.00,0.58,0.01,0.22,0.23,0.01,0.23,Matches
18,Marko Arnautović,at AUT,FW,Inter,35-164,1989,3,0,40,0.4,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,1,3,9,0.00,0.00,0.00,0.00,0.00,1.96,0.00,1.96,1.96,1.96,Matches
19,Kristjan Asllani,al ALB,MF,Inter,22-205,2002,5,1,145,1.6,0,0,0,0,0,0,2,0,0.4,0.4,0.6,1.0,3,11,7,0.00,0.00,0.00,0.00,0.00,0.22,0.37,0.59,0.22,0.59,Matches
20,Arthur Atta,fr FRA,MF,Udinese,21-260,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
21,Emil Audero,it ITA,GK,Como,27-256,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Tommaso Augello,it ITA,DF,Cagliari,30-031,1994,5,5,409,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.6,11,22,20,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.14,0.01,0.14,Matches
23,Carlos Augusto,br BRA,DF,Inter,25-267,1999,6,1,190,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4,10,11,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,23-306,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,10,11,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
25,Paulo Azzi,br BRA,DF,Cagliari,30-077,1994,5,4,336,3.7,0,0,0,0,0,0,1,0,0.5,0.5,0.9,1.4,14,12,19,0.00,0.00,0.00,0.00,0.00,0.14,0.24,0.38,0.14,0.38,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Milan Badelj,hr CRO,MF,Genoa,35-218,1989,6,6,399,4.4,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,3,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Matches
27,Mitchel Bakker,nl NED,MF,Atalanta,24-102,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Tommaso Baldanzi,it ITA,"MF,FW",Roma,21-191,2003,6,0,151,1.7,1,1,2,1,0,0,0,0,0.5,0.5,0.1,0.7,12,4,8,0.60,0.60,1.19,0.60,1.19,0.31,0.08,0.39,0.31,0.39,Matches
29,Botond Balogh,hu HUN,DF,Parma,22-116,2002,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Lameck Banda,zm ZAM,"FW,MF",Lecce,23-245,2001,5,2,240,2.7,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,10,4,22,0.00,0.00,0.00,0.00,0.00,0.21,0.16,0.38,0.21,0.38,Matches
31,Daniel Bandeira,pt POR,MF,Hellas Verona,24-172,2000,4,3,229,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,14,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
32,Mattia Bani,it ITA,DF,Genoa,30-295,1993,4,4,314,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
33,Antonín Barák,cz CZE,MF,Fiorentina,29-302,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60,Matches
34,Federico Barba,it ITA,DF,Como,31-029,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Nicolò Barella,it ITA,MF,Inter,27-236,1997,4,4,312,3.5,1,1,2,1,0,0,0,0,0.2,0.2,0.7,0.9,2,22,10,0.29,0.29,0.58,0.29,0.58,0.05,0.21,0.26,0.05,0.26,Matches
36,Davide Bartesaghi,it ITA,DF,Milan,18-276,2005,1,0,5,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Federico Baschirotto,it ITA,DF,Lecce,28-010,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
38,Daniele Baselli,it ITA,MF,Como,32-202,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
39,Alessandro Bastoni,it ITA,DF,Inter,25-170,1999,5,5,395,4.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,10,28,21,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
40,Reda Belahyane,fr FRA,MF,Hellas Verona,20-121,2004,6,5,520,5.8,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5,26,1,0.00,0.17,0.17,0.00,0.17,0.02,0.04,0.06,0.02,0.06,Matches
