stat_id,team_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,3.0,7,1,0,0,0,4.7,0.24,-2.3,-0.77,16,37,43.2,84,24,28.6,30.8,41,2,4.9,2,0.67,10.8
,,3.0,3,1,0,0,0,2.1,0.19,-0.9,-0.32,9,19,47.4,151,14,11.9,23.7,29,1,3.4,6,2.0,19.1
,,3.0,5,0,0,0,0,6.8,0.44,1.8,0.62,32,72,44.4,99,8,52.5,37.6,54,3,5.6,6,2.0,16.1
,,3.0,2,1,0,0,0,2.0,0.17,0.0,0.01,9,22,40.9,97,13,18.6,23.8,49,1,2.0,1,0.33,8.8
,,3.0,4,0,0,0,0,2.5,0.21,-1.5,-0.49,15,42,35.7,75,16,41.3,30.8,65,4,6.2,3,1.0,11.5
,,3.0,4,1,0,1,0,4.2,0.45,0.2,0.08,16,60,26.7,96,8,50.0,37.8,36,2,5.6,4,1.33,13.8
,,3.0,6,0,0,1,0,6.0,0.25,0.0,-0.01,23,45,51.1,126,10,30.2,30.2,35,0,0.0,3,1.0,17.8
,,3.0,4,1,0,0,0,3.0,0.25,-1.0,-0.34,19,49,38.8,86,16,34.9,34.2,50,2,4.0,2,0.67,13.8
,,3.0,9,1,0,0,0,9.2,0.44,0.2,0.07,13,40,32.5,79,15,40.5,35.2,49,1,2.0,4,1.33,14.6
,,3.0,11,2,1,0,1,9.4,0.33,-0.6,-0.21,20,51,39.2,98,20,48.0,33.2,51,6,11.8,1,0.33,7.5
,,3.0,6,0,0,0,0,4.3,0.28,-1.7,-0.58,9,19,47.4,63,11,25.4,28.7,30,2,6.7,3,1.0,11.4
,,3.0,6,1,1,0,0,5.4,0.25,-0.6,-0.21,15,45,33.3,72,18,45.8,37.4,64,5,7.8,10,3.33,17.2
,,3.0,2,0,0,0,0,2.8,0.18,0.8,0.28,7,19,36.8,81,14,21.0,28.9,42,1,2.4,0,0.0,11.0
,,3.0,6,0,0,2,0,6.4,0.4,0.4,0.12,13,36,36.1,118,17,27.1,29.1,43,3,7.0,5,1.67,24.4
,,3.0,7,1,0,1,0,6.9,0.36,-0.1,-0.02,11,32,34.4,117,16,24.8,28.5,35,1,2.9,5,1.67,18.0
,,3.0,1,0,1,0,0,1.9,0.15,0.9,0.31,27,51,52.9,79,15,46.8,36.6,43,3,7.0,2,0.67,11.5
,,3.0,3,0,0,0,0,3.1,0.26,0.1,0.04,10,30,33.3,91,20,24.2,32.0,56,4,7.1,2,0.67,12.8
,,3.0,5,1,0,0,1,6.6,0.3,2.6,0.85,31,86,36.0,117,12,66.7,41.9,27,0,0.0,0,0.0,11.1
