stat_id,team_id,ninety_s,tkl_tackles,tklw_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_challenges,att_challenges,tkl_percent_challenges,lost_challenges,blocks_blocks,sh_blocks,pass_blocks,interceptions,tkl_plus_int,clr,err
,,3.0,38,26,11,19,8,20,40,50.0,20,37,10,27,21,59,65,3
,,3.0,41,25,16,16,9,21,36,58.3,15,26,4,22,16,57,47,3
,,3.0,42,30,18,17,7,21,53,39.6,32,58,20,38,21,63,77,2
,,3.0,43,25,19,16,8,23,40,57.5,17,37,9,28,18,61,70,2
,,3.0,45,28,23,15,7,20,42,47.6,22,50,20,30,24,69,96,1
,,3.0,47,36,25,18,4,22,46,47.8,24,34,9,25,37,84,55,2
,,3.0,56,34,28,18,10,28,46,60.9,18,37,13,24,39,95,65,1
,,3.0,54,30,29,23,2,28,49,57.1,21,45,9,36,25,79,102,0
,,3.0,56,34,33,16,7,32,52,61.5,20,33,13,20,16,72,75,1
,,3.0,58,32,34,15,9,31,58,53.4,27,32,15,17,28,86,85,2
,,3.0,42,30,15,19,8,21,31,67.7,10,26,11,15,16,58,45,0
,,3.0,50,24,22,20,8,15,29,51.7,14,32,14,18,27,77,90,3
,,3.0,61,35,23,28,10,29,44,65.9,15,47,17,30,31,92,64,3
,,3.0,46,22,19,20,7,16,40,40.0,24,31,3,28,18,64,66,1
,,3.0,39,23,15,15,9,15,27,55.6,12,39,13,26,27,66,63,1
,,3.0,51,25,29,17,5,23,46,50.0,23,39,12,27,19,70,71,1
,,3.0,42,29,21,18,3,13,33,39.4,20,24,8,16,30,72,84,1
,,3.0,53,36,20,18,15,23,59,39.0,36,37,11,26,24,77,54,0
