stat_id,team_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,3.0,77,25.67,49,14,1,7,5,1,8,2.67,7,0,1,0,0,0
,,3.0,89,29.67,61,8,9,8,2,1,14,4.67,8,0,2,2,1,1
,,3.0,58,19.33,41,8,1,5,2,1,1,0.33,0,0,0,1,0,0
,,3.0,75,25.0,51,9,9,4,1,1,11,3.67,7,0,3,1,0,0
,,3.0,69,23.0,49,5,6,5,3,1,9,3.0,6,1,2,0,0,0
,,3.0,77,25.67,45,8,5,13,4,2,8,2.67,4,1,0,3,0,0
,,3.0,76,25.33,54,7,3,6,5,1,8,2.67,7,0,0,1,0,0
,,3.0,53,17.67,39,5,4,1,4,0,14,4.67,10,3,0,0,1,0
,,3.0,80,26.67,60,8,3,6,2,1,9,3.0,7,0,0,1,1,0
,,3.0,65,21.67,51,4,2,6,1,1,6,2.0,6,0,0,0,0,0
,,3.0,129,43.0,92,9,8,13,5,2,14,4.67,7,0,3,2,1,1
,,3.0,73,24.33,59,5,1,3,5,0,9,3.0,7,0,0,0,2,0
,,3.0,68,22.67,56,5,2,3,2,0,7,2.33,6,0,0,1,0,0
,,3.0,56,18.67,36,9,3,3,5,0,2,0.67,1,1,0,0,0,0
,,3.0,80,26.67,59,3,6,10,2,0,8,2.67,2,1,1,4,0,0
,,3.0,59,19.67,35,9,2,8,2,3,3,1.0,2,0,0,1,0,0
,,3.0,54,18.0,41,3,2,6,2,0,8,2.67,7,0,0,0,1,0
,,3.0,70,23.33,49,8,2,4,6,1,9,3.0,5,1,0,0,3,0
