stat_id,team_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.0,11,0,0,33,34,4,69,21,26,0,1,0,119,54,51,51.4
,,3.0,5,0,0,35,32,2,48,16,25,1,2,0,139,46,30,60.5
,,3.0,7,0,0,41,24,5,44,21,30,0,0,0,112,58,51,53.2
,,3.0,9,1,1,34,30,3,65,18,25,0,1,0,100,45,26,63.4
,,3.0,3,0,0,31,22,5,39,24,28,0,0,0,112,33,36,47.8
,,3.0,2,0,0,24,37,10,45,37,36,0,1,0,129,39,60,39.4
,,3.0,3,0,0,35,27,12,54,39,34,0,1,0,128,30,45,40.0
,,3.0,6,0,0,48,29,3,41,25,30,1,1,0,121,56,51,52.3
,,3.0,7,0,0,27,33,5,72,16,34,1,1,0,109,38,57,40.0
,,3.0,7,1,1,43,33,3,42,28,32,0,2,1,110,62,51,54.9
,,3.0,5,0,0,24,28,1,70,16,30,2,0,0,130,39,20,66.1
,,3.0,5,0,0,34,26,7,67,27,24,1,1,0,101,44,42,51.2
,,3.0,4,1,0,25,42,9,49,31,35,1,0,0,143,38,27,58.5
,,3.0,6,0,0,30,36,6,62,18,22,0,0,0,128,57,72,44.2
,,3.0,7,0,0,28,32,4,55,27,23,0,1,0,122,36,26,58.1
,,3.0,9,0,0,44,29,4,57,19,25,0,1,0,113,44,64,40.7
,,3.0,4,1,0,28,36,11,56,30,29,1,0,0,104,35,30,53.8
,,3.0,10,0,0,33,46,4,62,24,36,1,1,1,116,41,56,42.3
