stat_id,team_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,3.0,1375,1225,146,39,6,3,69,57,17,9,5,0,1078,4,41
,,3.0,2236,2097,137,37,6,11,48,61,19,10,2,1,1967,2,24
,,3.0,1153,1000,148,35,7,5,44,65,12,7,4,0,825,5,26
,,3.0,1925,1790,132,40,0,8,65,50,21,8,9,1,1664,3,24
,,3.0,1216,1087,124,22,5,8,39,52,12,4,7,0,983,5,26
,,3.0,1214,1067,137,39,5,6,45,53,15,3,12,0,899,10,28
,,3.0,1578,1432,134,31,5,16,54,62,12,5,5,0,1257,12,35
,,3.0,1116,972,141,30,1,7,41,64,8,5,3,0,815,3,35
,,3.0,1450,1309,136,35,8,12,72,44,16,6,4,1,1174,5,25
,,3.0,1234,1099,132,34,2,4,42,55,9,3,3,0,960,3,18
,,3.0,1940,1811,128,33,7,6,70,38,34,10,11,0,1679,1,32
,,3.0,1298,1150,141,26,3,6,67,62,20,4,9,4,987,7,28
,,3.0,1720,1588,123,43,7,3,49,46,17,8,5,0,1425,9,28
,,3.0,1723,1562,155,39,1,7,62,71,15,4,7,0,1338,6,42
,,3.0,1819,1681,134,43,2,9,55,50,16,5,10,0,1531,4,27
,,3.0,1171,1035,132,34,2,4,57,52,19,13,4,0,829,4,29
,,3.0,1397,1249,137,44,1,20,56,48,11,3,7,0,1099,11,22
,,3.0,1224,1063,157,50,2,9,62,65,13,11,1,0,893,4,25
