stat_id,team_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,kp,one_third,crspa,prgp
,,3.0,1078,1375,78.4,20355.0,8747.0,407,472,86.2,532,615,86.5,114,207,55.1,4,32,93,6,135
,,3.0,1967,2236,88.0,32591.0,11208.0,996,1082,92.1,811,891,91.0,133,200,66.5,6,40,150,3,160
,,3.0,825,1153,71.6,16740.0,7392.0,290,358,81.0,416,503,82.7,107,229,46.7,0,26,76,7,93
,,3.0,1664,1925,86.4,27959.0,9616.0,814,883,92.2,724,808,89.6,107,179,59.8,5,36,121,6,144
,,3.0,983,1216,80.8,17239.0,6835.0,450,490,91.8,405,459,88.2,102,196,52.0,4,32,58,5,93
,,3.0,899,1214,74.1,16064.0,6187.0,363,435,83.4,415,495,83.8,85,200,42.5,3,32,67,3,79
,,3.0,1257,1578,79.7,20947.0,7737.0,611,685,89.2,476,563,84.5,114,208,54.8,3,34,79,7,89
,,3.0,815,1116,73.0,15547.0,6403.0,327,406,80.5,355,427,83.1,107,198,54.0,5,22,56,4,65
,,3.0,1174,1450,81.0,20923.0,7767.0,555,608,91.3,469,556,84.4,122,211,57.8,3,32,110,10,119
,,3.0,960,1234,77.8,16977.0,7116.0,436,492,88.6,412,485,84.9,88,198,44.4,3,29,49,9,72
,,3.0,1679,1940,86.5,26328.0,9059.0,914,994,92.0,585,657,89.0,130,194,67.0,4,48,150,10,159
,,3.0,987,1298,76.0,17957.0,7151.0,446,515,86.6,395,478,82.6,123,231,53.2,2,27,90,8,113
,,3.0,1425,1720,82.8,24172.0,8658.0,634,733,86.5,640,714,89.6,115,194,59.3,3,28,100,3,115
,,3.0,1338,1723,77.7,24617.0,9114.0,525,624,84.1,656,760,86.3,140,274,51.1,1,23,93,4,118
,,3.0,1531,1819,84.2,26432.0,9479.0,730,794,91.9,665,755,88.1,117,210,55.7,3,34,103,9,131
,,3.0,829,1171,70.8,15651.0,6963.0,359,437,82.2,338,429,78.8,108,227,47.6,1,24,66,4,66
,,3.0,1099,1397,78.7,21170.0,7852.0,409,477,85.7,502,590,85.1,153,243,63.0,3,19,66,11,110
,,3.0,893,1224,73.0,15502.0,6157.0,433,496,87.3,332,424,78.3,88,217,40.6,3,29,87,5,97
