stat_id,team_id,age,mp,min,mn_per_mp,min_percent,ninety_s,starts,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,27.1,3,270,90.0,100.0,3.0,33,79.0,18,15,24.0,12,1.33,5,7,-2,-0.67,4.4,5.0,-0.6,-0.2
,,28.0,3,270,90.0,100.0,3.0,33,81.0,20,13,24.0,14,3.0,11,3,8,2.67,7.1,3.2,3.9,1.31
,,27.5,3,270,90.0,100.0,3.0,33,81.0,18,15,21.0,12,0.0,1,5,-4,-1.33,2.5,7.9,-5.4,-1.78
,,27.5,3,270,90.0,100.0,3.0,33,81.0,18,14,20.0,13,2.33,6,2,4,1.33,4.9,3.5,1.4,0.48
,,26.0,3,270,90.0,100.0,3.0,33,81.0,18,15,19.0,12,2.0,5,4,1,0.33,6.3,4.2,2.1,0.68
,,26.9,3,270,90.0,100.0,3.0,33,80.0,18,15,22.0,12,2.0,5,4,1,0.33,6.9,2.8,4.1,1.36
,,27.2,3,270,90.0,100.0,3.0,33,82.0,18,15,17.0,12,1.0,5,6,-1,-0.33,6.1,5.5,0.6,0.2
,,26.7,3,270,90.0,100.0,3.0,33,81.0,18,15,21.0,12,2.0,8,4,4,1.33,6.0,4.5,1.4,0.48
,,28.1,3,270,90.0,100.0,3.0,33,81.0,18,15,21.0,12,1.0,5,9,-4,-1.33,5.3,7.6,-2.3,-0.76
,,26.8,3,270,90.0,100.0,3.0,33,77.0,18,15,27.0,12,0.0,3,11,-8,-2.67,3.1,8.0,-4.8,-1.6
,,26.9,3,270,90.0,100.0,3.0,33,85.0,21,12,14.0,14,2.0,9,6,3,1.0,8.4,3.6,4.8,1.59
,,28.1,3,270,90.0,100.0,3.0,33,83.0,19,14,18.0,13,0.67,5,6,-1,-0.33,4.5,6.1,-1.6,-0.52
,,26.1,3,270,90.0,100.0,3.0,33,81.0,17,15,19.0,12,2.33,4,2,2,0.67,3.7,3.8,-0.1,-0.03
,,27.4,3,270,90.0,100.0,3.0,33,80.0,19,14,24.0,13,0.0,1,6,-5,-1.67,2.2,4.9,-2.6,-0.88
,,25.3,3,270,90.0,100.0,3.0,33,79.0,18,15,23.0,12,1.33,7,7,0,0.0,6.3,6.0,0.3,0.11
,,27.9,3,270,90.0,100.0,3.0,33,82.0,18,15,18.0,12,1.67,2,1,1,0.33,2.3,3.0,-0.7,-0.23
,,27.7,3,270,90.0,100.0,3.0,33,82.0,21,12,20.0,15,1.67,4,3,1,0.33,3.4,2.7,0.7,0.23
,,25.4,3,270,90.0,100.0,3.0,33,83.0,21,12,19.0,15,1.0,5,5,0,0.0,4.7,6.0,-1.3,-0.44
