stat_id,team_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.0,1697,163,480,771,459,83,1697,43,21,48.8,20,46.5,895,4300.0,2211.0,40,40,8,61,23,1070,134
,,3.0,2538,148,688,1282,583,94,2536,87,43,49.4,40,46.0,1581,7498.0,3466.0,58,44,17,36,21,1952,158
,,3.0,1527,214,523,674,344,47,1527,38,10,26.3,25,65.8,752,3440.0,1597.0,30,21,4,54,19,818,92
,,3.0,2242,213,594,1104,565,69,2241,50,22,44.0,24,48.0,1174,6313.0,3377.0,65,52,17,43,24,1651,143
,,3.0,1589,264,631,651,331,70,1588,64,30,46.9,30,46.9,919,4718.0,2245.0,49,45,12,45,22,974,93
,,3.0,1535,160,509,713,326,65,1534,36,19,52.8,17,47.2,729,4306.0,2092.0,33,27,14,45,18,882,78
,,3.0,1914,259,778,738,411,74,1914,44,22,50.0,20,45.5,1009,4624.0,2251.0,52,29,12,34,22,1245,89
,,3.0,1490,227,642,609,259,51,1488,53,23,43.4,27,50.9,730,4253.0,2296.0,61,33,11,44,21,808,63
,,3.0,1757,219,565,717,488,68,1756,40,20,50.0,19,47.5,1073,5407.0,2844.0,55,47,18,32,26,1161,117
,,3.0,1600,286,753,619,240,49,1600,31,16,51.6,15,48.4,710,3237.0,1405.0,28,19,5,51,26,946,72
,,3.0,2272,167,488,1059,737,122,2270,62,17,27.4,38,61.3,1081,5907.0,3324.0,83,55,23,37,33,1668,157
,,3.0,1638,206,519,686,439,68,1637,27,15,55.6,11,40.7,737,3387.0,1548.0,34,15,5,39,28,983,113
,,3.0,2082,196,583,1149,367,64,2081,60,23,38.3,27,45.0,1054,5178.0,2488.0,44,31,11,37,30,1422,115
,,3.0,2039,206,653,1006,399,58,2039,40,19,47.5,17,42.5,867,4041.0,2101.0,37,21,8,44,27,1324,118
,,3.0,2127,235,736,954,461,67,2127,40,23,57.5,16,40.0,1284,5550.0,2484.0,40,32,11,38,36,1510,131
,,3.0,1516,194,606,592,336,52,1516,38,16,42.1,21,55.3,689,3229.0,1298.0,22,23,5,40,30,815,65
,,3.0,1706,217,665,725,326,70,1705,33,15,45.5,13,39.4,973,4858.0,2269.0,36,27,5,38,29,1095,110
,,3.0,1547,152,447,665,449,63,1546,39,16,41.0,21,53.8,792,3955.0,1728.0,32,18,14,39,28,882,97
