stat_id,team_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,3.0,5,44,11,25.0,14.67,3.67,0.11,0.45,16.8,2,0,0,4.4,4.4,0.1,0.6,0.6
,,3.0,9,48,21,43.8,16.0,7.0,0.15,0.33,14.4,0,2,2,7.1,5.6,0.12,1.9,1.4
,,3.0,1,38,10,26.3,12.67,3.33,0.03,0.1,20.2,1,0,0,2.5,2.5,0.07,-1.5,-1.5
,,3.0,6,41,14,34.1,13.67,4.67,0.12,0.36,17.8,0,1,1,4.9,4.2,0.1,1.1,0.8
,,3.0,5,38,14,36.8,12.67,4.67,0.11,0.29,16.1,0,1,1,6.3,5.5,0.14,-1.3,-1.5
,,3.0,5,50,16,32.0,16.67,5.33,0.1,0.31,17.0,1,0,1,6.9,6.1,0.15,-1.9,-1.1
,,3.0,5,44,19,43.2,14.67,6.33,0.11,0.26,15.2,0,0,0,6.1,6.1,0.14,-1.1,-1.1
,,3.0,8,29,13,44.8,9.67,4.33,0.21,0.46,17.5,1,2,2,6.0,4.4,0.15,2.0,1.6
,,3.0,5,46,15,32.6,15.33,5.0,0.09,0.27,18.6,1,1,1,5.3,4.6,0.1,-0.3,-0.6
,,3.0,3,35,12,34.3,11.67,4.0,0.09,0.25,17.8,1,0,0,3.1,3.1,0.09,-0.1,-0.1
,,3.0,9,69,25,36.2,23.0,8.33,0.12,0.32,16.6,2,1,2,8.4,6.7,0.1,0.6,1.3
,,3.0,5,40,14,35.0,13.33,4.67,0.1,0.29,17.6,3,1,1,4.5,3.7,0.09,0.5,0.3
,,3.0,4,35,9,25.7,11.67,3.0,0.11,0.44,18.2,1,0,1,3.7,2.9,0.08,0.3,1.1
,,3.0,1,30,7,23.3,10.0,2.33,0.03,0.14,18.3,1,0,0,2.2,2.2,0.07,-1.2,-1.2
,,3.0,7,49,20,40.8,16.33,6.67,0.14,0.35,16.4,3,0,0,6.3,6.3,0.13,0.7,0.7
,,3.0,2,36,13,36.1,12.0,4.33,0.06,0.15,18.4,0,0,0,2.3,2.3,0.06,-0.3,-0.3
,,3.0,4,29,9,31.0,9.67,3.0,0.1,0.33,15.5,1,1,1,3.4,3.0,0.11,0.6,0.0
,,3.0,5,40,9,22.5,13.33,3.0,0.1,0.44,18.4,1,1,1,4.7,3.9,0.1,0.3,0.1
