stat_id,team_id,age,poss,mp,starts,min,ninety_s,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,27.1,51.3,3,33,270,3.0,5,1.67,4,1.33,9,3.0,5,1.67,0,0,11,0,4.4,1.48,4.4,1.48,3.0,0.99,7.4,2.47
,,28.0,68.7,3,33,270,3.0,9,3.0,6,2.0,15,5.0,7,2.33,2,2,5,0,7.1,2.38,5.6,1.87,5.0,1.68,10.7,3.55
,,27.5,41.0,3,33,270,3.0,1,0.33,0,0.0,1,0.33,1,0.33,0,0,7,0,2.5,0.85,2.5,0.85,1.5,0.5,4.1,1.35
,,27.5,60.7,3,33,270,3.0,6,2.0,5,1.67,11,3.67,5,1.67,1,1,9,1,4.9,1.64,4.2,1.41,3.5,1.17,7.7,2.58
,,26.0,40.3,3,33,270,3.0,5,1.67,4,1.33,9,3.0,4,1.33,1,1,3,0,6.3,2.09,5.5,1.83,5.2,1.74,10.7,3.57
,,26.9,40.3,3,33,270,3.0,5,1.67,3,1.0,8,2.67,5,1.67,0,1,2,0,6.9,2.29,6.1,2.05,3.6,1.21,9.8,3.25
,,27.2,49.3,3,33,270,3.0,5,1.67,3,1.0,8,2.67,5,1.67,0,0,3,0,6.1,2.04,6.1,2.04,4.6,1.52,10.7,3.56
,,26.7,38.7,3,33,270,3.0,8,2.67,5,1.67,13,4.33,6,2.0,2,2,6,0,6.0,1.99,4.4,1.46,3.9,1.3,8.3,2.76
,,28.1,48.0,3,33,270,3.0,5,1.67,3,1.0,8,2.67,4,1.33,1,1,7,0,5.3,1.78,4.6,1.52,3.4,1.14,8.0,2.66
,,26.8,43.3,3,33,270,3.0,3,1.0,3,1.0,6,2.0,3,1.0,0,0,7,1,3.1,1.05,3.1,1.05,2.5,0.82,5.6,1.87
,,26.9,59.7,3,33,270,3.0,9,3.0,4,1.33,13,4.33,8,2.67,1,2,5,0,8.4,2.8,6.7,2.22,5.0,1.66,11.6,3.88
,,28.1,49.3,3,33,270,3.0,5,1.67,2,0.67,7,2.33,4,1.33,1,1,5,0,4.5,1.51,3.7,1.24,2.7,0.89,6.4,2.14
,,26.1,55.7,3,33,270,3.0,4,1.33,3,1.0,7,2.33,4,1.33,0,1,4,1,3.7,1.23,2.9,0.96,2.7,0.9,5.6,1.86
,,27.4,59.0,3,33,270,3.0,1,0.33,1,0.33,2,0.67,1,0.33,0,0,6,0,2.2,0.75,2.2,0.75,2.0,0.66,4.2,1.4
,,25.3,62.0,3,33,270,3.0,7,2.33,3,1.0,10,3.33,7,2.33,0,0,7,0,6.3,2.11,6.3,2.11,3.4,1.13,9.7,3.24
,,27.9,39.7,3,33,270,3.0,2,0.67,1,0.33,3,1.0,2,0.67,0,0,9,0,2.3,0.76,2.3,0.76,1.4,0.47,3.7,1.23
,,27.7,47.7,3,33,270,3.0,4,1.33,3,1.0,7,2.33,3,1.0,1,1,4,1,3.4,1.15,3.0,1.01,2.2,0.72,5.2,1.73
,,25.4,45.3,3,33,270,3.0,5,1.67,3,1.0,8,2.67,4,1.33,1,1,10,0,4.7,1.56,3.9,1.3,2.8,0.94,6.7,2.24
