stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,3.0,6,2.03,4,0,0,1,1,0,1,0.34,1,0,0,0,0,0
,,1.9,8,4.24,4,0,2,1,1,0,1,0.53,1,0,0,0,0,0
,,0.4,3,6.75,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.1,2,1.78,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,9,3.29,8,0,1,0,0,0,1,0.37,1,0,0,0,0,0
,,3.0,5,1.67,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,2,12.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,10,3.38,8,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,2,4.0,2,0,0,0,0,0,1,2.0,1,0,0,0,0,0
,,1.8,7,3.94,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0
,,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,7,2.33,4,2,0,0,1,0,1,0.33,0,1,0,0,0,0
,,1.0,3,2.93,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,7,2.43,5,0,0,0,1,1,2,0.69,1,0,0,0,1,0
,,0.9,3,3.42,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,2,1.57,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0
,,3.0,2,0.67,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.1,2,0.97,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,1,0,0,2,0,0,1,0.33,1,0,0,0,0,0
,,0.4,2,4.5,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.3,3,2.23,1,0,1,1,0,0,1,0.74,0,0,0,1,0,0
,,1.2,1,0.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,4,3.67,1,3,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,2,1.62,2,0,0,0,0,0,1,0.81,1,0,0,0,0,0
,,1.5,2,1.31,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.7,2,1.18,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,12,4.22,8,3,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.4,4,10.91,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,0.2,4,24.0,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,2,1.32,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.4,3,2.13,1,0,2,0,0,0,2,1.42,1,0,1,0,0,0
,,2.7,14,5.21,8,0,3,3,0,0,3,1.12,1,0,2,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,2,1.62,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.6,8,3.03,5,2,0,1,0,0,1,0.38,1,0,0,0,0,0
,,1.3,3,2.25,3,0,0,0,0,0,2,1.5,2,0,0,0,0,0
,,1.4,2,1.46,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,3,1.39,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.8,4,5.14,0,0,1,3,0,0,1,1.29,0,0,0,1,0,0
,,2.2,6,2.71,2,0,0,2,1,1,2,0.9,1,0,0,0,1,0
,,3.0,10,3.33,6,0,0,1,3,0,1,0.33,0,0,0,0,1,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,10,3.85,9,1,0,0,0,0,1,0.38,1,0,0,0,0,0
,,2.0,2,0.99,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,7,4.77,4,2,0,1,0,0,1,0.68,0,1,0,0,0,0
,,2.3,1,0.44,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.4,11,8.05,7,0,1,3,0,0,1,0.73,1,0,0,0,0,0
,,1.1,6,5.68,5,0,0,0,1,0,3,2.84,3,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,3,6.14,3,0,0,0,0,0,1,2.05,1,0,0,0,0,0
,,0.1,2,16.36,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.3,1,0.78,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,4,3.08,3,0,0,1,0,0,1,0.77,0,0,0,1,0,0
,,2.0,3,1.48,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,4,4.44,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.7,12,4.48,4,0,2,5,1,0,1,0.37,0,0,0,1,0,0
,,3.0,2,0.67,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,0.4,1,2.81,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,6,2.57,6,0,0,0,0,0,1,0.43,1,0,0,0,0,0
,,2.6,5,1.91,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.6,1,1.7,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,6,2.12,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,1,0.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.4,16,6.76,10,0,3,2,1,0,3,1.27,2,0,1,0,0,0
,,3.0,3,1.0,2,0,0,1,0,0,1,0.33,0,0,0,1,0,0
,,0.9,1,1.14,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.5,2,0.8,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,5,1.75,1,0,0,2,2,0,1,0.35,1,0,0,0,0,0
,,3.0,3,1.01,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
,,2.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,5,2.25,3,0,1,0,0,1,3,1.35,1,0,1,0,0,1
,,1.6,8,5.11,6,0,0,2,0,0,1,0.64,0,0,0,1,0,0
,,1.2,8,6.55,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,5,2.65,4,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.3,1,3.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,2,2.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,2.8,2,0.72,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,2,4.19,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,2,2.86,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.1,5,4.5,3,0,2,0,0,0,2,1.8,0,0,2,0,0,0
,,2.5,10,4.0,6,0,2,1,0,1,2,0.8,1,0,0,0,0,1
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,5,5.0,3,0,0,1,0,1,1,1.0,1,0,0,0,0,0
,,2.2,4,1.81,4,0,0,0,0,0,1,0.45,1,0,0,0,0,0
,,3.0,8,2.67,6,2,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,22,8.5,10,6,3,3,0,0,2,0.77,1,1,0,0,0,0
,,1.8,4,2.28,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,26,8.67,12,7,2,3,2,0,2,0.67,0,0,0,1,1,0
,,3.0,14,4.67,9,5,0,0,0,0,2,0.67,2,0,0,0,0,0
,,1.0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.7,4,2.35,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,8,4.26,6,0,2,0,0,0,0,0.0,0,0,0,0,0,0
,,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,4,1.38,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,6,2.71,3,1,0,2,0,0,0,0.0,0,0,0,0,0,0
,,0.5,4,7.35,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.7,5,2.94,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,2.0,1,0.5,1,0,0,0,0,0,1,0.5,1,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,7,3.12,6,1,0,0,0,0,1,0.45,1,0,0,0,0,0
,,2.9,2,0.68,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.6,2,1.22,2,0,0,0,0,0,1,0.61,1,0,0,0,0,0
,,0.5,2,4.0,2,0,0,0,0,0,1,2.0,1,0,0,0,0,0
,,0.7,2,2.81,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.8,1,0.56,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.4,3,1.25,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,4,1.49,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,10,3.85,7,1,0,2,0,0,1,0.38,1,0,0,0,0,0
,,0.3,2,7.2,0,1,1,0,0,0,1,3.6,0,1,0,0,0,0
,,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.4,8,5.67,7,0,0,1,0,0,1,0.71,1,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,7,2.33,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,10,3.38,8,0,1,0,1,0,0,0.0,0,0,0,0,0,0
,,1.2,2,1.68,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,3,3.51,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,2,0.8,2,0,0,0,0,0,1,0.4,1,0,0,0,0,0
,,0.1,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,10,3.33,8,1,1,0,0,0,1,0.33,1,0,0,0,0,0
,,3.0,15,5.0,11,3,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,7,2.38,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,14,4.67,9,0,1,3,1,0,4,1.33,2,0,0,1,1,0
,,2.7,3,1.11,2,0,0,1,0,0,1,0.37,0,0,0,1,0,0
,,0.3,2,7.83,1,0,0,0,1,0,1,3.91,0,0,0,0,1,0
,,0.4,2,5.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,5,1.67,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,3.0,8,2.67,3,5,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,9,3.12,7,0,0,2,0,0,1,0.35,1,0,0,0,0,0
,,2.2,2,0.92,2,0,0,0,0,0,1,0.46,1,0,0,0,0,0
,,0.5,1,1.84,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.6,5,0,0,2,0,0,1,0.37,1,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,4,1.34,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,3,3.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,12,4.08,9,3,0,0,0,0,1,0.34,1,0,0,0,0,0
,,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,5,1.67,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,2,0.72,1,0,0,1,0,0,1,0.36,0,0,0,1,0,0
,,0.3,1,3.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,1,2.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,4,1.36,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0
,,1.8,1,0.55,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,4,1.47,2,0,1,1,0,0,1,0.37,0,0,0,1,0,0
,,2.5,1,0.4,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,3,2.35,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,3,1.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,8,2.96,7,1,0,0,0,0,1,0.37,1,0,0,0,0,0
,,1.5,6,3.88,2,4,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.3,3,2.23,1,1,0,1,0,0,1,0.74,1,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.5,3,1.99,2,0,1,0,0,0,1,0.66,1,0,0,0,0,0
,,2.4,1,0.42,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.6,12,4.58,7,1,1,1,1,1,3,1.14,2,0,1,0,0,0
,,3.0,2,0.67,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,5,6.92,3,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,0.6,3,4.91,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.8,3,1.06,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,5,2.6,1,2,0,0,2,0,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,12,5.17,10,0,1,1,0,0,0,0.0,0,0,0,0,0,0
,,2.9,2,0.69,2,0,0,0,0,0,1,0.35,1,0,0,0,0,0
,,2.4,4,1.7,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.7,2,2.86,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.5,1,2.09,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,1,0.33,0,1,0,0,0,0,1,0.33,0,1,0,0,0,0
,,1.1,6,5.24,5,0,1,0,0,0,3,2.62,2,0,1,0,0,0
,,2.3,11,4.76,9,0,2,0,0,0,0,0.0,0,0,0,0,0,0
,,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,8,2.79,6,2,0,0,0,0,2,0.7,2,0,0,0,0,0
,,0.8,1,1.25,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.9,5,1.7,3,1,0,0,0,1,0,0.0,0,0,0,0,0,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
