stat_id,player_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,1.0,1,0,0,0,0,1.8,0.61,0.8,0.79,9,22,40.9,44,5,45.5,37.7,10,2,20.0,3,3.0,16.6
,,3.0,9,1,0,0,0,9.2,0.44,0.2,0.07,13,40,32.5,86,15,37.2,35.2,49,1,2.0,4,1.33,14.6
,,3.0,5,0,0,0,0,6.8,0.44,1.8,0.62,32,72,44.4,102,8,51.0,37.6,54,3,5.6,6,2.0,16.1
,,3.0,5,1,0,0,1,6.6,0.3,2.6,0.85,31,86,36.0,130,12,60.0,41.9,27,0,0.0,0,0.0,11.1
,,3.0,2,0,0,0,0,2.8,0.18,0.8,0.28,7,19,36.8,82,14,20.7,28.9,42,1,2.4,0,0.0,11.0
,,2.0,3,0,0,0,0,3.0,0.26,0.0,-0.02,5,14,35.7,46,10,23.9,28.7,24,2,8.3,0,0.0,11.4
,,3.0,2,1,0,0,0,2.0,0.17,0.0,0.01,9,22,40.9,105,13,17.1,23.8,49,1,2.0,1,0.33,8.8
,,1.0,3,0,0,0,0,1.3,0.33,-1.7,-1.69,4,5,80.0,24,1,20.8,28.1,6,0,0.0,3,3.0,20.2
,,3.0,7,1,0,0,0,4.7,0.24,-2.3,-0.77,16,37,43.2,91,24,26.4,30.8,41,2,4.9,2,0.67,10.8
,,2.0,3,1,0,1,0,2.5,0.35,-0.5,-0.27,7,38,18.4,60,3,46.7,37.8,26,0,0.0,1,0.5,13.8
,,3.0,4,1,0,0,0,3.0,0.25,-1.0,-0.34,19,49,38.8,89,16,33.7,34.2,50,2,4.0,2,0.67,13.8
,,3.0,3,1,0,0,0,2.1,0.19,-0.9,-0.32,9,19,47.4,160,14,11.3,23.7,29,1,3.4,6,2.0,19.1
,,3.0,7,1,0,1,0,6.9,0.36,-0.1,-0.02,11,32,34.4,121,16,24.0,28.5,35,1,2.9,5,1.67,18.0
,,3.0,6,0,0,1,0,6.0,0.25,0.0,-0.01,23,45,51.1,135,10,28.1,30.2,35,0,0.0,3,1.0,17.8
,,3.0,1,0,1,0,0,1.9,0.15,0.9,0.31,27,51,52.9,85,15,43.5,36.6,43,3,7.0,2,0.67,11.5
,,0.5,1,0,0,0,0,0.2,0.08,-0.8,-1.7,2,8,25.0,13,2,38.5,33.1,15,3,20.0,2,4.0,15.2
,,2.5,3,0,0,0,0,2.4,0.24,-0.6,-0.25,13,34,38.2,73,14,35.6,30.8,50,1,2.0,1,0.4,11.5
,,3.0,6,0,0,2,0,6.4,0.4,0.4,0.12,13,36,36.1,124,17,25.8,29.1,43,3,7.0,5,1.67,24.4
,,3.0,11,2,1,0,1,9.4,0.33,-0.6,-0.21,20,51,39.2,108,20,43.5,33.2,51,6,11.8,1,0.33,7.5
,,3.0,6,1,1,0,0,5.4,0.25,-0.6,-0.21,15,45,33.3,75,18,44.0,37.4,64,5,7.8,10,3.33,17.2
,,3.0,3,0,0,0,0,3.1,0.26,0.1,0.04,10,30,33.3,96,20,22.9,32.0,56,4,7.1,2,0.67,12.8
