stat_id,player_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent,pkatt,pka,pk_sv,pk_missed
,,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0
,,3,3,270,3.0,9,3.0,20,11,60.0,1,0,2,0,0.0,1,1,0,0
,,3,3,270,3.0,5,1.67,16,11,68.8,0,0,3,0,0.0,0,0,0,0
,,3,3,270,3.0,5,1.67,19,15,78.9,1,0,2,1,33.3,1,1,0,0
,,3,3,270,3.0,2,0.67,16,14,87.5,2,1,0,2,66.7,0,0,0,0
,,2,2,180,2.0,3,1.5,12,9,75.0,2,0,0,0,0.0,0,0,0,0
,,3,3,270,3.0,2,0.67,7,5,85.7,2,1,0,2,66.7,1,1,0,0
,,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0
,,3,3,270,3.0,7,2.33,16,9,62.5,1,1,1,0,0.0,1,1,0,0
,,2,2,180,2.0,3,1.5,5,2,60.0,1,0,1,0,0.0,1,1,0,0
,,3,3,270,3.0,4,1.33,9,5,66.7,2,0,1,2,66.7,1,1,0,0
,,3,3,270,3.0,3,1.0,6,3,66.7,3,0,0,1,33.3,2,1,0,1
,,3,3,270,3.0,7,2.33,19,12,68.4,1,1,1,0,0.0,1,1,0,0
,,3,3,270,3.0,6,2.0,21,14,71.4,1,0,2,1,33.3,1,0,1,0
,,3,3,270,3.0,1,0.33,7,5,85.7,1,2,0,2,66.7,1,0,1,0
,,1,0,45,0.5,1,2.0,2,1,50.0,0,0,0,0,0.0,0,0,0,0
,,3,3,225,2.5,3,1.2,10,7,70.0,2,0,1,0,0.0,0,0,0,0
,,3,3,270,3.0,6,2.0,16,10,62.5,0,0,3,0,0.0,0,0,0,0
,,3,3,270,3.0,11,3.67,24,14,62.5,0,0,3,0,0.0,2,2,0,0
,,3,3,270,3.0,6,2.0,20,14,75.0,0,2,1,0,0.0,1,1,0,0
,,3,3,270,3.0,3,1.0,12,9,75.0,1,2,0,1,33.3,0,0,0,0
