stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.0,1,0,0,5,8,6,1,2,0,0,0,0,11,8,17,32.0
,,1.9,0,0,0,1,2,0,0,0,4,0,0,0,7,1,3,25.0
,,0.4,0,0,0,0,2,0,1,0,0,1,0,0,2,1,0,100.0
,,1.1,0,0,0,0,3,0,5,0,0,0,0,0,4,1,6,14.3
,,2.7,0,0,0,3,3,2,10,3,1,0,0,0,9,4,1,80.0
,,3.0,2,0,0,4,4,0,3,0,2,0,0,0,16,4,5,44.4
,,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,62.5
,,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0.0
,,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
,,3.0,0,0,0,2,3,0,20,2,1,0,0,0,21,1,0,100.0
,,0.5,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0.0
,,1.8,1,0,0,5,2,0,1,1,2,0,0,0,9,6,1,85.7
,,3.0,1,0,0,5,4,0,2,6,3,0,0,0,9,10,3,76.9
,,3.0,2,0,0,4,11,0,11,2,6,0,0,0,16,3,4,42.9
,,1.0,1,0,0,1,2,0,3,0,2,0,0,0,2,1,0,100.0
,,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0
,,2.9,1,0,0,3,1,0,12,4,2,0,0,0,15,1,3,25.0
,,0.9,1,0,0,0,0,2,3,0,1,0,0,0,3,0,0,0.0
,,0.1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,50.0
,,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0
,,1.3,0,0,0,0,2,0,0,1,2,0,0,0,2,3,3,50.0
,,3.0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0
,,0.2,0,0,0,2,1,0,0,0,2,0,0,0,0,2,0,100.0
,,2.1,0,0,0,1,1,0,2,2,2,0,0,0,13,3,2,60.0
,,3.0,0,0,0,0,3,0,0,0,3,0,0,0,11,4,3,57.1
,,0.4,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,40.0
,,1.3,0,0,0,0,1,2,0,0,1,0,0,0,2,3,6,33.3
,,1.2,0,0,0,2,0,0,0,2,2,0,0,0,3,4,2,66.7
,,1.1,1,0,0,2,0,0,8,0,0,0,0,0,10,1,4,20.0
,,1.2,1,0,0,2,3,0,0,2,0,0,0,0,4,6,0,100.0
,,1.5,0,0,0,2,1,2,2,0,1,0,0,0,3,2,3,40.0
,,1.7,1,0,0,3,0,0,3,0,1,0,0,0,5,2,2,50.0
,,2.8,1,0,0,3,6,0,3,0,5,0,0,0,13,1,3,25.0
,,0.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
,,0.2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.5,0,0,0,2,1,1,0,0,0,0,0,0,1,0,2,0.0
,,1.4,1,0,0,2,2,0,2,0,0,0,1,0,5,2,0,100.0
,,2.7,1,0,0,3,2,0,1,0,1,0,0,0,7,6,3,66.7
,,3.0,0,0,0,4,2,0,0,1,0,0,0,0,6,6,5,54.5
,,1.2,0,0,0,0,1,0,2,0,0,0,0,0,5,3,2,60.0
,,2.6,0,0,0,1,1,0,9,0,0,0,0,0,7,1,0,100.0
,,1.3,0,0,0,2,3,0,1,2,1,0,0,0,9,4,5,44.4
,,1.4,0,0,0,4,2,0,0,0,0,0,0,0,7,4,15,21.1
,,2.2,0,0,0,1,0,1,2,0,2,0,0,0,8,6,5,54.5
,,0.8,0,0,0,0,0,0,2,1,0,0,0,0,5,1,0,100.0
,,2.2,0,0,0,0,4,1,8,0,4,1,0,0,2,2,2,50.0
,,3.0,0,0,0,3,4,4,3,0,0,1,0,0,7,4,6,40.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,2.6,1,0,0,5,2,0,12,2,1,0,0,0,8,3,5,37.5
,,2.0,0,0,0,2,3,0,4,1,0,0,0,0,2,1,2,33.3
,,3.0,1,0,0,4,2,0,0,4,5,0,0,0,10,14,2,87.5
,,1.0,0,0,0,1,0,0,0,3,3,0,0,0,5,0,2,0.0
,,1.5,1,0,0,2,1,0,12,0,2,0,0,0,5,0,3,0.0
,,2.3,0,0,0,4,0,0,0,5,0,0,0,0,10,5,3,62.5
,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.4,0,0,0,1,3,0,6,0,3,0,0,0,7,1,1,50.0
,,1.1,0,0,0,0,1,0,4,0,1,0,0,0,4,1,0,100.0
,,0.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
,,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
,,0.1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0
,,1.3,0,0,0,1,0,0,6,0,1,0,0,0,2,1,3,25.0
,,1.3,0,0,0,1,2,1,1,0,0,0,0,0,5,0,1,0.0
,,2.0,0,0,0,0,6,3,0,0,0,0,0,0,3,5,1,83.3
,,0.3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0
,,0.9,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0.0
,,2.7,0,0,0,2,5,0,5,3,6,0,0,0,11,1,4,20.0
,,3.0,2,0,0,4,2,0,0,2,4,0,0,0,9,2,7,22.2
,,0.4,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0.0
,,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
,,2.3,1,0,0,3,1,0,0,1,5,0,0,0,6,1,7,12.5
,,2.6,0,0,0,0,1,2,19,0,1,0,0,0,3,1,4,20.0
,,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,66.7
,,2.8,0,0,0,3,3,3,5,0,0,0,0,0,10,1,10,9.1
,,2.8,0,0,0,0,2,0,0,6,4,0,0,0,12,5,7,41.7
,,2.4,0,0,0,2,1,2,4,1,1,0,0,0,10,5,10,33.3
,,3.0,0,0,0,3,0,0,1,7,3,0,0,0,10,4,6,40.0
,,0.9,1,0,0,3,1,0,4,0,0,0,0,0,0,1,0,100.0
,,2.5,0,0,0,3,0,0,0,2,3,0,0,0,3,5,3,62.5
,,2.9,2,0,0,10,5,2,1,0,0,0,0,0,10,7,12,36.8
,,3.0,1,0,0,1,0,0,8,3,8,0,0,0,8,4,0,100.0
,,3.0,0,0,0,2,0,0,9,1,5,0,0,0,6,3,4,42.9
,,2.7,1,1,0,2,3,1,1,5,5,0,0,0,7,2,1,66.7
,,2.2,1,0,0,2,2,0,6,3,3,0,0,0,11,0,0,0.0
,,1.6,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0.0
,,1.2,0,0,0,0,0,0,15,1,0,0,0,0,3,0,1,0.0
,,1.0,0,0,0,1,1,0,0,1,1,0,0,0,6,4,0,100.0
,,1.9,0,0,0,5,3,0,1,1,5,0,1,0,6,0,2,0.0
,,0.3,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.0
,,0.3,0,0,0,0,1,0,2,1,1,0,0,0,0,0,4,0.0
,,1.0,1,0,0,1,0,0,1,3,3,0,0,0,1,1,1,50.0
,,2.8,1,0,0,1,1,0,10,4,4,0,0,0,16,1,3,25.0
,,0.5,0,0,0,0,1,0,2,0,0,0,0,0,2,2,0,100.0
,,3.0,1,0,0,9,1,0,1,3,6,0,0,0,8,7,7,50.0
,,0.7,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,60.0
,,1.1,1,0,0,2,3,1,1,1,2,0,0,0,4,0,1,0.0
,,2.5,0,0,0,0,0,1,7,2,3,0,0,0,12,1,1,50.0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
,,1.0,1,0,0,5,0,0,1,1,0,0,0,0,1,7,4,63.6
,,2.2,0,0,0,2,2,0,1,1,3,0,0,0,11,0,0,0.0
,,3.0,2,0,0,1,0,0,1,3,1,0,0,0,9,8,3,72.7
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
,,2.6,0,0,0,1,2,0,15,0,1,0,0,0,16,1,1,50.0
,,1.8,0,0,0,1,1,0,2,1,5,0,0,0,6,2,3,40.0
,,3.0,0,0,0,0,5,0,28,0,2,1,0,0,11,2,2,50.0
,,3.0,1,0,0,2,0,0,27,1,1,0,0,0,12,3,2,60.0
,,1.0,1,0,0,2,4,0,5,1,1,0,0,0,5,0,1,0.0
,,1.7,0,0,0,1,1,0,2,2,4,0,0,0,14,0,1,0.0
,,1.9,2,0,0,5,4,2,2,0,0,0,0,0,4,6,12,33.3
,,0.8,0,0,0,0,4,0,0,0,0,0,0,0,1,4,2,66.7
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
,,2.9,0,0,0,0,1,1,15,2,2,0,0,0,7,1,0,100.0
,,2.2,0,0,0,2,0,0,4,1,1,0,0,0,11,1,4,20.0
,,0.5,0,0,0,1,3,1,3,0,4,0,0,0,4,1,0,100.0
,,1.7,1,0,0,1,3,0,1,2,4,0,0,0,11,3,1,75.0
,,2.0,0,0,0,3,1,0,0,3,1,0,0,0,3,6,1,85.7
,,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0
,,2.2,0,0,0,2,3,0,6,7,3,0,0,0,16,3,1,75.0
,,2.9,0,0,0,2,2,0,1,2,7,0,0,0,7,5,3,62.5
,,1.6,1,0,0,2,1,1,2,0,0,0,0,0,1,4,9,30.8
,,0.5,0,0,0,0,0,0,0,1,2,0,0,0,2,3,3,50.0
,,0.7,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0.0
,,1.8,0,0,0,4,2,0,0,0,0,0,0,0,2,13,10,56.5
