stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,3.0,46,43,3,0,0,0,1,0,0,0,0,0,26,0,2
,,1.9,49,48,1,0,0,0,0,0,0,0,0,0,34,0,6
,,0.4,27,25,2,0,0,0,1,2,0,0,0,0,23,0,0
,,1.1,31,30,0,0,0,1,5,0,0,0,0,0,20,1,0
,,2.7,111,94,16,1,0,2,10,15,0,0,0,0,96,1,3
,,3.0,172,158,13,5,0,2,3,1,0,0,0,0,156,1,1
,,0.2,11,11,0,0,0,0,0,0,0,0,0,0,5,0,0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3.0,184,154,28,11,1,2,20,1,16,4,8,1,138,2,6
,,0.5,21,21,0,0,0,0,3,0,0,0,0,0,8,0,2
,,1.8,114,111,3,3,0,0,1,0,0,0,0,0,102,0,1
,,3.0,230,226,4,3,0,2,2,1,0,0,0,0,210,0,0
,,3.0,135,112,22,14,0,1,11,0,6,6,0,0,107,1,2
,,1.0,21,17,2,0,0,1,3,1,0,0,0,0,11,2,1
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,1.0,46,40,6,4,0,0,0,0,0,0,0,0,31,0,0
,,2.9,108,102,5,0,2,1,12,5,0,0,0,0,75,1,7
,,0.9,18,17,1,0,1,0,3,1,0,0,0,0,11,0,1
,,0.1,9,8,1,0,0,0,3,0,1,1,0,0,6,0,1
,,0.1,8,8,0,0,0,0,3,0,0,0,0,0,6,0,0
,,1.3,42,42,0,0,0,1,0,0,0,0,0,0,35,0,0
,,3.0,108,80,28,6,0,1,0,0,0,0,0,0,78,0,0
,,0.2,10,8,2,0,0,0,0,2,0,0,0,0,4,0,0
,,2.1,76,71,5,2,0,2,2,2,0,0,0,0,59,0,1
,,3.0,94,76,18,5,0,0,0,13,0,0,0,0,79,0,1
,,0.4,16,13,3,0,0,0,0,1,0,0,0,0,10,0,1
,,1.3,23,21,2,0,0,0,0,0,0,0,0,0,14,0,2
,,1.2,54,54,0,0,0,1,0,0,0,0,0,0,46,0,0
,,1.1,48,36,11,7,0,0,8,0,4,2,2,0,37,1,0
,,1.2,44,35,9,1,0,0,0,8,0,0,0,0,32,0,0
,,1.5,23,21,1,0,0,1,2,0,0,0,0,0,16,1,0
,,1.7,34,32,2,0,1,0,3,2,0,0,0,0,22,0,0
,,2.8,112,94,17,0,1,0,3,16,0,0,0,0,84,1,2
,,0.4,13,12,0,0,0,0,0,0,0,0,0,0,11,1,0
,,0.2,12,9,3,0,0,0,3,0,3,2,0,1,11,0,0
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,1.5,23,22,1,0,0,0,0,0,0,0,0,0,14,0,4
,,1.4,87,72,15,1,0,0,2,14,0,0,0,0,76,0,0
,,2.7,42,40,2,0,0,0,1,1,0,0,0,0,33,0,1
,,3.0,91,87,4,4,0,1,0,0,0,0,0,0,72,0,0
,,1.2,40,39,1,0,0,0,2,0,0,0,0,0,25,0,4
,,2.6,149,141,7,3,0,0,9,3,1,0,0,0,121,1,1
,,1.3,67,65,2,2,0,0,1,0,0,0,0,0,58,0,2
,,1.4,27,27,0,0,0,0,0,0,0,0,0,0,15,0,3
,,2.2,33,29,4,0,0,0,2,0,0,0,0,0,19,0,4
,,0.8,29,25,4,0,1,1,2,3,0,0,0,0,21,0,1
,,2.2,45,43,2,0,1,0,8,0,0,0,0,0,36,0,2
,,3.0,50,41,9,0,0,1,3,1,0,0,0,0,38,0,1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2.6,123,106,16,1,0,2,12,14,1,0,1,0,86,1,4
,,2.0,136,133,3,3,0,1,4,0,0,0,0,0,120,0,0
,,3.0,239,230,9,5,0,1,0,0,0,0,0,0,209,0,0
,,1.0,42,42,0,0,0,0,0,0,0,0,0,0,37,0,1
,,1.5,52,36,15,2,1,2,12,2,11,4,6,0,36,1,0
,,2.3,161,155,6,3,0,2,0,3,0,0,0,0,147,0,1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1.4,64,63,1,0,0,0,6,1,0,0,0,0,50,0,1
,,1.1,28,27,1,0,0,0,4,0,0,0,0,0,20,0,3
,,0.2,8,7,1,1,0,0,1,0,0,0,0,0,5,0,0
,,0.5,13,13,0,0,0,0,1,0,0,0,0,0,8,0,0
,,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
,,1.3,29,23,6,2,0,0,6,0,2,1,1,0,19,0,0
,,1.3,65,50,15,4,0,0,1,11,0,0,0,0,58,0,1
,,2.0,39,36,3,0,0,0,0,0,0,0,0,0,26,0,3
,,0.3,17,16,1,0,0,0,5,0,1,1,0,0,11,0,0
,,0.1,8,7,1,0,0,0,0,0,0,0,0,0,8,0,0
,,0.9,28,27,0,0,0,0,1,0,0,0,0,0,20,1,0
,,2.7,70,70,0,0,2,0,5,0,0,0,0,0,45,0,8
,,3.0,96,94,2,2,0,0,0,0,0,0,0,0,72,0,3
,,0.4,26,24,2,2,1,0,1,0,0,0,0,0,22,0,1
,,0.3,17,15,2,2,0,0,0,0,0,0,0,0,15,0,1
,,3.0,127,87,40,15,0,0,0,0,0,0,0,0,84,0,1
,,2.3,113,110,3,2,1,2,0,1,0,0,0,0,101,0,0
,,2.6,69,49,18,5,0,4,19,1,10,3,6,0,34,2,0
,,0.6,54,45,9,2,0,0,0,6,0,0,0,0,42,0,2
,,2.8,79,77,2,0,1,1,5,0,0,0,0,0,56,0,5
,,2.8,97,95,0,0,0,0,0,0,0,0,0,0,72,2,3
,,2.4,67,62,5,0,1,0,4,0,0,0,0,0,52,0,2
,,3.0,171,162,9,1,0,0,1,0,0,0,0,0,148,0,3
,,0.9,27,24,3,0,0,0,4,0,2,2,0,0,19,0,1
,,2.5,138,128,10,5,0,0,0,0,0,0,0,0,132,0,1
,,2.9,47,39,8,1,0,0,1,0,0,0,0,0,32,0,2
,,3.0,126,93,33,3,0,1,8,30,0,0,0,0,85,0,2
,,3.0,128,96,32,2,0,1,9,30,0,0,0,0,88,0,8
,,2.7,135,130,5,5,0,0,1,0,0,0,0,0,126,0,0
,,2.2,79,73,6,0,0,0,6,6,0,0,0,0,63,0,4
,,1.6,64,64,0,0,1,0,2,0,0,0,0,0,51,0,2
,,1.2,124,108,16,6,0,1,15,0,10,5,3,0,107,0,1
,,1.0,100,95,5,2,0,0,0,3,0,0,0,0,87,0,1
,,1.9,67,61,5,3,1,0,1,1,1,1,0,0,53,1,1
,,0.3,10,9,1,0,0,0,1,1,0,0,0,0,8,0,0
,,0.3,13,11,2,0,0,0,2,2,0,0,0,0,6,0,1
,,1.0,46,40,6,0,0,0,1,6,0,0,0,0,33,0,0
,,2.8,121,100,20,1,2,0,10,19,0,0,0,0,89,1,8
,,0.5,20,19,1,0,0,0,2,0,1,0,1,0,14,0,1
,,3.0,108,103,5,1,0,0,1,1,0,0,0,0,91,0,1
,,0.7,33,29,3,2,0,0,0,0,0,0,0,0,26,1,0
,,1.1,31,31,0,0,0,0,1,0,0,0,0,0,30,0,0
,,2.5,120,117,3,0,0,0,7,3,0,0,0,0,92,0,5
,,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
,,1.0,42,32,9,0,0,0,1,9,0,0,0,0,23,1,0
,,2.2,78,78,0,0,0,1,1,0,0,0,0,0,64,0,5
,,3.0,171,165,6,6,1,0,1,0,0,0,0,0,148,0,0
,,3.0,139,118,20,12,0,0,0,0,0,0,0,0,81,1,0
,,2.6,134,108,26,11,2,2,15,3,8,1,7,0,103,0,4
,,1.8,105,101,4,4,1,2,2,0,0,0,0,0,94,0,0
,,3.0,220,190,30,3,0,0,28,9,18,5,8,0,183,0,11
,,3.0,306,278,27,5,0,1,27,2,20,8,9,1,268,1,0
,,1.0,22,19,3,0,0,0,5,2,1,0,1,0,15,0,4
,,1.7,160,140,20,7,1,0,2,12,1,1,0,0,137,0,5
,,1.9,62,61,0,0,0,0,2,0,0,0,0,0,40,1,4
