stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.0,26,46,56.5,298.0,22.0,13,23,56.5,7,12,58.3,0,0,0.0,1,0.6,1.1,-0.1,7,0,0,0
,,1.9,34,49,69.4,484.0,37.0,21,30,70.0,12,15,80.0,0,0,0.0,1,0.3,1.1,-0.1,5,0,0,1
,,0.4,23,27,85.2,276.0,34.0,18,19,94.7,5,6,83.3,0,1,0.0,0,0.1,0.0,0.0,0,0,0,2
,,1.1,20,31,64.5,362.0,65.0,10,13,76.9,5,11,45.5,4,5,80.0,0,0.0,0.0,0.0,0,2,0,2
,,2.7,96,111,86.5,1716.0,514.0,42,46,91.3,42,47,89.4,10,11,90.9,0,0.6,0.4,-0.4,6,3,6,6
,,3.0,156,172,90.7,2733.0,1079.0,71,71,100.0,74,82,90.2,10,16,62.5,0,0.1,0.0,0.0,1,26,0,17
,,0.2,5,11,45.5,74.0,18.0,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.1,-0.1,2,0,0,1
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.1,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.0,138,184,75.0,2664.0,1072.0,54,63,85.7,51,61,83.6,26,44,59.1,0,1.4,0.5,-0.5,6,24,1,22
,,0.5,8,21,38.1,109.0,7.0,5,11,45.5,3,5,60.0,0,1,0.0,1,0.1,0.2,0.8,2,0,0,0
,,1.8,102,114,89.5,1423.0,306.0,64,66,97.0,32,39,82.1,4,5,80.0,0,0.1,0.0,0.0,1,5,0,6
,,3.0,210,230,91.3,3817.0,1025.0,86,90,95.6,108,115,93.9,15,23,65.2,0,0.1,0.0,0.0,1,15,0,16
,,3.0,107,135,79.3,1997.0,635.0,44,49,89.8,46,52,88.5,13,27,48.1,1,0.3,0.2,0.8,3,14,0,14
,,1.0,11,21,52.4,197.0,63.0,6,10,60.0,4,5,80.0,1,3,33.3,0,0.2,0.1,-0.1,1,0,0,1
,,0.1,4,4,100.0,76.0,43.0,0,0,0.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,31,46,67.4,975.0,752.0,4,4,100.0,12,13,92.3,15,29,51.7,0,0.0,0.0,0.0,0,2,0,0
,,2.9,75,108,69.4,1107.0,386.0,41,47,87.2,25,37,67.6,4,8,50.0,0,0.6,0.2,-0.2,2,6,2,10
,,0.9,11,18,61.1,187.0,62.0,6,9,66.7,5,7,71.4,0,0,0.0,0,0.2,0.2,-0.2,2,1,1,1
,,0.1,6,9,66.7,100.0,17.0,3,3,100.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0
,,0.1,6,8,75.0,174.0,16.0,4,4,100.0,0,1,0.0,2,3,66.7,0,0.0,0.0,0.0,0,3,0,1
,,1.3,35,42,83.3,612.0,199.0,16,18,88.9,16,17,94.1,3,7,42.9,0,0.0,0.0,0.0,0,5,0,4
,,3.0,78,108,72.2,2105.0,1510.0,17,17,100.0,36,37,97.3,24,53,45.3,0,0.0,0.1,-0.1,1,0,0,0
,,0.2,4,10,40.0,60.0,28.0,2,4,50.0,2,4,50.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.1,59,76,77.6,1159.0,217.0,23,34,67.6,26,30,86.7,9,9,100.0,0,0.0,0.1,-0.1,1,6,1,5
,,3.0,79,94,84.0,1291.0,402.0,37,40,92.5,35,38,92.1,5,9,55.6,0,0.0,0.0,0.0,0,4,0,3
,,0.4,10,16,62.5,137.0,22.0,7,12,58.3,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.3,14,23,60.9,165.0,10.0,10,16,62.5,3,5,60.0,0,0,0.0,0,0.0,0.0,0.0,1,0,0,2
,,1.2,46,54,85.2,942.0,445.0,13,15,86.7,23,24,95.8,8,13,61.5,0,0.0,0.0,0.0,0,2,0,2
,,1.1,37,48,77.1,801.0,339.0,14,16,87.5,10,13,76.9,11,15,73.3,0,0.2,0.1,-0.1,3,7,1,4
,,1.2,32,44,72.7,540.0,314.0,15,21,71.4,15,19,78.9,1,2,50.0,1,0.0,0.4,0.6,1,3,0,3
,,1.5,16,23,69.6,233.0,36.0,10,11,90.9,4,8,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,2
,,1.7,22,34,64.7,337.0,128.0,11,14,78.6,11,16,68.8,0,4,0.0,0,0.1,0.2,-0.2,1,2,0,3
,,2.8,84,112,75.0,1423.0,428.0,40,48,83.3,37,47,78.7,6,12,50.0,0,0.2,0.2,-0.2,4,12,2,11
,,0.4,11,13,84.6,117.0,5.0,8,9,88.9,2,2,100.0,0,0,0.0,0,0.1,0.1,-0.1,2,0,0,0
,,0.2,11,12,91.7,253.0,114.0,3,3,100.0,3,3,100.0,4,5,80.0,0,0.1,0.1,-0.1,3,3,0,4
,,0.0,1,2,50.0,6.0,0.0,1,1,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.5,14,23,60.9,219.0,21.0,6,9,66.7,7,9,77.8,0,0,0.0,0,0.0,0.1,-0.1,1,0,0,1
,,1.4,76,87,87.4,1014.0,291.0,53,57,93.0,18,23,78.3,2,4,50.0,1,0.6,0.9,0.1,1,6,0,0
,,2.7,33,42,78.6,491.0,100.0,17,24,70.8,11,11,100.0,3,4,75.0,1,0.4,0.7,0.3,4,2,1,6
,,3.0,72,91,79.1,1238.0,273.0,31,34,91.2,36,43,83.7,5,11,45.5,0,0.0,0.0,0.0,0,3,0,3
,,1.2,25,40,62.5,265.0,98.0,22,25,88.0,3,7,42.9,0,4,0.0,0,0.0,0.1,-0.1,1,2,0,2
,,2.6,121,149,81.2,1773.0,415.0,71,81,87.7,43,54,79.6,4,8,50.0,1,0.4,0.3,0.7,4,14,0,19
,,1.3,58,67,86.6,1042.0,369.0,20,24,83.3,34,36,94.4,3,4,75.0,1,0.3,0.4,0.6,1,10,1,10
,,1.4,15,27,55.6,264.0,37.0,6,11,54.5,5,6,83.3,3,3,100.0,0,0.0,0.0,0.0,1,2,0,2
,,2.2,19,33,57.6,205.0,30.0,11,15,73.3,3,4,75.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,2
,,0.8,21,29,72.4,356.0,113.0,12,14,85.7,4,5,80.0,4,7,57.1,0,0.1,0.0,0.0,0,2,0,3
,,2.2,36,45,80.0,477.0,112.0,25,26,96.2,8,13,61.5,1,2,50.0,1,0.6,0.7,0.3,3,4,1,3
,,3.0,38,50,76.0,550.0,85.0,23,27,85.2,10,14,71.4,3,6,50.0,0,0.1,0.1,-0.1,3,2,0,4
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.6,86,123,69.9,1538.0,591.0,47,53,88.7,25,38,65.8,13,22,59.1,0,1.0,0.2,-0.2,3,7,1,9
,,2.0,120,136,88.2,1894.0,376.0,63,66,95.5,52,57,91.2,5,11,45.5,0,0.1,0.0,0.0,0,9,0,6
,,3.0,209,239,87.4,3914.0,1716.0,88,97,90.7,103,111,92.8,18,28,64.3,0,0.1,0.0,0.0,1,11,0,13
,,1.0,37,42,88.1,851.0,367.0,8,11,72.7,20,22,90.9,9,9,100.0,0,0.0,0.0,0.0,0,2,0,1
,,1.5,36,52,69.2,622.0,282.0,18,19,94.7,9,13,69.2,6,16,37.5,0,0.4,0.2,-0.2,4,2,0,7
,,2.3,147,161,91.3,2725.0,816.0,52,54,96.3,87,93,93.5,8,11,72.7,0,0.1,0.0,0.0,0,8,0,8
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.4,50,64,78.1,825.0,168.0,30,35,85.7,17,24,70.8,3,4,75.0,1,0.3,0.4,0.6,4,5,0,3
,,1.1,20,28,71.4,330.0,103.0,9,11,81.8,6,9,66.7,3,4,75.0,1,0.7,1.1,-0.1,3,3,0,4
,,0.2,5,8,62.5,80.0,5.0,2,3,66.7,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0
,,0.5,8,13,61.5,99.0,20.0,4,6,66.7,2,2,100.0,0,0,0.0,0,0.1,0.1,-0.1,1,0,1,2
,,0.1,2,3,66.7,49.0,33.0,1,1,100.0,0,0,0.0,1,2,50.0,0,0.0,0.1,-0.1,1,1,0,2
,,1.3,19,29,65.5,379.0,124.0,10,13,76.9,3,7,42.9,5,7,71.4,0,0.1,0.3,-0.3,1,1,0,0
,,1.3,58,65,89.2,810.0,218.0,38,41,92.7,18,19,94.7,2,4,50.0,0,0.0,0.0,0.0,1,3,0,5
,,2.0,26,39,66.7,320.0,32.0,17,23,73.9,8,11,72.7,0,0,0.0,0,0.1,0.0,0.0,1,1,0,2
,,0.3,11,17,64.7,113.0,12.0,8,10,80.0,2,3,66.7,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.1,8,8,100.0,105.0,36.0,5,5,100.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.9,20,28,71.4,258.0,58.0,11,14,78.6,5,9,55.6,1,1,100.0,0,0.1,0.2,-0.2,4,1,0,0
,,2.7,45,70,64.3,745.0,318.0,18,23,78.3,20,28,71.4,5,7,71.4,0,0.1,0.0,0.0,1,6,0,10
,,3.0,72,96,75.0,1290.0,332.0,29,33,87.9,35,39,89.7,6,18,33.3,0,0.0,0.0,0.0,1,4,0,3
,,0.4,22,26,84.6,342.0,77.0,12,12,100.0,9,12,75.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,1
,,0.3,15,17,88.2,264.0,87.0,8,8,100.0,5,5,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,1
,,3.0,84,127,66.1,2824.0,2375.0,16,16,100.0,31,31,100.0,37,79,46.8,0,0.0,0.0,0.0,0,3,0,0
,,2.3,101,113,89.4,1692.0,764.0,60,63,95.2,30,35,85.7,9,11,81.8,0,0.2,0.0,0.0,1,12,0,12
,,2.6,34,69,49.3,823.0,283.0,8,14,57.1,10,22,45.5,13,25,52.0,0,0.4,0.2,-0.2,2,4,1,10
,,0.6,42,54,77.8,754.0,320.0,11,16,68.8,28,29,96.6,2,8,25.0,0,0.1,0.0,0.0,0,2,0,2
,,2.8,56,79,70.9,892.0,206.0,26,35,74.3,23,28,82.1,4,9,44.4,0,0.2,0.3,-0.3,2,6,1,8
,,2.8,72,97,74.2,1195.0,309.0,34,44,77.3,35,43,81.4,2,4,50.0,0,0.2,0.1,-0.1,1,6,0,9
,,2.4,52,67,77.6,751.0,163.0,31,39,79.5,18,19,94.7,2,4,50.0,2,1.0,1.8,0.2,8,3,2,7
,,3.0,148,171,86.5,2218.0,790.0,79,86,91.9,62,70,88.6,2,7,28.6,0,0.1,0.1,-0.1,1,6,0,5
,,0.9,19,27,70.4,195.0,57.0,14,16,87.5,2,3,66.7,0,3,0.0,0,0.0,0.0,0.0,0,2,0,1
,,2.5,132,138,95.7,2161.0,895.0,61,64,95.3,62,63,98.4,7,8,87.5,0,0.1,0.1,-0.1,2,0,0,2
,,2.9,32,47,68.1,450.0,84.0,11,18,61.1,13,16,81.3,1,1,100.0,0,0.1,0.2,-0.2,1,1,1,3
,,3.0,85,126,67.5,1395.0,565.0,42,47,89.4,35,55,63.6,4,12,33.3,0,0.1,0.0,0.0,1,6,0,11
,,3.0,88,128,68.8,1523.0,681.0,40,48,83.3,35,51,68.6,9,16,56.3,0,0.1,0.0,0.0,0,6,2,9
,,2.7,126,135,93.3,2591.0,856.0,26,26,100.0,84,87,96.6,14,18,77.8,0,0.1,0.0,0.0,0,3,0,7
,,2.2,63,79,79.7,838.0,202.0,40,45,88.9,20,24,83.3,1,2,50.0,1,0.1,0.1,0.9,1,1,1,4
,,1.6,51,64,79.7,775.0,189.0,29,30,96.7,17,24,70.8,4,7,57.1,0,0.1,0.1,-0.1,1,7,0,10
,,1.2,107,124,86.3,1803.0,629.0,58,62,93.5,32,36,88.9,13,20,65.0,0,0.3,0.2,-0.2,4,11,1,11
,,1.0,87,100,87.0,1324.0,477.0,46,51,90.2,31,34,91.2,5,7,71.4,0,0.0,0.0,0.0,0,9,0,9
,,1.9,53,67,79.1,741.0,188.0,34,40,85.0,19,21,90.5,0,2,0.0,0,0.1,0.1,-0.1,1,5,0,5
,,0.3,8,10,80.0,136.0,35.0,2,2,100.0,6,8,75.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,0.3,6,13,46.2,75.0,18.0,4,6,66.7,2,6,33.3,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,33,46,71.7,598.0,275.0,13,16,81.3,18,21,85.7,2,8,25.0,0,0.2,0.2,-0.2,2,3,1,2
,,2.8,89,121,73.6,1479.0,680.0,43,48,89.6,35,39,89.7,8,21,38.1,0,0.1,0.0,0.0,0,5,1,9
,,0.5,14,20,70.0,201.0,75.0,10,12,83.3,3,4,75.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0
,,3.0,91,108,84.3,1784.0,518.0,30,33,90.9,53,60,88.3,7,11,63.6,0,0.0,0.0,0.0,0,1,0,1
,,0.7,26,33,78.8,474.0,215.0,15,16,93.8,9,12,75.0,2,4,50.0,0,0.0,0.0,0.0,0,3,0,4
,,1.1,30,31,96.8,363.0,51.0,23,23,100.0,6,6,100.0,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,1
,,2.5,92,120,76.7,1417.0,256.0,51,64,79.7,36,45,80.0,2,4,50.0,2,0.7,0.8,1.2,5,2,0,9
,,0.0,3,3,100.0,47.0,14.0,0,0,0.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,23,42,54.8,381.0,218.0,13,17,76.5,9,20,45.0,1,4,25.0,0,0.1,0.1,-0.1,1,3,0,4
,,2.2,64,78,82.1,916.0,227.0,36,39,92.3,22,26,84.6,3,4,75.0,1,0.1,0.3,0.7,3,9,0,9
,,3.0,148,171,86.5,3453.0,1698.0,20,23,87.0,106,111,95.5,22,36,61.1,0,0.3,0.5,-0.5,4,17,0,25
,,3.0,81,139,58.3,2702.0,2019.0,11,11,100.0,33,33,100.0,36,93,38.7,0,0.1,0.0,0.0,1,11,0,1
,,2.6,103,134,76.9,1889.0,708.0,46,53,86.8,39,44,88.6,13,28,46.4,2,1.4,1.4,0.6,9,12,0,16
,,1.8,94,105,89.5,1890.0,631.0,33,37,89.2,47,50,94.0,12,16,75.0,0,0.3,0.0,0.0,0,15,0,7
,,3.0,183,220,83.2,2748.0,937.0,114,123,92.7,42,51,82.4,20,30,66.7,0,1.8,1.4,-1.4,14,11,5,23
,,3.0,268,306,87.6,4636.0,1571.0,142,148,95.9,93,105,88.6,28,46,60.9,1,1.0,0.8,0.2,11,21,1,27
,,1.0,15,22,68.2,244.0,69.0,8,9,88.9,6,6,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,3
,,1.7,137,160,85.6,1921.0,603.0,90,99,90.9,43,47,91.5,3,8,37.5,0,0.2,0.0,0.0,1,10,0,8
,,1.9,40,62,64.5,543.0,92.0,27,38,71.1,9,14,64.3,3,5,60.0,0,0.2,0.4,-0.4,4,4,1,2
,,0.8,22,28,78.6,282.0,27.0,15,17,88.2,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,1
,,3.0,78,93,83.9,1934.0,1234.0,15,15,100.0,38,40,95.0,25,38,65.8,0,0.0,0.0,0.0,0,0,0,0
,,2.9,83,121,68.6,1380.0,570.0,38,47,80.9,37,44,84.1,6,25,24.0,0,0.6,0.3,-0.3,2,7,3,3
,,2.2,64,93,68.8,1059.0,343.0,28,34,82.4,31,39,79.5,4,15,26.7,0,0.0,0.0,0.0,0,6,0,7
,,0.5,16,22,72.7,194.0,54.0,10,10,100.0,3,5,60.0,1,3,33.3,0,0.2,0.1,-0.1,2,1,0,1
,,1.7,94,115,81.7,1370.0,425.0,51,57,89.5,35,41,85.4,4,11,36.4,0,0.1,0.0,0.0,0,11,0,7
,,2.0,60,73,82.2,1151.0,305.0,21,22,95.5,34,40,85.0,5,11,45.5,1,0.4,0.2,0.8,1,2,0,0
,,0.0,1,2,50.0,21.0,20.0,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,1
,,2.2,83,108,76.9,1452.0,471.0,33,37,89.2,38,44,86.4,9,15,60.0,1,0.4,0.6,0.4,6,9,1,10
,,2.9,173,192,90.1,2757.0,887.0,85,94,90.4,73,77,94.8,9,12,75.0,0,0.1,0.0,0.0,0,15,0,10
,,1.6,18,25,72.0,276.0,85.0,9,13,69.2,7,9,77.8,1,1,100.0,1,0.6,0.7,0.3,1,2,1,5
,,0.5,15,20,75.0,265.0,87.0,4,5,80.0,9,12,75.0,0,0,0.0,0,0.0,0.0,0.0,0,2,0,2
,,0.7,29,36,80.6,369.0,59.0,18,21,85.7,9,13,69.2,1,1,100.0,0,0.0,0.0,0.0,0,1,0,3
,,1.8,23,48,47.9,303.0,80.0,15,24,62.5,8,17,47.1,0,4,0.0,0,0.0,0.1,-0.1,1,2,0,2
,,0.6,14,16,87.5,161.0,20.0,12,12,100.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0
,,2.4,28,51,54.9,418.0,108.0,15,24,62.5,8,11,72.7,3,6,50.0,0,0.4,0.2,-0.2,2,3,0,4
,,2.7,97,119,81.5,1451.0,575.0,57,62,91.9,32,40,80.0,5,11,45.5,0,0.2,0.1,-0.1,4,3,1,6
,,2.6,54,86,62.8,730.0,207.0,29,42,69.0,21,29,72.4,1,7,14.3,1,0.8,1.2,-0.2,6,3,1,10
,,0.3,8,10,80.0,155.0,48.0,3,3,100.0,3,4,75.0,2,2,100.0,1,0.2,0.6,0.4,1,0,0,1
,,2.0,42,52,80.8,1033.0,761.0,8,8,100.0,21,21,100.0,13,23,56.5,0,0.0,0.0,0.0,0,0,0,0
,,0.5,17,21,81.0,334.0,86.0,5,7,71.4,10,11,90.9,2,3,66.7,0,0.0,0.0,0.0,0,5,0,2
,,1.4,42,50,84.0,501.0,96.0,26,31,83.9,11,13,84.6,1,2,50.0,0,0.1,0.0,0.0,1,3,0,6
,,0.2,2,3,66.7,34.0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.0,95,135,70.4,1449.0,505.0,56,71,78.9,31,44,70.5,6,10,60.0,0,0.6,0.3,-0.3,3,9,0,17
,,3.0,136,169,80.5,2291.0,825.0,61,67,91.0,68,80,85.0,6,17,35.3,0,0.4,0.2,-0.2,1,6,0,8
,,1.0,33,37,89.2,658.0,187.0,10,10,100.0,17,20,85.0,5,6,83.3,0,0.0,0.0,0.0,0,1,0,2
,,3.0,72,95,75.8,1000.0,285.0,45,52,86.5,22,29,75.9,3,4,75.0,0,0.6,0.8,-0.8,5,3,0,13
,,1.2,35,45,77.8,632.0,283.0,19,20,95.0,12,15,80.0,4,6,66.7,1,0.3,0.2,0.8,2,7,0,7
,,0.5,10,14,71.4,243.0,150.0,2,3,66.7,5,7,71.4,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0
,,0.9,17,25,68.0,301.0,77.0,10,12,83.3,2,4,50.0,4,4,100.0,0,0.2,0.1,-0.1,2,1,0,3
,,1.0,50,57,87.7,943.0,352.0,12,15,80.0,35,37,94.6,3,5,60.0,0,0.0,0.0,0.0,0,5,0,5
,,2.0,101,117,86.3,1605.0,513.0,50,53,94.3,47,55,85.5,3,6,50.0,0,0.1,0.1,-0.1,2,1,0,6
,,2.5,128,151,84.8,2370.0,763.0,43,47,91.5,73,82,89.0,9,15,60.0,0,0.0,0.0,0.0,0,6,0,10
,,0.1,2,3,66.7,34.0,33.0,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,1
,,3.0,97,140,69.3,1454.0,408.0,62,75,82.7,26,39,66.7,7,17,41.2,0,0.3,0.4,-0.4,6,8,2,5
,,3.0,117,144,81.3,1613.0,441.0,76,83,91.6,30,39,76.9,6,15,40.0,0,0.6,0.8,-0.8,7,9,1,12
,,2.9,204,225,90.7,3216.0,835.0,97,102,95.1,93,99,93.9,10,15,66.7,0,0.1,0.1,-0.1,2,16,0,17
,,3.0,55,66,83.3,1109.0,355.0,19,24,79.2,26,28,92.9,9,11,81.8,2,0.3,0.7,1.3,6,11,0,12
,,2.7,172,190,90.5,2723.0,827.0,87,91,95.6,72,77,93.5,10,14,71.4,0,0.1,0.0,0.0,1,10,0,9
,,0.3,2,3,66.7,28.0,17.0,1,1,100.0,1,1,100.0,0,0,0.0,0,0.0,0.1,-0.1,1,0,0,1
,,0.4,16,18,88.9,412.0,137.0,2,3,66.7,10,11,90.9,4,4,100.0,0,0.0,0.0,0.0,1,4,2,4
,,0.1,7,11,63.6,108.0,6.0,4,5,80.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.7,12,12,100.0,186.0,65.0,8,8,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,2
,,3.0,67,92,72.8,1028.0,380.0,39,47,83.0,22,28,78.6,4,7,57.1,0,0.1,0.1,-0.1,2,8,0,4
,,3.0,270,300,90.0,4633.0,1357.0,132,139,95.0,110,118,93.2,26,37,70.3,0,0.5,0.7,-0.7,6,24,0,20
,,2.9,32,50,64.0,469.0,115.0,19,25,76.0,11,15,73.3,1,2,50.0,1,1.1,1.4,-0.4,5,0,1,4
,,2.2,148,164,90.2,2502.0,908.0,64,71,90.1,77,80,96.3,5,10,50.0,0,0.0,0.0,0.0,0,5,0,9
,,0.5,13,17,76.5,187.0,120.0,8,9,88.9,4,7,57.1,1,1,100.0,0,0.1,0.1,-0.1,1,1,0,4
,,2.7,98,104,94.2,1669.0,504.0,42,45,93.3,51,52,98.1,2,4,50.0,0,0.0,0.0,0.0,0,5,0,12
,,3.0,98,113,86.7,2082.0,1561.0,35,36,97.2,47,47,100.0,16,30,53.3,0,0.0,0.0,0.0,0,1,0,0
,,3.0,138,154,89.6,2749.0,1057.0,46,49,93.9,75,79,94.9,17,22,77.3,0,0.0,0.0,0.0,0,11,0,12
,,0.3,5,5,100.0,88.0,26.0,1,1,100.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,3.0,111,148,75.0,2060.0,949.0,45,54,83.3,53,61,86.9,11,26,42.3,0,0.2,0.1,-0.1,1,12,1,17
,,1.0,28,42,66.7,494.0,208.0,14,18,77.8,9,15,60.0,4,7,57.1,0,0.0,0.0,0.0,1,4,0,1
,,0.3,6,8,75.0,82.0,15.0,3,4,75.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,0.1,4,4,100.0,57.0,20.0,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.0,6,9,66.7,124.0,25.0,3,3,100.0,2,5,40.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0
,,1.0,24,25,96.0,633.0,434.0,6,6,100.0,12,12,100.0,6,7,85.7,0,0.0,0.0,0.0,0,2,0,0
,,2.9,110,143,76.9,1765.0,478.0,60,67,89.6,32,46,69.6,11,17,64.7,1,0.8,0.8,0.2,5,7,2,17
