stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,3,266,3.0,3,89.0,2,0,0.0,0,2.0,5,4,1,0.34,6.9,2.7,4.2,1.4
,,3,170,1.9,2,68.0,0,1,34.0,0,2.33,3,2,1,0.53,2.8,2.2,0.6,0.3
,,3,40,0.4,0,0.0,0,3,13.0,0,2.0,1,2,-1,-2.25,1.8,0.6,1.2,2.74
,,3,101,1.1,0,0.0,0,3,34.0,0,0.0,1,4,-3,-2.67,0.7,2.9,-2.3,-2.02
,,3,246,2.7,3,82.0,2,0,0.0,0,1.67,3,3,0,0.0,3.1,2.4,0.6,0.23
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,9,-4,-1.33,5.3,7.6,-2.3,-0.76
,,2,15,0.2,0,0.0,0,2,8.0,0,0.0,0,1,-1,-6.0,0.2,0.9,-0.7,-4.06
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,2,0.0,0,0.0,0,2,1.0,1,2.0,0,0,0,0.0,0.0,0.0,0.0,-1.1
,,1,6,0.1,0,0.0,0,1,6.0,2,3.0,0,0,0,0.0,0.3,0.6,-0.3,-5.14
,,3,266,3.0,3,89.0,2,0,0.0,0,0.67,4,5,-1,-0.34,4.2,5.7,-1.5,-0.52
,,1,45,0.5,0,0.0,0,1,45.0,0,0.0,1,1,0,0.0,0.8,1.5,-0.7,-1.4
,,2,160,1.8,2,80.0,0,0,0.0,1,3.0,6,2,4,2.25,4.9,1.9,3.0,1.68
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,2.33,6,2,4,1.33,4.9,3.5,1.4,0.48
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,5,0,0.0,4.7,6.0,-1.3,-0.44
,,3,92,1.0,0,0.0,0,3,31.0,0,0.0,3,3,0,0.0,1.5,2.5,-1.0,-0.98
,,1,5,0.1,0,0.0,0,1,5.0,2,0.0,0,0,0,0.0,0.3,0.0,0.3,5.57
,,1,90,1.0,1,90.0,1,0,0.0,1,3.0,2,1,1,1.0,3.7,0.9,2.8,2.83
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,259,2.9,3,86.0,2,0,0.0,0,1.0,5,5,0,0.0,4.3,5.9,-1.5,-0.54
,,3,79,0.9,0,0.0,0,3,26.0,0,0.0,0,2,-2,-2.28,0.8,2.9,-2.2,-2.47
,,2,9,0.1,0,0.0,0,2,5.0,1,0.0,0,0,0,0.0,0.2,0.0,0.1,1.41
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2,5,0.1,0,0.0,0,2,3.0,1,0.5,1,1,0,0.0,0.4,0.4,0.0,-0.26
,,2,115,1.3,1,90.0,1,1,25.0,1,2.0,3,1,2,1.57,2.8,1.1,1.7,1.34
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,9,-4,-1.33,5.3,7.6,-2.3,-0.76
,,3,19,0.2,0,0.0,0,3,6.0,0,2.33,0,0,0,0.0,0.1,0.8,-0.7,-3.32
,,3,187,2.1,3,62.0,0,0,0.0,0,2.0,5,3,2,0.96,3.7,2.4,1.2,0.59
,,3,270,3.0,3,90.0,3,0,0.0,0,0.0,3,11,-8,-2.67,3.1,8.0,-4.8,-1.6
,,2,40,0.4,0,0.0,0,2,20.0,1,0.0,1,2,-1,-2.25,1.1,1.7,-0.5,-1.17
,,3,121,1.3,1,70.0,0,2,26.0,0,2.33,3,1,2,1.49,2.4,2.1,0.4,0.27
,,2,105,1.2,1,45.0,0,1,60.0,1,1.0,2,3,-1,-0.86,2.4,2.1,0.3,0.26
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,98,1.1,1,55.0,0,2,22.0,0,1.67,1,0,1,0.92,0.5,1.0,-0.5,-0.45
,,3,111,1.2,1,71.0,0,2,20.0,0,2.33,4,1,3,2.43,2.5,1.0,1.5,1.23
,,3,137,1.5,1,60.0,0,2,39.0,0,1.0,3,5,-2,-1.31,2.1,3.2,-1.1,-0.72
,,2,152,1.7,2,76.0,1,0,0.0,0,0.0,2,5,-3,-1.78,2.2,4.4,-2.1,-1.27
,,3,256,2.8,3,85.0,2,0,0.0,0,0.0,1,5,-4,-1.41,2.5,7.3,-4.9,-1.71
,,2,33,0.4,0,0.0,0,2,17.0,0,2.0,1,1,0,0.0,1.7,0.4,1.3,3.52
,,1,15,0.2,0,0.0,0,1,15.0,0,0.0,0,0,0,0.0,0.3,0.1,0.2,1.26
,,1,3,0.0,0,0.0,0,1,3.0,2,1.0,0,0,0,0.0,0.0,0.0,0.0,-0.91
,,3,137,1.5,1,64.0,0,2,37.0,0,0.0,1,4,-3,-1.97,1.4,5.2,-3.8,-2.52
,,2,127,1.4,2,64.0,0,0,0.0,1,3.0,5,2,3,2.13,4.0,1.5,2.5,1.77
,,3,242,2.7,3,81.0,0,0,0.0,0,2.0,8,4,4,1.49,6.7,3.3,3.4,1.28
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,5,5,0,0.0,4.7,6.0,-1.3,-0.44
,,3,111,1.2,1,88.0,0,2,12.0,0,0.0,1,3,-2,-1.62,0.5,2.5,-2.0,-1.61
,,3,238,2.6,3,79.0,0,0,0.0,0,2.33,4,2,2,0.76,3.6,3.4,0.2,0.07
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
