stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.0,78,3,14,35,32,13,78,2,2,100.0,0,0.0,42,219.0,92.0,2,2,1,7,2,48,11
,,1.9,79,2,8,40,35,9,79,8,4,50.0,3,37.5,44,343.0,179.0,5,5,4,7,3,56,15
,,0.4,37,1,4,11,22,5,37,5,2,40.0,2,40.0,21,158.0,94.0,4,4,1,2,0,29,6
,,1.1,53,1,2,17,35,6,53,9,5,55.6,3,33.3,37,260.0,123.0,5,2,3,6,2,44,13
,,2.7,133,7,41,49,43,10,133,3,1,33.3,2,66.7,71,439.0,232.0,7,2,3,4,0,87,26
,,3.0,204,33,90,93,21,0,204,2,1,50.0,1,50.0,127,594.0,285.0,3,4,0,0,1,128,4
,,0.2,13,0,0,2,11,4,13,0,0,0.0,0,0.0,6,19.0,1.0,0,0,0,0,2,13,4
,,0.0,5,0,4,1,0,0,5,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,0,0,0
,,0.1,6,5,6,0,0,0,6,0,0,0.0,0,0.0,1,26.0,0.0,0,0,0,0,0,0,0
,,3.0,214,7,38,107,70,4,213,4,3,75.0,1,25.0,103,481.0,185.0,5,2,1,4,5,130,8
,,0.5,27,0,4,6,17,3,27,3,0,0.0,3,100.0,18,157.0,78.0,3,1,2,0,0,21,9
,,1.8,131,6,25,81,26,1,131,1,0,0.0,0,0.0,37,159.0,67.0,0,2,0,0,0,90,3
,,3.0,271,30,96,158,17,7,271,1,0,0.0,1,100.0,169,829.0,412.0,3,2,0,3,0,206,5
,,3.0,157,6,26,96,36,1,157,0,0,0.0,0,0.0,73,276.0,90.0,0,0,0,2,0,89,1
,,1.0,37,1,7,14,16,2,37,4,2,50.0,2,50.0,19,119.0,37.0,1,3,0,7,4,22,7
,,0.1,5,0,1,2,2,0,5,0,0,0.0,0,0.0,3,22.0,13.0,1,1,0,0,0,2,1
,,1.0,47,32,46,1,0,0,47,0,0,0.0,0,0.0,28,175.0,103.0,0,0,0,0,0,27,0
,,2.9,139,2,15,60,66,7,139,5,2,40.0,3,60.0,75,432.0,147.0,2,2,2,4,4,85,19
,,0.9,38,0,2,16,22,1,38,8,2,25.0,5,62.5,26,194.0,126.0,2,4,0,4,3,25,3
,,0.1,14,0,0,5,9,0,14,2,0,0.0,2,100.0,11,48.0,5.0,0,0,0,3,0,11,4
,,0.1,10,1,2,5,3,0,10,0,0,0.0,0,0.0,5,39.0,24.0,1,0,0,0,0,5,4
,,1.3,58,7,24,32,2,0,58,0,0,0.0,0,0.0,27,152.0,73.0,0,0,0,0,0,35,2
,,3.0,120,100,118,2,0,0,120,0,0,0.0,0,0.0,69,232.0,128.0,0,0,0,0,0,59,0
,,0.2,15,3,6,7,2,0,15,0,0,0.0,0,0.0,2,17.0,0.0,0,0,0,1,1,5,1
,,2.1,102,2,24,60,18,3,102,4,2,50.0,2,50.0,52,294.0,106.0,2,2,0,5,2,60,5
,,3.0,126,13,68,48,11,5,126,3,2,66.7,1,33.3,56,313.0,164.0,1,1,1,9,2,69,10
,,0.4,22,0,1,8,13,4,22,0,0,0.0,0,0.0,6,17.0,4.0,0,0,0,1,0,15,5
,,1.3,36,1,3,13,20,1,36,5,1,20.0,4,80.0,14,51.0,7.0,0,0,0,3,4,23,7
,,1.2,73,14,41,30,2,2,73,0,0,0.0,0,0.0,27,96.0,53.0,2,0,0,1,0,44,1
,,1.1,64,0,14,29,22,2,64,0,0,0.0,0,0.0,36,150.0,54.0,1,1,0,4,1,29,6
,,1.2,66,5,25,26,16,5,66,0,0,0.0,0,0.0,13,71.0,25.0,0,0,0,1,1,28,4
,,1.5,32,1,5,10,17,6,32,2,1,50.0,1,50.0,20,60.0,30.0,1,1,1,1,1,23,7
,,1.7,57,1,16,25,19,3,57,7,3,42.9,4,57.1,24,148.0,82.0,2,3,0,5,3,35,5
,,2.8,137,10,19,73,47,1,137,3,1,33.3,2,66.7,57,229.0,110.0,3,3,0,7,1,66,7
,,0.4,18,0,0,4,14,5,18,1,1,100.0,0,0.0,12,54.0,13.0,2,1,2,1,0,15,4
,,0.2,14,1,2,5,7,1,14,0,0,0.0,0,0.0,5,37.0,35.0,3,1,1,0,0,6,0
,,0.0,3,0,0,2,1,0,3,0,0,0.0,0,0.0,1,14.0,8.0,1,0,0,0,0,2,0
,,1.5,32,3,4,11,17,5,32,0,0,0.0,0,0.0,25,111.0,22.0,1,1,0,2,3,24,11
,,1.4,103,2,18,48,38,3,103,6,3,50.0,3,50.0,58,268.0,119.0,4,3,2,2,0,72,10
,,2.7,92,2,6,31,56,27,92,16,6,37.5,9,56.3,48,318.0,140.0,8,4,7,10,9,72,14
,,3.0,116,12,38,71,8,4,116,1,0,0.0,1,100.0,55,264.0,84.0,0,0,0,1,0,64,0
,,1.2,53,0,8,23,22,6,53,3,1,33.3,2,66.7,22,133.0,49.0,2,0,0,2,2,32,4
,,2.6,168,2,19,75,74,5,168,3,2,66.7,1,33.3,84,575.0,328.0,12,11,2,3,1,136,21
,,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174.0,67.0,1,0,0,3,2,47,1
,,1.4,47,3,7,26,16,5,46,2,0,0.0,1,50.0,28,114.0,60.0,2,1,1,4,2,35,2
,,2.2,63,3,10,21,33,8,63,4,1,25.0,3,75.0,35,162.0,45.0,3,1,1,11,4,40,14
,,0.8,43,1,7,9,28,6,43,4,3,75.0,1,25.0,28,320.0,206.0,5,4,2,2,3,27,12
,,2.2,64,2,5,21,39,11,64,5,2,40.0,3,60.0,45,212.0,115.0,6,0,5,5,2,49,15
,,3.0,75,2,7,31,37,14,75,4,3,75.0,1,25.0,34,142.0,22.0,1,0,0,8,4,52,16
,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,2.6,140,3,18,64,59,2,140,1,1,100.0,0,0.0,63,215.0,93.0,3,2,0,3,1,86,10
,,2.0,150,8,36,79,36,1,149,2,2,100.0,0,0.0,73,379.0,181.0,2,3,0,2,0,122,6
,,3.0,271,30,154,109,10,2,271,0,0,0.0,0,0.0,178,712.0,350.0,1,1,0,0,0,188,0
,,1.0,62,16,36,26,1,0,62,0,0,0.0,0,0.0,23,63.0,9.0,0,0,0,0,0,30,0
,,1.5,76,5,14,25,38,7,76,4,2,50.0,2,50.0,38,123.0,65.0,2,2,1,5,0,42,6
,,2.3,185,24,112,64,13,1,185,3,2,66.7,1,33.3,105,289.0,115.0,1,3,0,1,1,129,0
,,0.0,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0
,,1.4,96,3,19,32,47,11,96,15,8,53.3,7,46.7,62,407.0,157.0,6,1,2,1,2,67,20
,,1.1,35,2,6,11,19,5,35,0,0,0.0,0,0.0,23,150.0,99.0,6,0,1,3,2,22,8
,,0.2,10,2,5,2,3,0,10,0,0,0.0,0,0.0,4,45.0,19.0,0,0,0,0,1,5,2
,,0.5,18,2,4,3,11,2,18,1,1,100.0,0,0.0,9,54.0,30.0,1,1,0,2,0,11,1
,,0.1,5,0,0,4,1,0,5,0,0,0.0,0,0.0,3,52.0,0.0,0,0,0,0,1,1,0
,,1.3,51,1,4,16,32,3,51,3,0,0.0,3,100.0,27,117.0,28.0,1,2,0,7,0,29,4
,,1.3,80,1,16,41,24,1,80,4,1,25.0,2,50.0,36,136.0,24.0,0,0,0,5,2,46,4
,,2.0,55,0,2,33,20,10,55,1,0,0.0,1,100.0,37,142.0,36.0,1,1,0,6,3,43,9
,,0.3,22,0,1,3,18,2,22,2,0,0.0,2,100.0,19,157.0,71.0,4,2,1,0,1,18,9
,,0.1,10,2,6,4,0,0,10,0,0,0.0,0,0.0,3,12.0,3.0,0,0,0,0,0,5,0
,,0.9,39,0,4,15,20,3,39,2,2,100.0,0,0.0,21,122.0,58.0,1,2,0,4,2,29,9
,,2.7,116,3,24,49,45,13,116,10,5,50.0,5,50.0,57,350.0,72.0,2,2,2,4,3,69,10
,,3.0,130,14,85,37,8,5,130,0,0,0.0,0,0.0,61,284.0,118.0,1,0,0,2,1,72,0
,,0.4,29,1,3,18,8,0,29,1,0,0.0,1,100.0,15,57.0,32.0,1,1,0,0,0,21,0
,,0.3,20,1,7,11,2,0,20,2,2,100.0,0,0.0,12,38.0,11.0,0,0,0,0,0,13,0
,,3.0,140,96,138,2,0,0,140,0,0,0.0,0,0.0,72,346.0,196.0,0,0,0,0,0,62,0
,,2.3,138,13,53,80,8,0,138,0,0,0.0,0,0.0,85,328.0,179.0,2,2,0,3,2,89,1
,,2.6,91,6,9,27,56,14,90,3,2,66.7,1,33.3,40,163.0,68.0,1,3,1,2,0,53,14
,,0.6,57,0,18,34,5,2,57,0,0,0.0,0,0.0,20,53.0,33.0,0,0,0,0,0,38,1
,,2.8,101,0,3,63,37,6,101,0,0,0.0,0,0.0,58,177.0,37.0,1,2,0,9,6,89,20
,,2.8,122,4,25,80,19,5,122,3,2,66.7,1,33.3,60,258.0,106.0,1,2,0,1,2,67,0
,,2.4,106,1,7,53,50,11,106,22,12,54.5,10,45.5,67,496.0,210.0,9,5,3,8,4,77,18
,,3.0,202,40,123,70,9,3,202,0,0,0.0,0,0.0,102,407.0,179.0,2,1,0,1,0,119,1
,,0.9,32,1,1,14,17,2,32,1,0,0.0,1,100.0,17,75.0,38.0,1,3,0,0,0,24,5
,,2.5,172,47,113,50,9,5,172,0,0,0.0,0,0.0,70,222.0,100.0,1,0,0,2,0,113,0
,,2.9,87,1,3,39,48,18,87,3,0,0.0,3,100.0,55,251.0,92.0,3,6,4,15,6,64,23
,,3.0,156,8,45,68,46,3,156,1,0,0.0,1,100.0,59,333.0,150.0,4,4,1,6,2,68,6
,,3.0,156,11,65,66,28,3,156,4,2,50.0,2,50.0,67,490.0,297.0,10,5,2,1,0,81,6
,,2.7,167,26,97,67,3,0,167,0,0,0.0,0,0.0,101,402.0,123.0,0,0,0,2,2,104,0
,,2.2,101,2,19,32,53,10,101,7,2,28.6,5,71.4,57,420.0,248.0,8,7,1,4,2,68,21
,,1.6,77,3,6,34,37,5,77,6,2,33.3,4,66.7,56,450.0,216.0,7,6,2,0,2,67,17
,,1.2,134,2,19,71,44,0,134,0,0,0.0,0,0.0,53,185.0,64.0,1,1,0,0,0,100,2
,,1.0,109,2,16,85,8,2,109,2,0,0.0,2,100.0,57,214.0,120.0,3,2,0,1,2,80,4
,,1.9,81,1,16,39,27,2,81,1,1,100.0,0,0.0,56,368.0,211.0,4,5,1,1,3,59,5
,,0.3,13,0,5,3,6,0,13,0,0,0.0,0,0.0,5,26.0,15.0,0,0,0,1,0,6,0
,,0.3,18,0,3,3,12,2,18,0,0,0.0,0,0.0,8,35.0,10.0,1,0,1,0,1,9,5
,,1.0,57,7,27,26,4,1,57,0,0,0.0,0,0.0,29,152.0,79.0,1,0,0,0,0,34,2
,,2.8,152,8,45,70,39,1,152,4,3,75.0,1,25.0,64,329.0,203.0,1,5,0,7,3,78,13
,,0.5,25,2,5,14,6,1,25,0,0,0.0,0,0.0,10,68.0,27.0,1,1,0,1,0,19,0
,,3.0,154,26,104,50,2,1,154,1,1,100.0,0,0.0,63,264.0,84.0,0,0,0,3,0,75,1
,,0.7,39,4,17,21,2,1,39,0,0,0.0,0,0.0,13,63.0,50.0,0,0,0,0,0,15,1
,,1.1,51,0,1,21,31,5,51,9,3,33.3,4,44.4,36,289.0,180.0,8,5,4,2,2,40,10
,,2.5,150,2,16,55,79,18,150,8,6,75.0,2,25.0,93,531.0,289.0,13,6,6,3,0,113,28
,,0.0,5,3,5,0,0,0,5,0,0,0.0,0,0.0,2,8.0,0.0,0,0,0,0,0,3,0
,,1.0,51,1,12,20,19,1,51,0,0,0.0,0,0.0,17,61.0,37.0,1,2,0,2,0,26,5
,,2.2,98,1,17,51,32,8,98,1,0,0.0,1,100.0,64,321.0,198.0,6,4,0,3,2,69,9
,,3.0,194,11,88,97,9,2,194,3,2,66.7,1,33.3,131,754.0,508.0,5,3,0,2,0,141,2
,,3.0,150,79,142,8,0,0,150,0,0,0.0,0,0.0,100,455.0,300.0,0,0,0,0,0,94,0
,,2.6,157,1,13,90,55,9,157,7,5,71.4,2,28.6,76,454.0,277.0,7,6,4,6,2,95,12
,,1.8,125,8,34,63,29,0,125,3,2,66.7,1,33.3,77,427.0,187.0,2,3,0,2,2,86,1
,,3.0,253,4,26,80,148,17,253,7,2,28.6,4,57.1,119,736.0,467.0,17,9,4,5,3,182,26
,,3.0,319,8,52,175,94,3,319,0,0,0.0,0,0.0,158,804.0,429.0,5,7,0,1,1,253,12
,,1.0,37,0,6,19,13,2,37,3,1,33.3,1,33.3,23,114.0,26.0,1,1,0,3,8,21,3
,,1.7,170,5,45,89,36,5,170,3,2,66.7,1,33.3,90,351.0,169.0,4,4,0,2,0,118,10
,,1.9,80,2,2,44,35,7,80,4,3,75.0,1,25.0,33,167.0,62.0,3,2,1,6,2,69,17
,,0.8,38,1,1,20,17,5,38,0,0,0.0,0,0.0,19,83.0,36.0,1,1,1,2,1,33,5
,,3.0,105,77,97,8,0,0,105,0,0,0.0,0,0.0,61,271.0,145.0,0,0,0,1,0,55,0
,,2.9,136,5,43,54,39,2,136,1,0,0.0,1,100.0,56,279.0,116.0,3,2,2,2,0,79,10
,,2.2,107,5,37,44,27,4,107,2,0,0.0,2,100.0,45,133.0,42.0,0,0,0,0,0,51,1
,,0.5,29,1,2,10,17,4,29,1,1,100.0,0,0.0,17,124.0,101.0,3,2,1,1,0,18,7
,,1.7,138,5,23,98,19,5,138,3,3,100.0,0,0.0,70,211.0,92.0,0,0,0,1,1,98,4
,,2.0,94,12,57,35,2,1,94,0,0,0.0,0,0.0,31,124.0,41.0,0,1,0,0,0,53,2
,,0.0,4,0,0,3,1,0,4,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1
,,2.2,142,10,33,69,41,4,142,2,1,50.0,1,50.0,63,395.0,152.0,6,2,0,2,1,71,12
,,2.9,228,28,85,116,27,3,228,0,0,0.0,0,0.0,103,550.0,374.0,5,4,0,3,0,154,2
,,1.6,45,1,5,13,27,4,45,4,1,25.0,3,75.0,30,166.0,51.0,3,4,0,3,4,36,8
,,0.5,29,1,8,19,2,0,29,0,0,0.0,0,0.0,9,41.0,15.0,0,0,0,1,0,15,0
,,0.7,39,1,5,19,15,2,39,1,0,0.0,1,100.0,14,94.0,39.0,1,0,0,0,0,34,4
,,1.8,63,1,2,32,29,9,63,1,1,100.0,0,0.0,30,115.0,42.0,2,2,1,4,1,50,8
,,0.6,21,1,2,8,11,2,20,0,0,0.0,0,0.0,8,28.0,8.0,0,0,0,1,0,13,3
,,2.4,74,0,6,33,37,6,74,7,3,42.9,3,42.9,55,426.0,116.0,5,4,2,6,11,62,10
,,2.7,149,14,63,62,25,3,149,1,1,100.0,0,0.0,74,319.0,92.0,1,1,0,3,2,82,6
,,2.6,105,5,17,35,54,12,105,1,0,0.0,1,100.0,49,277.0,159.0,9,3,3,1,0,73,16
,,0.3,17,1,4,9,6,2,17,2,2,100.0,0,0.0,8,95.0,58.0,2,2,0,2,1,9,2
,,2.0,58,53,58,0,0,0,58,0,0,0.0,0,0.0,30,171.0,91.0,0,0,0,0,0,23,0
