stat_id,player_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,3.0,2,8,4,50.0,2.71,1.35,0.25,0.5,13.3,0,0,0,2.0,2.0,0.25,0.0,0.0
,,1.9,2,5,3,60.0,2.65,1.59,0.4,0.67,16.9,0,0,0,0.6,0.6,0.12,1.4,1.4
,,0.4,0,3,0,0.0,6.75,0.0,0.0,0.0,11.9,0,0,0,0.3,0.3,0.1,-0.3,-0.3
,,1.1,0,4,2,50.0,3.56,1.78,0.0,0.0,19.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
,,2.7,1,1,1,100.0,0.37,0.37,1.0,1.0,12.3,0,0,0,0.1,0.1,0.06,0.9,0.9
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,1,0,0.0,6.0,0.0,0.0,0.0,13.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,2,8,4,50.0,2.71,1.35,0.13,0.25,32.6,3,1,1,1.1,0.3,0.04,0.9,0.7
,,0.5,0,1,0,0.0,2.0,0.0,0.0,0.0,19.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
,,1.8,0,3,1,33.3,1.69,0.56,0.0,0.0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
,,3.0,0,4,0,0.0,1.33,0.0,0.0,0.0,12.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
,,3.0,1,3,1,33.3,1.0,0.33,0.33,1.0,31.9,1,0,0,0.1,0.1,0.02,0.9,0.9
,,1.0,0,2,0,0.0,1.96,0.0,0.0,0.0,19.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.9,1,4,2,50.0,1.39,0.69,0.25,0.5,21.6,0,0,0,0.2,0.2,0.04,0.8,0.8
,,0.9,0,4,1,25.0,4.56,1.14,0.0,0.0,26.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,2.1,1,3,1,33.3,1.44,0.48,0.33,1.0,21.1,0,0,0,0.5,0.5,0.16,0.5,0.5
,,3.0,0,4,2,50.0,1.33,0.67,0.0,0.0,11.4,0,0,0,0.8,0.8,0.21,-0.8,-0.8
,,0.4,0,3,0,0.0,6.75,0.0,0.0,0.0,12.6,0,0,0,0.5,0.5,0.15,-0.5,-0.5
,,1.3,0,1,0,0.0,0.74,0.0,0.0,0.0,17.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1
,,1.2,0,2,1,50.0,1.71,0.86,0.0,0.0,12.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,1.1,1,4,2,50.0,3.67,1.84,0.25,0.5,22.6,0,0,0,0.2,0.2,0.06,0.8,0.8
,,1.2,0,1,1,100.0,0.81,0.81,0.0,0.0,12.8,0,0,0,0.0,0.0,0.01,0.0,0.0
,,1.5,1,4,1,25.0,2.63,0.66,0.25,1.0,11.8,0,0,0,0.5,0.5,0.12,0.5,0.5
,,1.7,1,4,2,50.0,2.37,1.18,0.25,0.5,19.2,0,0,0,0.2,0.2,0.05,0.8,0.8
,,2.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0.4,0,2,1,50.0,5.45,2.73,0.0,0.0,10.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
,,0.2,0,1,0,0.0,6.0,0.0,0.0,0.0,17.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
,,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1.5,1,3,1,33.3,1.97,0.66,0.33,1.0,10.7,0,0,0,0.4,0.4,0.13,0.6,0.6
