stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,3,266,3.0,3,2,0.68,1,0.34,3,1.02,2,0.68,0,0,1,0,2.0,0.66,2.0,0.66,1.1,0.37,3.1,1.03
,,3,170,1.9,2,2,1.06,1,0.53,3,1.59,2,1.06,0,0,0,0,0.6,0.32,0.6,0.32,1.1,0.56,1.7,0.88
,,3,40,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.67,0.3,0.67,0.0,0.0,0.3,0.67
,,3,101,1.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.2,0.14,0.2,0.14,0.0,0.0,0.2,0.14
,,3,246,2.7,3,1,0.37,0,0.0,1,0.37,1,0.37,0,0,0,0,0.1,0.02,0.1,0.02,0.4,0.13,0.4,0.16
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
,,2,15,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.56,0.1,0.56,0.1,0.57,0.2,1.12
,,2,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,6,0.1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,266,3.0,3,2,0.68,0,0.0,2,0.68,1,0.34,1,1,0,0,1.1,0.37,0.3,0.11,0.5,0.16,0.8,0.27
,,1,45,0.5,0,0,0.0,1,2.0,1,2.0,0,0.0,0,0,0,0,0.1,0.12,0.1,0.12,0.2,0.32,0.2,0.44
,,2,160,1.8,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.0,0.03,0.1,0.07
