player_id,player_name,nation,position,team_id,age,date_of_birth
,Junior Adamu,AUT,FW,1,23,2001.0
,Karim Adeyemi,GER,"FW,MF",1,22,2002.0
,Amine Adli,MAR,"MF,FW",2,24,2000.0
,Oladapo Afolayan,ENG,FW,3,26,1998.0
,Felix Agu,GER,DF,2,24,1999.0
,Kevin Akpoguma,NGA,DF,1,29,1995.0
,Andreas Albers,DEN,FW,2,34,1990.0
,Skelly Alvero,FRA,MF,3,22,2002.0
,Aurele Amenda,SUI,DF,2,21,2003.0
,Nadiem Amiri,GER,MF,3,27,1996.0
,Mohamed Amoura,ALG,"MF,FW",3,24,2000.0
,Robert Andrich,GER,MF,3,29,1994.0
,Waldemar Anton,GER,DF,3,28,1996.0
,Maximilian Arnold,GER,MF,1,30,1994.0
,Jann-Fiete Arp,GER,FW,2,24,2000.0
,Arthur,BRA,DF,2,21,2003.0
,Noah Atubolu,GER,GK,3,22,2002.0
,Ridle Baku,GER,"FW,MF",3,26,1998.0
,Aliou Baldé,GUI,"MF,FW",2,21,2002.0
,Samuel Bamba,GER,"FW,MF",3,20,2004.0
,Aymen Barkok,MAR,"MF,DF",2,26,1998.0
,Maximilian Bauer,GER,DF,1,24,2000.0
,Oliver Baumann,GER,GK,3,34,1990.0
,Christoph Baumgartner,AUT,"DF,MF",2,25,1999.0
,Adrian Beck,GER,FW,2,27,1997.0
,Timo Becker,GER,DF,3,27,1997.0
,Kevin Behrens,GER,FW,1,33,1991.0
,Maximilian Beier,GER,FW,1,21,2002.0
,Stefan Bell,GER,DF,3,33,1991.0
,László Bénes,SVK,"FW,MF",1,27,1997.0
,Ramy Bensebaini,ALG,DF,3,29,1995.0
,Mergim Berisha,GER,FW,1,26,1998.0
,Alexander Bernhardsson,SWE,"DF,FW",2,26,1998.0
,Matúš Bero,SVK,MF,1,29,1995.0
,El Bilal Touré,MLI,FW,2,22,2001.0
,Tom Bischof,GER,DF,3,19,2005.0
,Leonardo Bittencourt,GER,MF,1,30,1993.0
,Myron Boadu,NED,"FW,MF",3,23,2001.0
,Sacha Boey,FRA,DF,3,24,2000.0
,Victor Boniface,NGA,FW,3,23,2000.0
,Sebastiaan Bornauw,BEL,DF,3,25,1999.0
,Carlo Boukhalfa,MAR,MF,2,25,1999.0
,Julian Brandt,GER,MF,2,28,1996.0
,Tim Breithaupt,GER,MF,3,22,2002.0
,Maximilian Breunig,GER,"FW,MF",1,24,2000.0
,Moritz Broschinski,GER,FW,3,23,2000.0
,Jacob Bruun Larsen,DEN,"DF,FW",2,25,1998.0
,Marius Bülter,GER,FW,1,31,1993.0
,Jonathan Burkardt,GER,FW,2,24,2000.0
,Marnon Busch,GER,DF,1,29,1994.0
,Anthony Caci,FRA,DF,2,27,1997.0
,Emre Can,GER,"MF,DF",2,30,1994.0
,Julian Chabot,GER,DF,2,26,1998.0
,El Chadaille Bitshiabu,FRA,DF,2,19,2005.0
