stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,3.7,4,1.09,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.5,3,1.22,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.7,3,0.64,1,0,0,0,1,1,1,0.21,0,0,0,0,1,0
,,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,7,2.27,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.3,9,3.88,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.8,2,1.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,2.2,7,3.15,5,0,1,0,1,0,0,0.0,0,0,0,0,0,0
,,4.1,1,0.25,1,0,0,0,0,0,1,0.25,1,0,0,0,0,0
,,3.0,6,2.0,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0
,,1.9,3,1.61,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,1.2,11,9.08,3,0,3,3,2,0,1,0.83,0,0,0,1,0,0
,,3.0,11,3.69,7,2,1,0,1,0,0,0.0,0,0,0,0,0,0
,,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0
,,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.2,1,0.86,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,0.9,3,3.42,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,4.4,12,2.75,10,0,2,0,0,0,3,0.69,2,0,1,0,0,0
,,2.6,5,1.9,3,0,0,2,0,0,1,0.38,1,0,0,0,0,0
,,4.0,4,1.0,3,0,0,0,0,1,1,0.25,1,0,0,0,0,0
,,3.7,6,1.64,4,1,0,0,0,1,1,0.27,1,0,0,0,0,0
,,2.0,7,3.48,6,0,0,1,0,0,1,0.5,1,0,0,0,0,0
,,1.5,1,0.67,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,0.3,3,9.31,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,,2.0,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.6,1,0.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,3,1.57,3,0,0,0,0,0,1,0.52,1,0,0,0,0,0
,,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.9,7,1.81,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.5,4,1.13,2,0,1,1,0,0,0,0.0,0,0,0,0,0,0
