stat_id,player_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,3.0,3,0,1,1,0,2.6,0.39,-0.4,-0.12,13,35,37.1,67,10,34.3,31.6,40,6,15.0,3,1.0,14.1
,,1.0,1,0,0,0,0,0.2,0.08,-0.8,-0.85,2,9,22.2,23,5,30.4,36.2,9,0,0.0,1,1.0,24.0
,,4.0,5,0,0,0,0,3.9,0.35,-1.1,-0.27,21,63,33.3,71,13,60.6,45.5,57,1,1.8,1,0.25,10.8
,,5.0,10,1,0,1,1,9.2,0.29,0.2,0.05,14,43,32.6,164,31,22.0,27.0,59,4,6.8,8,1.6,18.6
,,5.0,8,0,1,2,1,6.2,0.23,-0.8,-0.16,15,43,34.9,110,14,26.4,32.1,100,3,3.0,0,0.0,8.3
,,5.0,2,0,0,1,0,2.4,0.22,0.4,0.07,9,24,37.5,148,29,12.2,25.6,56,4,7.1,4,0.8,11.0
,,5.0,5,0,0,1,0,5.3,0.26,0.3,0.06,22,68,32.4,152,27,34.9,35.3,103,6,5.8,7,1.4,13.4
,,5.0,8,0,1,1,0,6.6,0.28,-1.4,-0.29,9,28,32.1,139,19,15.1,27.1,40,4,10.0,7,1.4,19.0
,,4.0,4,0,0,1,0,3.9,0.24,-0.1,-0.03,18,57,31.6,101,15,45.5,39.9,53,1,1.9,1,0.25,8.3
,,1.0,1,0,0,0,0,0.5,0.27,-0.5,-0.47,2,6,33.3,25,11,20.0,28.4,11,2,18.2,1,1.0,12.0
,,5.0,10,0,0,1,1,7.8,0.39,-1.2,-0.25,36,89,40.4,124,12,48.4,41.3,81,6,7.4,13,2.6,20.5
,,5.0,13,0,1,1,0,9.4,0.3,-3.6,-0.72,21,70,30.0,180,30,32.8,33.6,58,4,6.9,10,2.0,20.1
,,5.0,10,1,0,1,0,9.4,0.36,-0.6,-0.12,25,63,39.7,135,25,31.1,33.9,63,2,3.2,8,1.6,19.8
,,1.0,0,0,0,0,0,0.1,0.08,0.1,0.08,0,5,0.0,17,5,17.6,26.6,10,1,10.0,0,0.0,13.5
,,5.0,6,1,0,0,1,5.0,0.19,0.0,0.01,17,78,21.8,160,16,42.5,38.2,86,2,2.3,3,0.6,13.7
,,4.0,2,0,0,0,1,1.3,0.15,0.3,0.08,6,14,42.9,64,12,12.5,28.0,55,1,1.8,4,1.0,14.0
,,2.0,3,0,0,1,0,2.7,0.38,-0.3,-0.17,11,40,27.5,64,11,46.9,38.5,24,2,8.3,2,1.0,14.5
,,6.0,7,4,0,0,0,6.9,0.16,-0.1,-0.02,31,78,39.7,166,19,26.5,30.9,81,4,4.9,10,1.67,17.1
,,2.0,0,0,0,0,0,1.2,0.1,1.2,0.6,9,28,32.1,49,3,46.9,39.8,29,0,0.0,0,0.0,7.0
,,4.0,3,1,0,0,0,3.2,0.25,0.2,0.05,7,33,21.2,111,21,25.2,30.4,51,3,5.9,8,2.0,16.3
,,5.0,6,1,0,0,0,6.0,0.31,0.0,0.01,40,101,39.6,115,11,67.8,45.8,57,3,5.3,3,0.6,12.8
,,4.0,2,0,0,0,0,2.0,0.26,0.0,-0.01,12,51,23.5,66,10,59.1,46.5,38,3,7.9,2,0.5,11.2
,,5.0,5,0,0,0,1,7.4,0.36,3.4,0.69,29,111,26.1,113,15,60.2,46.1,110,7,6.4,0,0.0,7.7
,,5.0,4,1,0,0,0,3.7,0.24,-0.3,-0.06,13,28,46.4,178,31,14.0,27.4,55,3,5.5,6,1.2,13.9
,,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,65,1,1.5,5,1.25,14.8
