stat_id,player_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent,pkatt,pka,pk_sv,pk_missed
,,3,3,270,3.0,3,1.0,7,4,57.1,2,0,1,1,33.3,0,0,0,0
,,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0
,,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0
,,5,5,450,5.0,10,2.0,27,17,66.7,0,2,3,0,0.0,3,1,1,1
,,5,5,450,5.0,8,1.6,27,20,70.4,3,2,0,0,0.0,0,0,0,0
,,5,5,450,5.0,2,0.4,11,9,81.8,3,2,0,3,60.0,0,0,0,0
,,5,5,450,5.0,5,1.0,22,17,77.3,2,1,2,1,20.0,0,0,0,0
,,5,5,450,5.0,8,1.6,24,16,66.7,2,1,2,2,40.0,0,0,0,0
,,4,4,360,4.0,4,1.0,16,12,75.0,1,1,2,1,25.0,0,0,0,0
,,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0
,,5,5,450,5.0,10,2.0,20,11,50.0,2,1,2,1,20.0,0,0,0,0
,,5,5,450,5.0,13,2.6,32,19,59.4,1,1,3,2,40.0,0,0,0,0
,,5,5,450,5.0,10,2.0,21,10,57.1,0,1,4,0,0.0,2,1,1,0
,,1,1,90,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0
,,5,5,450,5.0,6,1.2,23,18,78.3,1,2,2,2,40.0,1,1,0,0
,,4,4,360,4.0,2,0.5,9,8,77.8,2,2,0,3,75.0,0,0,0,0
,,2,2,180,2.0,3,1.5,7,4,57.1,0,1,1,0,0.0,0,0,0,0
,,6,6,540,6.0,7,1.17,23,16,87.0,1,1,4,2,33.3,4,4,0,0
,,2,2,180,2.0,0,0.0,12,12,100.0,1,1,0,2,100.0,0,0,0,0
,,4,4,360,4.0,3,0.75,10,7,80.0,1,2,1,2,50.0,1,1,0,0
,,5,5,450,5.0,6,1.2,18,12,72.2,2,1,2,2,40.0,1,1,0,0
,,4,4,360,4.0,2,0.5,8,6,75.0,0,3,1,2,50.0,0,0,0,0
,,5,5,450,5.0,5,1.0,21,17,76.2,1,2,2,1,20.0,0,0,0,0
,,5,5,450,5.0,4,0.8,12,8,75.0,5,0,0,1,20.0,1,1,0,0
,,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0
