stat_id,team_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,5.0,6,1,0,0,0,6.0,0.31,0.0,0.01,40,101,39.6,110,11,70.9,45.8,57,3,5.3,3,0.6,12.8
,,5.0,6,0,1,2,0,5.3,0.38,-0.7,-0.14,24,75,32.0,126,21,42.1,31.6,64,8,12.5,5,1.0,14.1
,,5.0,2,0,0,0,1,1.4,0.14,0.4,0.08,6,19,31.6,74,17,13.5,28.0,65,2,3.1,4,0.8,14.0
,,5.0,4,1,0,0,0,3.7,0.24,-0.3,-0.06,13,28,46.4,165,31,15.2,27.4,55,3,5.5,6,1.2,13.9
,,4.0,3,1,0,0,0,3.2,0.25,0.2,0.05,7,33,21.2,111,21,25.2,30.4,51,3,5.9,8,2.0,16.3
,,5.0,10,0,0,3,2,8.7,0.39,0.7,0.15,5,28,17.9,105,26,16.2,28.4,76,3,3.9,6,1.2,12.0
,,5.0,5,0,0,1,0,5.3,0.26,0.3,0.06,22,68,32.4,131,27,40.5,35.3,103,6,5.8,7,1.4,13.4
,,4.0,2,0,0,0,0,2.0,0.26,0.0,-0.01,12,51,23.5,60,10,65.0,46.5,38,3,7.9,2,0.5,11.2
,,5.0,8,0,1,1,0,6.6,0.28,-1.4,-0.29,9,28,32.1,130,19,16.2,27.1,40,4,10.0,7,1.4,19.0
,,5.0,10,1,0,1,1,9.2,0.29,0.2,0.05,14,43,32.6,143,31,25.2,27.0,59,4,6.8,8,1.6,18.6
,,5.0,5,0,0,0,1,7.4,0.36,3.4,0.69,29,111,26.1,112,15,60.7,46.1,110,7,6.4,0,0.0,7.7
,,6.0,4,0,0,1,0,5.1,0.18,1.1,0.18,27,85,31.8,120,18,57.5,39.9,82,1,1.2,1,0.17,8.3
,,5.0,10,0,0,1,1,7.8,0.39,-1.2,-0.25,36,89,40.4,123,12,48.8,41.3,81,6,7.4,13,2.6,20.5
,,5.0,6,0,0,0,0,4.1,0.31,-1.9,-0.39,23,72,31.9,84,18,53.6,36.2,66,1,1.5,2,0.4,24.0
,,5.0,2,0,0,1,0,2.4,0.22,0.4,0.07,9,24,37.5,133,29,13.5,25.6,56,4,7.1,4,0.8,11.0
,,6.0,7,4,0,0,0,6.9,0.16,-0.1,-0.02,31,78,39.7,158,19,27.8,30.9,81,4,4.9,10,1.67,17.1
,,5.0,6,1,0,0,1,5.0,0.19,0.0,0.01,17,78,21.8,151,16,45.0,38.2,86,2,2.3,3,0.6,13.7
,,5.0,10,1,0,1,0,9.4,0.36,-0.6,-0.12,25,63,39.7,133,25,31.6,33.9,63,2,3.2,8,1.6,19.8
,,5.0,13,0,1,1,0,9.4,0.3,-3.6,-0.72,21,70,30.0,172,30,34.3,33.6,58,4,6.9,10,2.0,20.1
,,5.0,8,0,1,2,1,6.2,0.23,-0.8,-0.16,15,43,34.9,94,14,30.9,32.1,100,3,3.0,0,0.0,8.3
