stat_id,team_id,ninety_s,tkl_tackles,tklw_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_challenges,att_challenges,tkl_percent_challenges,lost_challenges,blocks_blocks,sh_blocks,pass_blocks,interceptions,tkl_plus_int,clr,err
,,5.0,81,49,37,37,7,38,72,52.8,34,41,7,34,47,128,87,0
,,5.0,65,39,23,34,8,39,81,48.1,42,53,15,38,41,106,109,5
,,5.0,81,48,50,25,6,46,93,49.5,47,46,10,36,34,115,103,4
,,5.0,74,45,24,34,16,34,65,52.3,31,41,8,33,17,91,66,2
,,4.0,65,39,35,21,9,36,74,48.6,38,50,17,33,36,101,76,2
,,5.0,65,35,32,29,4,34,63,54.0,29,34,14,20,35,100,108,2
,,5.0,79,55,44,32,3,31,68,45.6,37,65,26,39,35,114,164,3
,,4.0,88,48,41,36,11,35,70,50.0,35,35,5,30,20,108,69,1
,,5.0,86,48,39,35,12,39,78,50.0,39,61,13,48,36,122,71,3
,,5.0,82,48,41,33,8,46,90,51.1,44,52,14,38,44,126,91,1
,,5.0,77,55,37,38,2,37,70,52.9,33,52,13,39,57,134,150,0
,,6.0,99,61,57,28,14,43,80,53.8,37,58,19,39,58,157,177,1
,,5.0,89,47,33,44,12,40,76,52.6,36,67,18,49,39,128,105,2
,,5.0,95,68,51,36,8,46,95,48.4,49,55,20,35,47,142,121,0
,,5.0,80,55,39,29,12,37,72,51.4,35,45,15,30,38,118,67,0
,,6.0,86,50,40,33,13,40,82,48.8,42,60,24,36,39,125,139,6
,,5.0,82,53,43,27,12,34,60,56.7,26,53,13,40,36,118,104,1
,,5.0,84,54,40,31,13,32,72,44.4,40,48,15,33,33,117,89,2
,,5.0,82,53,47,29,6,38,89,42.7,51,66,19,47,41,123,94,0
,,5.0,65,38,31,22,12,31,76,40.8,45,65,19,46,31,96,145,1
