stat_id,team_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,5.0,112,22.4,76,13,4,6,10,3,12,2.4,8,1,1,1,1,0
,,5.0,75,15.0,53,5,6,5,3,3,11,2.2,9,0,0,1,1,0
,,5.0,119,23.8,97,8,5,6,1,2,16,3.2,13,0,1,1,0,1
,,5.0,168,33.6,124,11,12,12,9,0,27,5.4,18,1,3,2,3,0
,,4.0,106,26.5,87,6,4,6,1,2,5,1.25,2,1,0,2,0,0
,,5.0,103,20.6,71,5,10,9,7,1,19,3.8,14,0,2,2,1,0
,,5.0,92,18.4,66,9,5,5,6,1,10,2.0,6,0,1,2,1,0
,,4.0,90,22.5,56,15,10,4,5,0,2,0.5,0,2,0,0,0,0
,,5.0,95,19.0,78,5,4,4,2,2,15,3.0,12,0,2,1,0,0
,,5.0,110,22.0,79,13,6,7,5,0,10,2.0,8,0,1,0,1,0
,,5.0,71,14.2,47,6,6,3,6,3,6,1.2,5,0,0,0,0,1
,,6.0,120,20.0,86,17,6,8,3,0,5,0.83,3,1,0,1,0,0
,,5.0,83,16.6,54,12,6,9,2,0,5,1.0,2,0,1,2,0,0
,,5.0,90,18.0,62,14,5,2,6,1,10,2.0,9,0,1,0,0,0
,,5.0,165,33.0,119,14,13,13,5,1,15,3.0,9,1,1,2,2,0
,,6.0,98,16.33,68,11,6,6,5,2,6,1.0,5,0,1,0,0,0
,,5.0,130,26.0,91,13,11,9,5,1,6,1.2,6,0,0,0,0,0
,,5.0,82,16.4,55,10,6,7,4,0,5,1.0,4,0,0,1,0,0
,,5.0,76,15.2,58,7,3,4,2,2,2,0.4,2,0,0,0,0,0
,,5.0,126,25.2,97,8,5,8,6,2,16,3.2,14,0,0,2,0,0
