stat_id,team_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,5.0,13,1,0,80,61,8,119,47,49,2,1,0,192,55,86,39.0
,,5.0,15,1,0,70,47,10,87,41,39,1,0,0,205,66,64,50.8
,,5.0,6,0,0,48,44,13,87,34,48,0,0,1,207,56,41,57.7
,,5.0,10,1,0,45,66,8,82,17,45,1,1,0,195,43,39,52.4
,,4.0,7,0,0,55,48,6,63,36,39,0,1,0,179,42,34,55.3
,,5.0,11,1,0,48,72,13,57,35,35,0,1,2,170,45,44,50.6
,,5.0,11,0,0,62,67,5,76,35,55,1,0,0,173,74,60,55.2
,,4.0,7,0,0,57,65,10,77,20,48,0,0,0,149,94,75,55.6
,,5.0,8,0,0,55,38,17,102,36,48,0,0,0,200,15,32,31.9
,,5.0,4,0,0,57,60,2,114,44,48,0,3,1,187,53,78,40.5
,,5.0,11,0,0,71,62,9,67,57,55,1,0,1,178,71,92,43.6
,,6.0,9,1,0,67,53,8,144,58,61,0,0,0,246,110,98,52.9
,,5.0,9,0,0,67,51,7,99,39,47,0,0,1,189,87,62,58.4
,,5.0,14,0,0,84,67,16,104,47,68,0,0,0,226,74,87,46.0
,,5.0,6,1,0,47,68,6,81,38,55,2,0,0,195,47,39,54.7
,,6.0,14,1,0,86,73,9,111,39,50,0,4,0,220,90,101,47.1
,,5.0,12,2,1,66,62,12,80,36,53,0,1,1,210,66,67,49.6
,,5.0,10,0,0,54,53,14,117,33,54,0,2,0,195,52,68,43.3
,,5.0,12,1,0,70,53,11,88,41,53,0,0,0,180,48,51,48.5
,,5.0,18,1,1,44,58,10,68,31,38,1,0,1,208,76,46,62.3
