stat_id,team_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,5.0,1811,1556,247,68,12,12,119,104,23,7,9,3,1283,8,45
,,5.0,2303,2054,239,60,8,23,87,111,21,9,7,0,1789,10,32
,,5.0,2908,2667,228,54,5,26,87,103,22,5,9,0,2466,13,50
,,5.0,2959,2699,252,91,16,24,82,94,35,4,14,0,2545,8,53
,,4.0,2091,1905,180,56,4,15,63,69,26,10,9,0,1734,6,45
,,5.0,2745,2471,261,81,13,21,57,107,19,5,7,0,2333,13,55
,,5.0,1907,1668,234,81,5,14,76,79,15,2,11,0,1454,5,38
,,4.0,1284,1051,223,72,0,17,77,103,17,10,6,0,804,10,22
,,5.0,2816,2583,216,49,3,16,102,94,24,7,10,0,2449,17,38
,,5.0,2830,2566,262,65,7,10,114,110,29,9,15,1,2300,2,47
,,5.0,1986,1773,204,63,3,19,67,69,13,7,5,0,1477,9,46
,,6.0,2558,2280,270,62,4,25,144,105,32,12,17,1,1985,8,50
,,5.0,2097,1839,251,62,1,17,99,111,21,11,4,0,1556,7,42
,,5.0,1931,1657,258,64,5,11,104,107,27,13,10,0,1372,16,60
,,5.0,3173,2933,234,71,6,25,81,93,31,11,10,1,2790,6,46
,,6.0,2895,2563,323,85,2,20,111,138,34,14,14,0,2276,9,49
,,5.0,2576,2318,246,73,4,13,80,100,29,13,7,0,2099,12,48
,,5.0,2434,2171,249,63,3,16,117,111,30,9,16,0,1926,14,52
,,5.0,2103,1877,215,71,6,28,88,80,16,6,8,0,1706,11,38
,,5.0,2212,1986,216,67,5,20,68,77,20,11,6,0,1816,10,39
