stat_id,team_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,kp,one_third,crspa,prgp
,,5.0,1283,1811,70.8,25046.0,10725.0,539,661,81.5,527,666,79.1,185,378,48.9,3,44,134,20,177
,,5.0,1789,2303,77.7,31572.0,10755.0,795,943,84.3,810,939,86.3,153,328,46.6,5,29,161,8,196
,,5.0,2466,2908,84.8,42975.0,13964.0,1074,1178,91.2,1119,1242,90.1,206,338,60.9,7,53,156,19,240
,,5.0,2545,2959,86.0,45341.0,15410.0,1082,1216,89.0,1211,1323,91.5,220,309,71.2,12,73,205,11,267
,,4.0,1734,2091,82.9,28613.0,9728.0,861,950,90.6,699,789,88.6,127,244,52.0,2,47,127,10,184
,,5.0,2333,2745,85.0,39930.0,13400.0,1027,1122,91.5,1058,1162,91.0,183,311,58.8,8,42,143,9,202
,,5.0,1454,1907,76.2,27779.0,10903.0,563,663,84.9,701,825,85.0,168,338,49.7,4,38,94,11,120
,,4.0,804,1284,62.6,15938.0,7377.0,330,440,75.0,318,453,70.2,131,314,41.7,1,37,95,7,101
,,5.0,2449,2816,87.0,42162.0,12944.0,1152,1232,93.5,1091,1185,92.1,187,311,60.1,6,42,228,15,236
,,5.0,2300,2830,81.3,38890.0,13491.0,1103,1229,89.7,976,1141,85.5,174,342,50.9,4,48,156,19,177
,,5.0,1477,1986,74.4,27174.0,10141.0,619,723,85.6,650,774,84.0,158,365,43.3,3,25,89,5,130
,,6.0,1985,2558,77.6,37898.0,14675.0,856,979,87.4,814,966,84.3,276,489,56.4,2,48,172,21,206
,,5.0,1556,2097,74.2,29100.0,11613.0,676,806,83.9,657,798,82.3,189,392,48.2,2,34,127,11,145
,,5.0,1372,1931,71.1,24876.0,10971.0,617,730,84.5,566,704,80.4,154,368,41.8,7,37,126,9,166
,,5.0,2790,3173,87.9,48201.0,14918.0,1262,1359,92.9,1236,1351,91.5,225,320,70.3,5,71,282,3,304
,,6.0,2276,2895,78.6,40797.0,14277.0,1012,1173,86.3,984,1174,83.8,230,405,56.8,2,37,196,10,218
,,5.0,2099,2576,81.5,33619.0,11236.0,1068,1176,90.8,828,947,87.4,131,305,43.0,3,57,139,8,181
,,5.0,1926,2434,79.1,35649.0,11550.0,828,940,88.1,884,1017,86.9,195,366,53.3,2,33,176,8,186
,,5.0,1706,2103,81.1,31350.0,11461.0,733,812,90.3,753,861,87.5,190,339,56.0,2,32,94,11,156
,,5.0,1816,2212,82.1,35118.0,12297.0,647,736,87.9,922,1033,89.3,216,353,61.2,7,53,158,14,193
