stat_id,team_id,age,mp,min,mn_per_mp,min_percent,ninety_s,starts,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,27.2,5,450,90.0,100.0,5.0,55,80.0,29,25,21.0,34,1.4,7,6,1,0.2,7.3,5.6,1.7,0.35
,,27.2,5,450,90.0,100.0,5.0,55,79.0,29,25,22.0,34,1.4,6,6,0,0.0,4.7,5.9,-1.1,-0.23
,,29.1,5,450,90.0,100.0,5.0,55,78.0,30,25,26.0,34,2.2,9,2,7,1.4,9.4,2.5,6.9,1.39
,,25.2,5,450,90.0,100.0,5.0,55,82.0,32,23,19.0,30,3.0,17,4,13,2.6,12.9,4.2,8.7,1.75
,,28.6,4,360,90.0,100.0,4.0,44,79.0,24,20,25.0,27,1.25,3,3,0,0.0,5.5,4.3,1.2,0.3
,,26.3,5,450,90.0,100.0,5.0,55,78.0,30,25,27.0,34,1.8,13,10,3,0.6,8.3,7.4,0.9,0.18
,,25.4,5,450,90.0,100.0,5.0,55,80.0,30,25,22.0,35,1.4,5,5,0,0.0,6.0,6.9,-1.0,-0.2
,,27.2,4,360,90.0,100.0,4.0,44,83.0,26,18,18.0,17,0.75,1,2,-1,-0.25,2.9,2.0,0.9,0.23
,,27.6,5,450,90.0,100.0,5.0,55,80.0,31,24,23.0,35,1.4,8,8,0,0.0,7.9,5.4,2.4,0.48
,,28.2,5,450,90.0,100.0,5.0,55,80.0,29,26,21.0,34,0.4,6,10,-4,-0.8,5.1,9.6,-4.5,-0.9
,,27.6,5,450,90.0,100.0,5.0,55,78.0,29,26,25.0,33,1.0,3,5,-2,-0.4,3.0,6.8,-3.8,-0.76
,,28.9,6,540,90.0,100.0,6.0,66,81.0,36,29,20.0,43,1.33,4,4,0,0.0,5.0,4.6,0.5,0.08
,,27.5,5,450,90.0,100.0,5.0,55,82.0,31,25,18.0,33,1.4,6,10,-4,-0.8,3.5,7.3,-3.7,-0.75
,,29.5,5,450,90.0,100.0,5.0,55,79.0,30,25,25.0,35,1.4,7,6,1,0.2,4.6,4.8,-0.2,-0.04
,,27.7,5,450,90.0,100.0,5.0,55,83.0,34,20,19.0,25,2.2,9,2,7,1.4,10.0,3.8,6.2,1.23
,,26.0,6,540,90.0,100.0,6.0,66,77.0,34,31,25.0,40,0.67,3,7,-4,-0.67,4.4,8.3,-3.9,-0.65
,,26.7,5,450,90.0,100.0,5.0,55,84.0,31,23,15.0,36,1.0,4,6,-2,-0.4,6.0,6.1,-0.1,-0.02
,,24.3,5,450,90.0,100.0,5.0,55,83.0,31,24,16.0,31,0.2,3,10,-7,-1.4,3.2,9.4,-6.2,-1.24
,,26.2,5,450,90.0,100.0,5.0,55,79.0,29,25,23.0,34,0.8,2,13,-11,-2.2,3.3,9.4,-6.1,-1.22
,,28.1,5,450,90.0,100.0,5.0,55,81.0,32,22,21.0,27,2.2,11,8,3,0.6,7.5,6.2,1.3,0.25
