stat_id,team_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,5.0,2318,232,689,989,661,115,2316,73,28,38.4,37,50.7,1197,6853.0,3600.0,81,51,14,70,35,1260,174
,,5.0,2829,269,796,1393,657,81,2828,108,49,45.4,50,46.3,1472,8370.0,4557.0,75,49,21,72,50,1768,192
,,5.0,3402,344,1193,1492,743,117,3402,66,35,53.0,25,37.9,1935,9493.0,4739.0,78,66,19,64,35,2442,239
,,5.0,3455,246,896,1666,926,161,3454,126,60,47.6,51,40.5,1940,10418.0,5507.0,89,68,28,64,38,2523,265
,,4.0,2546,252,852,1107,615,103,2546,66,30,45.5,34,51.5,1449,7646.0,3938.0,69,56,28,58,41,1719,181
,,5.0,3227,302,985,1580,688,107,3226,78,34,43.6,37,47.4,1951,9956.0,5240.0,81,69,29,73,48,2318,201
,,5.0,2463,378,952,1106,430,74,2462,61,21,34.4,28,45.9,1143,6849.0,3689.0,55,35,12,75,33,1438,119
,,4.0,1750,143,497,794,487,67,1750,75,33,44.0,34,45.3,771,4158.0,2011.0,39,34,11,83,37,797,101
,,5.0,3319,304,986,1492,867,114,3318,90,46,51.1,41,45.6,2083,11442.0,5737.0,87,80,26,76,51,2411,236
,,5.0,3363,355,1128,1656,591,94,3363,67,31,46.3,31,46.3,1916,9558.0,4843.0,69,59,7,76,38,2281,175
,,5.0,2551,329,1002,1136,439,59,2550,75,36,48.0,33,44.0,1279,6037.0,2772.0,44,49,9,74,38,1468,129
,,6.0,3216,398,1108,1333,821,108,3215,82,37,45.1,40,48.8,1643,9200.0,4471.0,88,74,14,69,52,1956,201
,,5.0,2626,264,823,1204,622,80,2626,85,39,45.9,38,44.7,1212,6465.0,3038.0,74,53,13,65,43,1531,141
,,5.0,2514,295,868,1061,614,91,2514,71,33,46.5,31,43.7,1161,6018.0,2985.0,70,45,23,87,45,1364,164
,,5.0,3713,311,964,1584,1196,173,3709,128,65,50.8,54,42.2,2354,13209.0,7045.0,121,98,48,72,43,2768,300
,,6.0,3502,410,1145,1589,795,111,3502,86,32,37.2,46,53.5,1768,10314.0,5354.0,99,47,22,82,54,2232,214
,,5.0,3147,327,1047,1480,653,99,3147,111,52,46.8,44,39.6,1682,8670.0,4369.0,84,64,20,75,55,2082,179
,,5.0,2940,287,892,1354,726,74,2940,83,34,41.0,40,48.2,1450,7377.0,3809.0,72,59,14,73,30,1913,184
,,5.0,2597,352,1070,1080,472,94,2597,85,45,52.9,28,32.9,1331,7051.0,3665.0,66,43,20,61,41,1678,153
,,5.0,2799,380,1016,1152,646,113,2798,76,30,39.5,34,44.7,1390,7659.0,3779.0,78,51,18,74,42,1790,191
