stat_id,team_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,5.0,7,61,18,29.5,12.2,3.6,0.1,0.33,16.6,3,1,2,7.3,5.7,0.09,-0.3,0.3
,,5.0,6,44,14,31.8,8.8,2.8,0.11,0.36,18.7,1,1,1,4.7,3.9,0.1,1.3,1.1
,,5.0,9,68,23,33.8,13.6,4.6,0.13,0.39,15.2,1,0,0,9.4,9.4,0.14,-0.4,-0.4
,,5.0,17,95,35,36.8,19.0,7.0,0.17,0.46,17.4,3,1,1,12.9,12.1,0.13,4.1,3.9
,,4.0,3,59,14,23.7,14.75,3.5,0.05,0.21,18.3,1,0,0,5.5,5.5,0.1,-2.5,-2.5
,,5.0,12,58,28,48.3,11.6,5.6,0.21,0.43,16.0,5,0,1,8.3,7.5,0.13,3.7,4.5
,,5.0,5,49,12,24.5,9.8,2.4,0.08,0.33,16.9,2,1,1,6.0,5.2,0.11,-1.0,-1.2
,,4.0,1,52,7,13.5,13.0,1.75,0.02,0.14,21.3,1,0,0,2.9,2.9,0.06,-1.9,-1.9
,,5.0,8,55,18,32.7,11.0,3.6,0.13,0.39,17.0,0,1,1,7.9,7.1,0.13,0.1,-0.1
,,5.0,5,59,23,39.0,11.8,4.6,0.08,0.22,17.9,3,0,0,5.1,5.1,0.09,-0.1,-0.1
,,5.0,3,38,11,28.9,7.6,2.2,0.08,0.27,20.8,3,0,1,3.0,2.3,0.06,0.0,0.7
,,6.0,3,64,20,31.3,10.67,3.33,0.03,0.1,17.0,0,1,1,5.0,4.2,0.07,-2.0,-2.2
,,5.0,4,47,16,34.0,9.4,3.2,0.09,0.25,16.6,1,0,0,3.5,3.5,0.08,0.5,0.5
,,5.0,7,57,19,33.3,11.4,3.8,0.12,0.37,21.5,3,0,0,4.6,4.6,0.08,2.4,2.4
,,5.0,9,89,31,34.8,17.8,6.2,0.06,0.16,18.2,3,4,4,10.0,7.2,0.08,-1.0,-2.2
,,6.0,3,54,15,27.8,9.0,2.5,0.06,0.2,18.8,3,0,0,4.4,4.4,0.08,-1.4,-1.4
,,5.0,3,76,28,36.8,15.2,5.6,0.04,0.11,18.9,3,0,0,6.0,6.0,0.08,-3.0,-3.0
,,5.0,3,48,11,22.9,9.6,2.2,0.06,0.27,18.6,0,0,0,3.2,3.2,0.07,-0.2,-0.2
,,5.0,2,42,6,14.3,8.4,1.2,0.05,0.33,17.5,0,0,0,3.3,3.3,0.08,-1.3,-1.3
,,5.0,9,70,23,32.9,14.0,4.6,0.13,0.39,16.1,3,0,1,7.5,6.6,0.1,1.5,2.4
