stat_id,team_id,age,poss,mp,starts,min,ninety_s,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,27.2,42.6,5,55,450,5.0,7,1.4,3,0.6,10,2.0,6,1.2,1,2,13,1,7.3,1.46,5.7,1.15,3.4,0.68,9.1,1.83
,,27.2,48.6,5,55,450,5.0,6,1.2,5,1.0,11,2.2,5,1.0,1,1,15,1,4.7,0.95,3.9,0.79,2.8,0.57,6.8,1.36
,,29.1,52.4,5,55,450,5.0,9,1.8,7,1.4,16,3.2,9,1.8,0,0,6,0,9.4,1.89,9.4,1.89,7.4,1.48,16.8,3.37
,,25.2,63.2,5,55,450,5.0,17,3.4,12,2.4,29,5.8,16,3.2,1,1,10,1,12.9,2.59,12.1,2.43,10.4,2.07,22.5,4.5
,,28.6,51.3,4,44,360,4.0,3,0.75,2,0.5,5,1.25,3,0.75,0,0,7,0,5.5,1.38,5.5,1.38,4.4,1.09,9.9,2.47
,,26.3,54.2,5,55,450,5.0,12,2.4,8,1.6,20,4.0,12,2.4,0,1,11,1,8.3,1.67,7.5,1.51,5.7,1.14,13.2,2.65
,,25.4,42.2,5,55,450,5.0,5,1.0,4,0.8,9,1.8,4,0.8,1,1,11,0,6.0,1.19,5.2,1.03,4.2,0.84,9.4,1.88
,,27.2,43.3,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,0,7,0,2.9,0.72,2.9,0.72,2.2,0.55,5.1,1.28
,,27.6,54.6,5,55,450,5.0,8,1.6,6,1.2,14,2.8,7,1.4,1,1,8,0,7.9,1.57,7.1,1.42,5.8,1.16,12.9,2.59
,,28.2,57.2,5,55,450,5.0,5,1.0,4,0.8,9,1.8,5,1.0,0,0,4,0,5.1,1.02,5.1,1.02,4.2,0.84,9.3,1.86
,,27.6,42.0,5,55,450,5.0,3,0.6,3,0.6,6,1.2,3,0.6,0,1,11,0,3.0,0.61,2.3,0.45,1.9,0.37,4.1,0.82
,,28.9,45.5,6,66,540,6.0,3,0.5,2,0.33,5,0.83,2,0.33,1,1,9,1,5.0,0.84,4.2,0.71,2.6,0.43,6.8,1.13
,,27.5,46.4,5,55,450,5.0,4,0.8,2,0.4,6,1.2,4,0.8,0,0,9,0,3.5,0.71,3.5,0.71,2.8,0.57,6.4,1.28
,,29.5,48.0,5,55,450,5.0,7,1.4,7,1.4,14,2.8,7,1.4,0,0,14,0,4.6,0.93,4.6,0.93,3.5,0.7,8.1,1.62
,,27.7,59.6,5,55,450,5.0,9,1.8,5,1.0,14,2.8,5,1.0,4,4,6,1,10.0,1.99,7.2,1.44,6.4,1.28,13.6,2.72
,,26.0,56.5,6,66,540,6.0,3,0.5,2,0.33,5,0.83,3,0.5,0,0,14,1,4.4,0.74,4.4,0.74,3.4,0.56,7.8,1.3
,,26.7,55.2,5,55,450,5.0,3,0.6,3,0.6,6,1.2,3,0.6,0,0,12,2,6.0,1.19,6.0,1.19,4.1,0.82,10.1,2.01
,,24.3,48.6,5,55,450,5.0,3,0.6,2,0.4,5,1.0,3,0.6,0,0,10,0,3.2,0.64,3.2,0.64,2.6,0.52,5.8,1.15
,,26.2,43.4,5,55,450,5.0,2,0.4,2,0.4,4,0.8,2,0.4,0,0,12,1,3.3,0.66,3.3,0.66,2.7,0.54,6.0,1.2
,,28.1,43.8,5,55,450,5.0,9,1.8,7,1.4,16,3.2,9,1.8,0,1,18,1,7.5,1.5,6.6,1.31,5.7,1.14,12.3,2.46
