stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,3.7,0,0,0,3,4,0,12,2,9,0,0,0,14,3,3,50.0
,,2.5,0,0,0,5,5,0,0,0,4,0,0,0,8,10,2,83.3
,,4.7,3,0,0,15,4,1,1,11,4,1,0,0,13,5,3,62.5
,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
,,3.1,0,0,0,9,0,1,0,3,3,0,0,0,14,5,8,38.5
,,2.3,1,0,0,2,3,0,9,1,2,0,0,0,16,1,0,100.0
,,1.8,0,0,0,0,1,0,0,0,3,0,0,0,6,4,3,57.1
,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,2.2,0,0,0,2,7,1,4,1,2,0,0,0,11,1,3,25.0
,,4.1,2,0,0,2,1,0,0,1,2,0,0,1,9,12,3,80.0
,,3.0,0,0,0,1,1,1,0,0,1,0,0,0,13,11,7,61.1
,,1.9,0,0,0,3,4,2,4,0,2,0,0,0,4,8,5,61.5
,,1.2,0,1,0,3,4,0,3,0,0,0,0,0,0,0,1,0.0
,,3.0,0,0,0,4,3,2,6,1,4,0,0,0,12,0,1,0.0
,,0.5,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0.0
,,0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
,,1.2,0,0,0,2,1,0,1,3,2,0,0,0,8,2,4,33.3
,,0.9,0,0,0,3,1,0,0,0,1,0,0,0,10,1,2,33.3
,,4.4,2,0,0,7,7,1,6,4,1,0,1,0,25,1,1,50.0
,,2.6,0,0,0,2,0,2,2,0,1,0,0,0,6,0,4,0.0
,,4.0,2,0,0,5,3,0,1,9,4,0,0,0,13,6,5,54.5
,,3.7,1,0,0,4,7,0,9,5,4,0,0,0,18,0,2,0.0
,,2.0,0,0,0,3,3,1,3,1,0,0,0,0,7,1,2,33.3
,,1.5,1,0,0,3,6,0,0,0,0,0,0,0,7,5,3,62.5
,,0.3,1,0,0,2,3,0,1,1,0,0,0,0,1,0,0,0.0
,,2.0,0,0,0,0,0,0,0,3,1,0,0,0,4,6,8,42.9
,,1.6,0,0,0,2,3,0,2,0,1,0,0,0,7,2,4,33.3
,,1.9,2,0,0,8,2,0,2,1,3,0,1,0,7,4,2,66.7
,,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
,,3.9,1,0,0,4,2,0,17,1,3,0,0,0,18,3,4,42.9
,,0.2,0,0,0,0,3,0,1,0,1,0,0,0,4,0,0,0.0
,,3.5,0,0,0,1,4,1,11,2,3,0,0,0,15,2,4,33.3
,,4.2,1,0,0,3,9,1,4,0,1,0,0,0,12,1,2,33.3
,,1.0,1,0,0,4,2,0,3,0,1,0,0,0,8,0,0,0.0
,,1.2,1,0,0,3,6,1,3,1,0,0,0,0,2,3,1,75.0
,,3.8,0,0,0,3,5,0,2,1,3,0,0,0,6,7,4,63.6
,,3.0,1,0,0,2,0,0,0,2,4,0,0,0,9,6,3,66.7
,,3.6,1,0,0,5,8,1,22,3,1,0,0,0,20,5,4,55.6
,,2.6,1,0,0,2,0,0,0,3,0,0,0,0,7,1,2,33.3
,,4.0,0,0,0,2,10,0,9,2,3,0,0,0,9,4,2,66.7
,,2.4,0,0,0,4,3,0,3,2,4,0,0,0,11,4,6,40.0
,,1.8,1,0,0,2,2,0,5,2,1,0,0,0,6,0,2,0.0
,,1.0,0,0,0,0,4,0,10,1,3,0,0,0,10,0,0,0.0
,,0.5,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
,,2.1,1,0,0,6,1,1,4,4,3,0,1,0,10,3,3,50.0
,,3.5,1,0,0,4,1,0,4,7,5,0,0,0,17,5,2,71.4
,,2.6,1,0,0,6,7,2,0,0,0,1,0,0,6,15,9,62.5
,,1.9,0,0,0,0,0,0,0,2,2,0,0,0,10,5,2,71.4
,,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
,,3.8,0,0,0,1,8,3,23,0,1,0,0,0,5,4,3,57.1
,,0.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0
,,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
,,1.0,0,0,0,1,2,0,0,0,5,0,0,0,4,0,3,0.0
,,3.6,0,0,0,4,1,0,1,2,2,0,0,0,12,2,2,50.0
,,0.8,0,0,0,3,2,0,1,1,2,0,0,0,6,2,1,66.7
,,0.4,0,0,0,1,1,0,2,1,0,0,0,0,3,0,1,0.0
,,4.0,0,0,0,4,4,1,5,3,5,0,0,0,18,5,2,71.4
,,2.0,1,0,0,5,4,0,19,2,2,1,0,0,9,4,3,57.1
,,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3
,,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.0
,,1.0,0,0,0,1,0,0,0,3,1,0,0,0,5,3,1,75.0
,,3.7,0,0,0,7,6,0,2,4,1,0,0,0,21,0,4,0.0
,,5.0,0,0,0,2,4,0,5,8,4,0,0,0,18,2,2,50.0
,,0.9,0,0,0,2,0,0,3,1,2,0,0,0,1,4,2,66.7
,,2.0,0,0,0,3,0,0,0,2,3,0,0,0,6,2,1,66.7
,,3.0,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5
,,3.9,0,0,0,12,2,1,3,3,2,0,0,0,13,6,6,50.0
,,3.6,0,0,0,6,1,1,1,1,2,0,0,0,7,17,13,56.7
,,3.0,0,0,0,1,0,0,5,4,1,0,0,0,10,9,7,56.3
,,2.0,0,0,0,2,2,0,0,5,2,0,0,0,4,1,1,50.0
,,2.9,1,0,0,6,3,1,1,0,0,0,0,0,2,5,6,45.5
,,2.1,0,0,0,0,6,0,6,7,2,0,0,0,17,2,0,100.0
,,0.3,0,0,0,1,1,0,3,0,0,0,0,0,1,1,1,50.0
,,4.0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0.0
,,2.0,1,0,0,2,3,0,3,3,3,0,0,0,8,3,2,60.0
,,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
,,4.9,1,0,0,4,3,1,11,5,6,0,0,0,20,6,2,75.0
,,0.5,0,0,0,2,3,0,0,1,2,0,0,0,3,1,0,100.0
,,4.9,1,0,0,5,6,1,2,10,10,0,0,0,29,5,5,50.0
,,1.1,0,0,0,2,0,0,1,1,3,0,0,0,4,0,2,0.0
,,4.1,1,0,0,2,5,0,11,5,4,0,0,0,8,4,3,57.1
,,2.7,0,0,0,4,0,0,1,3,2,0,0,0,16,4,1,80.0
,,2.7,0,0,0,4,2,0,0,0,2,0,0,0,9,1,1,50.0
,,5.0,0,0,0,7,1,0,0,5,2,0,0,0,15,12,3,80.0
