stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,3.7,153,110,43,5,0,0,12,38,0,0,0,0,104,0,3
,,2.5,48,45,2,2,0,1,0,0,0,0,0,0,30,1,1
,,4.7,144,134,10,9,0,2,1,1,0,0,0,0,100,0,1
,,3.0,87,62,25,5,0,0,0,0,0,0,0,0,64,0,0
,,3.1,177,172,5,4,1,0,0,1,0,0,0,0,148,0,3
,,2.3,115,108,7,6,1,2,9,0,1,0,1,0,92,0,4
,,1.8,121,115,6,1,0,5,0,1,0,0,0,0,109,0,2
,,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
,,2.2,40,38,2,0,0,0,4,0,2,2,0,0,28,0,4
,,4.1,217,208,9,6,0,0,0,0,0,0,0,0,192,0,1
,,3.0,126,109,15,10,0,3,0,0,0,0,0,0,75,2,2
,,1.9,49,42,7,4,0,0,4,1,1,1,0,0,35,0,0
,,1.2,29,29,0,0,0,0,3,0,0,0,0,0,22,0,4
,,3.0,136,125,9,3,0,0,6,0,3,0,3,0,119,2,3
,,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2
,,0.2,7,6,1,1,0,0,0,0,0,0,0,0,7,0,0
,,1.2,43,40,3,1,0,0,1,2,0,0,0,0,35,0,2
,,0.9,73,71,2,2,0,1,0,0,0,0,0,0,66,0,2
,,4.4,243,194,47,5,0,1,6,40,2,1,0,0,204,2,3
,,2.6,55,53,2,0,0,0,2,0,0,0,0,0,40,0,2
,,4.0,232,218,13,10,1,7,1,0,0,0,0,0,195,1,2
,,3.7,106,99,7,3,2,1,9,0,3,1,2,0,85,0,2
,,2.0,50,48,2,0,0,2,3,2,0,0,0,0,37,0,4
,,1.5,19,18,1,0,0,0,0,0,0,0,0,0,13,0,0
,,0.3,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
,,2.0,67,65,2,2,0,1,0,0,0,0,0,0,49,0,1
,,1.6,49,47,2,1,0,1,2,0,1,1,0,0,31,0,0
,,1.9,96,73,23,5,0,1,2,18,0,0,0,0,72,0,1
,,0.2,9,9,0,0,0,0,1,0,0,0,0,0,5,0,1
,,3.9,207,159,46,1,0,0,17,45,0,0,0,0,156,2,9
,,0.2,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
,,3.5,73,73,0,0,0,2,11,0,0,0,0,0,44,0,6
,,4.2,155,148,3,0,7,2,4,1,2,0,1,0,116,4,6
,,1.0,42,40,1,1,0,0,3,0,0,0,0,0,33,1,0
,,1.2,41,38,2,0,0,0,3,1,0,0,0,0,31,1,0
,,3.8,288,262,26,2,1,3,2,24,0,0,0,0,253,0,1
,,3.0,208,195,11,8,1,2,0,0,0,0,0,0,181,2,0
,,3.6,148,125,22,4,3,2,22,1,17,9,5,0,106,1,3
,,2.6,139,125,14,7,0,0,0,2,0,0,0,0,121,0,0
,,4.0,208,176,32,4,0,0,9,28,0,0,0,0,185,0,5
,,2.4,94,62,31,0,0,0,3,31,0,0,0,0,55,1,3
,,1.8,75,72,2,1,2,1,5,1,0,0,0,0,60,1,3
,,1.0,68,42,25,3,1,0,10,14,8,0,5,0,53,1,1
,,0.5,40,39,1,1,0,1,0,0,0,0,0,0,39,0,0
,,2.1,67,66,1,0,0,1,4,1,0,0,0,0,43,0,4
,,3.5,222,214,7,5,0,1,4,2,0,0,0,0,193,1,4
,,2.6,39,39,0,0,0,1,0,0,0,0,0,0,19,0,1
,,1.9,103,99,3,3,1,0,0,0,0,0,0,0,85,1,0
,,0.0,4,4,0,0,1,0,0,0,0,0,0,0,2,0,0
,,1.0,31,22,9,1,0,0,0,0,0,0,0,0,22,0,0
,,3.8,100,98,2,0,0,1,23,0,0,0,0,0,60,0,4
,,0.4,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
,,0.3,16,15,1,0,0,0,1,1,0,0,0,0,11,0,2
,,1.0,73,72,1,0,1,1,0,1,0,0,0,0,63,0,1
,,3.6,175,168,7,7,1,4,1,0,0,0,0,0,162,0,2
,,0.8,31,29,1,0,1,0,1,1,0,0,0,0,21,1,0
,,0.4,13,13,0,0,0,0,2,0,0,0,0,0,9,0,0
,,4.0,214,162,51,6,0,5,5,45,0,0,0,0,182,1,2
,,2.0,70,58,11,2,0,0,19,0,9,4,3,0,38,1,2
,,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2
,,0.2,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
,,1.0,29,26,3,2,0,1,0,0,0,0,0,0,20,0,1
,,3.7,147,142,5,5,3,3,2,0,0,0,0,0,117,0,2
,,5.0,422,407,12,9,0,7,5,3,0,0,0,0,384,3,3
,,0.9,36,28,8,0,0,0,3,8,0,0,0,0,27,0,1
,,2.0,72,67,5,5,0,1,0,0,0,0,0,0,62,0,0
,,3.0,190,182,8,4,0,1,0,0,0,0,0,0,174,0,0
,,3.9,120,116,3,0,0,0,3,0,0,0,0,0,84,1,2
,,3.6,58,54,4,0,0,0,1,0,0,0,0,0,35,0,0
,,3.0,177,157,19,9,0,0,5,1,0,0,0,0,125,1,2
,,2.0,101,97,4,2,0,0,0,0,0,0,0,0,85,0,0
,,2.9,56,52,4,0,1,0,1,0,0,0,0,0,46,0,2
,,2.1,171,155,16,10,0,2,6,1,5,2,2,0,154,0,0
,,0.3,29,25,4,0,0,1,3,1,3,0,2,0,20,0,2
,,4.0,103,58,44,13,0,0,0,0,0,0,0,0,57,1,0
,,2.0,40,40,0,0,1,1,3,0,0,0,0,0,23,0,2
,,0.2,6,5,1,0,0,0,0,0,0,0,0,0,4,0,1
,,4.9,231,199,31,4,0,0,11,27,0,0,0,0,186,1,6
,,0.5,36,32,4,4,0,0,0,0,0,0,0,0,33,0,0
,,4.9,296,246,49,5,0,0,2,44,0,0,0,0,255,1,3
,,1.1,49,38,10,0,0,0,1,10,0,0,0,0,41,1,2
,,4.1,281,239,41,6,0,0,11,35,0,0,0,0,239,1,6
,,2.7,183,179,4,4,0,3,1,0,0,0,0,0,151,0,2
,,2.7,178,176,2,2,1,0,0,0,0,0,0,0,162,0,1
,,5.0,206,193,13,12,0,3,0,1,0,0,0,0,168,0,1
,,0.8,63,62,1,0,0,0,2,0,1,1,0,0,55,0,2
,,2.1,123,98,24,1,0,0,8,23,0,0,0,0,93,1,6
,,0.9,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
,,1.2,40,39,1,1,0,1,0,0,0,0,0,0,33,0,0
,,0.3,16,15,1,1,0,0,0,0,0,0,0,0,14,0,0
,,5.0,186,155,31,9,0,0,0,0,0,0,0,0,145,0,0
,,1.6,67,66,1,1,0,0,2,0,0,0,0,0,47,0,7
,,3.1,145,140,5,2,0,4,3,1,2,1,0,0,125,0,1
,,3.6,161,153,8,7,0,5,0,0,0,0,0,0,142,0,1
,,4.7,204,202,1,1,1,3,3,0,0,0,0,0,182,1,6
,,5.0,134,102,31,8,0,0,0,0,0,0,0,0,101,1,0
,,3.0,76,66,9,0,1,0,14,6,3,0,3,0,43,1,4
,,1.2,38,32,6,5,0,0,0,0,0,0,0,0,34,0,0
,,1.3,39,37,1,0,0,0,2,0,0,0,0,0,32,1,0
,,3.9,245,198,46,5,0,1,13,41,0,0,0,0,200,1,6
,,2.4,113,103,10,3,0,3,0,0,0,0,0,0,102,0,0
,,6.0,293,289,3,3,0,7,5,0,0,0,0,0,240,1,6
,,5.0,165,144,21,4,0,1,0,0,0,0,0,0,149,0,0
,,1.3,67,51,16,1,0,0,3,15,0,0,0,0,55,0,1
,,2.7,89,73,16,7,2,0,17,1,7,4,3,0,54,0,4
,,4.0,330,315,15,8,1,3,0,0,0,0,0,0,307,0,0
,,2.2,30,28,2,0,0,1,0,0,0,0,0,0,23,0,1
,,1.1,20,18,2,0,0,0,3,0,2,1,1,0,16,0,0
,,4.1,189,156,30,10,1,5,24,3,11,1,9,1,137,3,1
,,2.5,176,163,10,3,2,3,13,5,2,0,2,0,141,3,6
,,0.2,13,12,1,0,0,0,0,0,0,0,0,0,11,0,0
,,1.7,59,39,20,3,0,0,1,17,0,0,0,0,44,0,1
,,1.3,73,72,1,0,2,0,3,0,0,0,0,0,61,0,3
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
,,1.1,21,19,2,0,0,0,2,0,0,0,0,0,11,0,1
,,0.9,17,16,1,0,0,0,1,0,0,0,0,0,13,0,0
,,4.0,114,110,3,2,0,0,2,1,0,0,0,0,82,1,2
,,1.3,22,22,0,0,0,0,2,0,0,0,0,0,15,0,1
,,2.5,192,179,13,13,0,0,0,0,0,0,0,0,170,0,1
,,0.3,35,33,2,0,0,0,0,1,0,0,0,0,33,0,0
,,2.3,34,28,6,0,0,0,1,0,0,0,0,0,25,0,2
,,0.9,24,22,2,0,0,0,0,2,0,0,0,0,18,0,2
,,3.8,54,49,5,0,0,0,1,0,0,0,0,0,36,0,0
,,2.9,148,134,13,0,0,1,9,3,10,6,0,0,117,1,4
,,2.7,181,171,10,6,0,0,1,4,0,0,0,0,154,0,2
,,3.8,138,106,30,10,1,0,38,2,16,8,8,0,73,2,8
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
,,3.4,121,90,28,4,0,0,10,24,0,0,0,0,71,3,2
,,2.6,111,106,5,0,0,0,3,4,1,0,0,0,82,0,2
,,1.0,21,19,1,0,0,0,2,1,0,0,0,0,14,1,1
,,2.0,82,71,11,3,1,1,10,0,8,3,3,0,67,0,4
,,5.0,310,250,59,11,0,5,10,47,0,0,0,0,276,1,4
,,0.5,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0
,,3.3,167,152,15,2,1,1,15,2,11,4,3,0,130,0,3
,,0.3,12,8,4,0,0,0,0,4,0,0,0,0,9,0,0
,,2.4,143,117,25,4,0,0,12,21,0,0,0,0,98,1,7
,,2.9,173,147,25,3,0,2,4,22,0,0,0,0,150,1,3
,,2.8,69,63,5,0,0,0,3,5,0,0,0,0,49,1,4
,,3.3,77,77,0,0,0,0,6,0,0,0,0,0,51,0,8
,,0.9,62,53,8,2,1,0,7,1,5,2,3,0,48,1,2
,,0.6,27,25,2,1,0,1,1,0,0,0,0,0,20,0,0
,,2.1,69,68,1,1,0,0,2,0,0,0,0,0,52,0,2
,,2.7,79,78,1,0,0,1,10,1,0,0,0,0,51,0,3
,,1.0,40,37,3,3,0,0,0,0,0,0,0,0,37,0,1
,,1.8,119,108,11,1,0,1,7,10,0,0,0,0,109,0,1
,,5.0,180,132,48,20,0,0,0,0,0,0,0,0,130,0,1
,,3.7,170,157,12,4,0,7,16,1,6,4,0,0,126,1,8
,,2.0,89,86,3,3,1,0,0,0,0,0,0,0,78,0,0
,,5.0,167,133,33,6,0,0,0,0,0,0,0,0,141,1,0
,,4.3,151,146,3,0,0,0,13,3,0,0,0,0,125,2,5
,,1.3,22,17,5,0,0,0,0,2,0,0,0,0,17,0,2
,,2.0,107,103,4,2,0,0,2,0,1,0,1,0,91,0,3
,,1.5,82,76,6,4,0,0,0,0,0,0,0,0,75,0,0
,,4.6,224,188,36,9,0,1,31,4,20,7,12,0,169,0,4
,,1.3,31,27,4,0,0,0,5,0,4,4,0,0,22,0,0
,,0.5,51,51,0,0,0,1,1,0,0,0,0,0,42,0,3
,,0.5,17,17,0,0,0,1,1,0,0,0,0,0,10,0,1
,,1.0,32,21,11,0,0,0,0,11,0,0,0,0,27,0,1
,,3.4,99,93,5,5,0,0,0,0,0,0,0,0,85,1,2
,,4.0,120,90,30,11,0,0,0,0,0,0,0,0,79,0,0
,,4.0,186,171,15,2,1,2,22,0,11,4,4,0,139,0,7
,,1.0,27,21,6,4,0,0,0,0,0,0,0,0,23,0,0
,,0.0,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0
,,2.8,154,144,10,6,0,0,0,0,0,0,0,0,141,0,0
,,2.7,107,101,1,1,0,0,0,0,0,0,0,0,88,5,2
,,3.3,153,146,6,6,0,1,1,0,0,0,0,0,122,1,4
,,2.2,95,87,5,5,0,0,1,0,0,0,0,0,73,3,2
,,2.3,99,94,5,5,0,2,0,0,0,0,0,0,80,0,0
,,1.9,99,91,7,4,1,0,7,0,3,2,0,0,83,1,2
,,1.5,57,50,7,5,0,0,5,0,2,1,1,0,34,0,4
,,3.5,121,114,6,2,1,0,1,0,0,0,0,0,98,1,2
,,3.3,75,72,3,0,0,0,1,0,0,0,0,0,57,0,3
,,5.0,268,214,50,4,1,0,20,46,0,0,0,0,225,4,8
,,0.7,13,12,0,0,0,0,1,0,0,0,0,0,9,1,0
,,1.0,24,22,2,0,0,0,0,0,0,0,0,0,14,0,0
,,4.7,191,157,31,8,1,2,15,23,0,0,0,0,139,3,6
,,3.0,130,125,4,3,0,1,0,0,0,0,0,0,95,1,1
,,1.2,101,98,3,2,0,0,0,1,0,0,0,0,90,0,0
,,5.0,166,106,59,18,0,0,0,0,0,0,0,0,108,1,0
,,3.0,159,158,0,0,0,1,12,0,0,0,0,0,134,1,2
,,5.0,204,163,41,16,0,5,4,25,0,0,0,0,158,0,2
,,0.8,29,29,0,0,0,0,0,0,0,0,0,0,23,0,0
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
,,4.0,168,114,53,7,0,2,17,46,0,0,0,0,90,1,3
,,2.7,50,39,10,1,1,1,0,0,0,0,0,0,38,1,2
,,0.8,10,9,1,0,0,0,0,0,0,0,0,0,8,0,0
,,5.0,202,165,37,15,0,0,0,0,0,0,0,0,148,0,0
,,2.2,95,84,10,5,1,2,4,0,5,0,3,0,81,1,0
,,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
,,2.7,58,54,4,0,1,0,8,4,0,0,0,0,41,0,1
,,0.3,39,30,9,5,0,3,5,2,2,0,2,0,29,0,0
,,1.4,31,30,1,0,0,0,0,1,0,0,0,0,23,0,4
,,4.8,173,163,9,2,1,2,10,5,2,0,0,0,133,1,9
,,3.4,143,138,5,5,0,0,0,0,0,0,0,0,128,0,2
,,1.0,41,36,5,5,0,0,0,0,0,0,0,0,30,0,0
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
,,3.4,58,56,2,0,1,1,1,0,0,0,0,0,44,0,1
,,4.0,282,273,8,7,0,3,3,0,1,0,0,0,249,1,5
,,5.0,340,275,65,18,3,5,10,47,0,0,0,0,296,0,7
,,4.4,126,121,4,4,0,1,0,0,0,0,0,0,94,1,4
,,0.1,11,10,1,0,0,0,0,0,0,0,0,0,11,0,0
,,4.2,131,121,9,2,1,0,6,1,6,2,0,0,93,1,5
,,3.7,168,157,11,3,0,1,1,0,0,0,0,0,147,0,0
,,1.9,42,42,0,0,0,0,0,0,0,0,0,0,30,0,0
,,1.7,21,17,3,1,0,0,0,0,0,0,0,0,12,1,0
,,1.5,89,73,15,0,0,0,8,15,0,0,0,0,67,1,2
,,5.0,312,302,10,6,0,2,0,4,0,0,0,0,278,0,1
,,5.0,198,179,18,13,0,3,0,0,0,0,0,0,154,1,3
,,2.2,128,106,21,2,0,0,6,19,0,0,0,0,104,1,2
,,4.6,93,89,2,0,0,0,0,0,0,0,0,0,65,2,6
,,3.7,184,176,8,0,0,1,6,6,2,0,0,0,156,0,7
,,4.0,221,215,6,6,0,3,0,0,0,0,0,0,189,0,0
,,4.5,243,205,37,3,0,1,11,34,0,0,0,0,205,1,5
,,0.3,28,24,4,2,0,0,2,0,2,1,1,0,22,0,0
,,1.4,102,96,6,1,0,0,5,0,5,2,1,1,82,0,2
,,5.0,370,348,21,13,0,5,1,0,0,0,0,0,346,1,2
,,4.5,148,147,1,0,0,1,18,1,0,0,0,0,107,0,9
,,0.7,26,25,1,1,0,0,2,0,0,0,0,0,25,0,0
,,4.2,191,143,48,3,0,1,9,45,0,0,0,0,156,0,2
,,0.3,14,13,1,0,0,0,3,0,1,1,0,0,10,0,1
,,2.4,134,125,8,5,1,1,3,0,3,0,1,0,110,1,3
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
,,0.9,37,37,0,0,0,0,1,0,0,0,0,0,30,0,1
,,3.3,80,69,11,1,0,1,13,2,8,4,2,0,59,0,3
,,0.6,11,10,1,0,0,0,1,0,1,0,0,0,5,0,0
,,3.4,133,103,30,1,0,0,20,29,0,0,0,0,97,0,4
,,5.0,166,125,41,10,0,0,0,0,0,0,0,0,121,0,0
,,2.2,142,124,18,2,0,0,2,16,0,0,0,0,117,0,1
,,1.3,90,84,6,3,0,0,0,3,0,0,0,0,83,0,1
,,2.3,149,140,9,7,0,0,0,0,0,0,0,0,130,0,3
,,1.8,102,77,25,1,0,0,3,24,0,0,0,0,77,0,1
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
