stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,3.7,104,153,68.0,1829.0,874.0,54,61,88.5,36,53,67.9,12,34,35.3,0,0.2,0.2,-0.2,3,9,3,12
,,2.5,30,48,62.5,578.0,223.0,11,19,57.9,9,14,64.3,7,9,77.8,0,0.1,0.0,0.0,1,6,0,6
,,4.7,100,144,69.4,2359.0,934.0,27,30,90.0,55,63,87.3,18,47,38.3,0,0.1,0.0,0.0,1,12,0,17
,,3.0,64,87,73.6,1752.0,1335.0,11,11,100.0,35,35,100.0,18,41,43.9,0,0.0,0.0,0.0,0,1,0,0
,,3.1,148,177,83.6,2177.0,474.0,80,94,85.1,54,60,90.0,9,14,64.3,0,0.1,0.1,-0.1,3,9,0,11
,,2.3,92,115,80.0,1759.0,546.0,25,32,78.1,57,63,90.5,8,15,53.3,0,0.1,0.0,0.0,2,14,3,19
,,1.8,109,121,90.1,2207.0,760.0,41,44,93.2,53,56,94.6,15,19,78.9,0,0.0,0.0,0.0,1,14,0,9
,,0.0,6,7,85.7,126.0,81.0,1,1,100.0,5,5,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,2.2,28,40,70.0,490.0,119.0,12,13,92.3,13,15,86.7,2,5,40.0,0,0.5,0.2,-0.2,1,2,0,2
,,4.1,192,217,88.5,4032.0,1560.0,53,55,96.4,112,119,94.1,25,40,62.5,0,0.0,0.0,0.0,0,7,0,4
,,3.0,75,126,59.5,1918.0,1108.0,20,28,71.4,36,47,76.6,18,44,40.9,0,0.1,0.6,-0.6,3,18,0,12
,,1.9,35,49,71.4,610.0,111.0,16,19,84.2,14,20,70.0,4,7,57.1,0,0.0,0.0,0.0,1,5,0,4
,,1.2,22,29,75.9,299.0,64.0,12,13,92.3,7,8,87.5,1,2,50.0,0,0.2,0.1,-0.1,3,1,0,4
,,3.0,119,136,87.5,2036.0,447.0,62,65,95.4,42,46,91.3,12,16,75.0,0,0.3,0.0,0.0,3,21,1,24
,,0.5,23,32,71.9,328.0,34.0,13,14,92.9,10,14,71.4,0,1,0.0,1,0.4,0.7,0.3,2,0,0,2
,,0.2,7,7,100.0,167.0,30.0,1,1,100.0,4,4,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0
,,1.2,35,43,81.4,587.0,159.0,18,20,90.0,13,15,86.7,3,5,60.0,0,0.0,0.0,0.0,0,3,0,1
,,0.9,66,73,90.4,1146.0,321.0,34,36,94.4,25,28,89.3,7,7,100.0,0,0.0,0.1,-0.1,1,9,0,10
,,4.4,204,243,84.0,3198.0,889.0,105,116,90.5,83,95,87.4,10,14,71.4,1,0.4,0.3,0.7,5,6,1,16
,,2.6,40,55,72.7,558.0,94.0,24,29,82.8,13,16,81.3,1,5,20.0,0,0.0,0.0,0.0,1,2,0,2
,,4.0,195,232,84.1,3950.0,1315.0,60,68,88.2,115,128,89.8,20,33,60.6,0,0.0,0.0,0.0,1,14,0,28
,,3.7,85,106,80.2,1466.0,495.0,48,52,92.3,24,29,82.8,11,20,55.0,1,0.1,0.1,0.9,2,12,0,19
,,2.0,37,50,74.0,601.0,142.0,22,25,88.0,10,13,76.9,4,6,66.7,1,0.1,0.2,0.8,4,3,1,6
,,1.5,13,19,68.4,168.0,2.0,10,12,83.3,2,6,33.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,0.3,4,7,57.1,40.0,15.0,3,5,60.0,1,1,100.0,0,0,0.0,0,0.0,0.1,-0.1,1,1,0,0
,,2.0,49,67,73.1,1025.0,258.0,11,13,84.6,34,41,82.9,4,12,33.3,0,0.0,0.0,0.0,0,1,0,2
,,1.6,31,49,63.3,679.0,152.0,9,14,64.3,14,19,73.7,7,13,53.8,0,0.0,0.0,0.0,1,3,0,4
,,1.9,72,96,75.0,1140.0,478.0,31,33,93.9,32,43,74.4,4,11,36.4,0,0.2,0.1,-0.1,1,9,1,13
,,0.2,5,9,55.6,64.0,15.0,3,5,60.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,0,0,3
,,3.9,156,207,75.4,2603.0,1148.0,78,86,90.7,65,81,80.2,12,29,41.4,0,0.3,0.2,-0.2,3,14,4,14
,,0.2,3,5,60.0,60.0,28.0,1,1,100.0,1,2,50.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,1,1
,,3.5,44,73,60.3,634.0,167.0,28,34,82.4,14,21,66.7,1,7,14.3,0,0.0,0.0,0.0,0,2,0,9
,,4.2,116,155,74.8,1943.0,701.0,63,77,81.8,33,40,82.5,16,22,72.7,2,0.7,0.6,1.4,7,15,2,29
,,1.0,33,42,78.6,514.0,190.0,18,18,100.0,14,16,87.5,1,6,16.7,0,0.2,0.0,0.0,1,5,0,11
,,1.2,31,41,75.6,500.0,120.0,17,20,85.0,10,13,76.9,3,3,100.0,0,0.2,0.3,-0.3,6,0,2,4
,,3.8,253,288,87.8,4110.0,1688.0,118,123,95.9,111,123,90.2,16,33,48.5,0,0.3,0.0,0.0,0,23,1,29
,,3.0,181,208,87.0,3307.0,1255.0,75,79,94.9,93,102,91.2,12,24,50.0,0,0.0,0.0,0.0,1,5,0,2
,,3.6,106,148,71.6,2099.0,902.0,32,45,71.1,59,73,80.8,13,24,54.2,2,1.9,1.5,0.5,16,17,1,26
,,2.6,121,139,87.1,2249.0,778.0,40,41,97.6,66,75,88.0,14,22,63.6,0,0.0,0.0,0.0,0,8,0,7
,,4.0,185,208,88.9,2961.0,614.0,94,105,89.5,81,85,95.3,8,12,66.7,0,0.4,0.4,-0.4,3,9,3,14
,,2.4,55,94,58.5,898.0,467.0,24,30,80.0,28,43,65.1,2,15,13.3,0,0.0,0.0,0.0,0,4,0,5
,,1.8,60,75,80.0,905.0,214.0,34,40,85.0,19,22,86.4,4,7,57.1,0,0.4,0.7,-0.7,4,2,1,8
,,1.0,53,68,77.9,738.0,293.0,33,34,97.1,11,14,78.6,5,12,41.7,0,0.2,0.3,-0.3,4,2,0,4
,,0.5,39,40,97.5,765.0,256.0,15,16,93.8,21,21,100.0,3,3,100.0,0,0.0,0.0,0.0,0,13,0,4
,,2.1,43,67,64.2,710.0,75.0,24,33,72.7,13,21,61.9,4,5,80.0,0,0.0,0.1,-0.1,1,2,0,4
,,3.5,193,222,86.9,3157.0,850.0,95,101,94.1,76,83,91.6,16,22,72.7,1,0.3,0.3,0.7,4,14,1,23
,,2.6,19,39,48.7,279.0,39.0,9,19,47.4,7,13,53.8,1,3,33.3,0,0.1,0.1,-0.1,1,2,0,3
,,1.9,85,103,82.5,1708.0,658.0,30,31,96.8,37,44,84.1,17,26,65.4,0,0.0,0.0,0.0,0,3,0,4
,,0.0,2,4,50.0,53.0,0.0,1,1,100.0,0,0,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0
,,1.0,22,31,71.0,571.0,350.0,2,2,100.0,15,16,93.8,5,13,38.5,0,0.0,0.0,0.0,0,1,0,0
,,3.8,60,100,60.0,1062.0,250.0,29,43,67.4,25,39,64.1,5,11,45.5,0,0.5,0.4,-0.4,4,2,3,6
,,0.4,5,7,71.4,74.0,25.0,3,5,60.0,2,2,100.0,0,0,0.0,1,0.6,0.9,0.1,1,0,0,1
,,0.3,11,16,68.8,171.0,53.0,7,8,87.5,4,5,80.0,0,2,0.0,1,0.7,0.9,0.1,2,0,1,0
,,1.0,63,73,86.3,1066.0,346.0,32,34,94.1,24,26,92.3,5,8,62.5,0,0.2,0.1,-0.1,2,8,0,14
,,3.6,162,175,92.6,2629.0,726.0,82,87,94.3,65,69,94.2,12,14,85.7,0,0.3,0.5,-0.5,1,7,1,15
,,0.8,21,31,67.7,432.0,124.0,8,10,80.0,10,11,90.9,3,8,37.5,0,0.1,0.3,-0.3,1,4,0,5
,,0.4,9,13,69.2,128.0,7.0,4,6,66.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,1,0,0,0
,,4.0,182,214,85.0,3034.0,1150.0,102,117,87.2,65,74,87.8,14,20,70.0,0,0.2,0.1,-0.1,2,16,1,25
,,2.0,38,70,54.3,659.0,186.0,20,27,74.1,13,23,56.5,4,14,28.6,0,0.5,0.5,-0.5,2,5,1,3
,,2.7,148,160,92.5,2634.0,623.0,66,71,93.0,72,77,93.5,10,11,90.9,0,0.1,0.0,0.0,1,12,0,8
,,0.2,7,9,77.8,83.0,39.0,4,4,100.0,3,4,75.0,0,0,0.0,0,0.0,0.1,-0.1,1,0,0,0
,,1.0,20,29,69.0,405.0,169.0,6,6,100.0,11,15,73.3,2,6,33.3,0,0.0,0.0,0.0,0,1,0,2
,,3.7,117,147,79.6,2164.0,930.0,49,58,84.5,50,58,86.2,15,23,65.2,1,0.3,0.4,0.6,3,18,1,27
,,5.0,384,422,91.0,7006.0,2549.0,165,170,97.1,176,188,93.6,40,54,74.1,0,0.5,0.4,-0.4,2,49,2,46
,,0.9,27,36,75.0,458.0,145.0,13,14,92.9,14,20,70.0,0,1,0.0,0,0.1,0.0,0.0,0,2,1,4
,,2.0,62,72,86.1,1232.0,563.0,25,27,92.6,29,34,85.3,8,11,72.7,0,0.0,0.0,0.0,0,1,0,6
,,3.0,174,190,91.6,3007.0,1118.0,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,7
,,3.9,84,120,70.0,1226.0,304.0,44,54,81.5,29,44,65.9,4,10,40.0,0,0.1,0.0,0.0,1,4,0,10
,,3.6,35,58,60.3,485.0,60.0,19,33,57.6,14,20,70.0,0,1,0.0,1,0.5,0.1,0.9,1,2,0,2
,,3.0,125,177,70.6,2543.0,1120.0,44,51,86.3,65,82,79.3,15,40,37.5,0,0.1,0.0,0.0,1,9,0,9
,,2.0,85,101,84.2,1884.0,784.0,20,20,100.0,47,54,87.0,17,24,70.8,0,0.0,0.0,0.0,0,1,0,1
,,2.9,46,56,82.1,631.0,33.0,24,27,88.9,17,22,77.3,1,1,100.0,0,0.1,0.2,-0.2,6,1,0,1
,,2.1,154,171,90.1,2585.0,963.0,78,82,95.1,54,60,90.0,16,23,69.6,0,0.1,0.1,-0.1,2,12,0,10
,,0.3,20,29,69.0,304.0,33.0,12,13,92.3,8,11,72.7,0,3,0.0,0,0.0,0.0,0.0,1,0,0,1
,,4.0,57,103,55.3,2015.0,1660.0,4,4,100.0,29,29,100.0,24,69,34.8,0,0.0,0.0,0.0,0,2,0,0
,,2.0,23,40,57.5,391.0,160.0,9,15,60.0,12,18,66.7,2,6,33.3,0,0.7,0.2,-0.2,2,4,0,5
,,0.2,4,6,66.7,65.0,6.0,2,2,100.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0
,,4.9,186,231,80.5,3350.0,1300.0,73,81,90.1,95,104,91.3,16,36,44.4,1,0.6,0.7,0.3,7,15,5,18
,,0.5,33,36,91.7,514.0,150.0,15,16,93.8,14,15,93.3,2,3,66.7,0,0.0,0.0,0.0,1,2,0,3
,,4.9,255,296,86.1,3742.0,1469.0,143,160,89.4,92,106,86.8,9,13,69.2,0,0.2,0.5,-0.5,2,16,0,20
,,1.1,41,49,83.7,653.0,143.0,21,22,95.5,18,21,85.7,2,3,66.7,0,0.0,0.0,0.0,0,0,1,2
,,4.1,239,281,85.1,3939.0,754.0,114,123,92.7,104,121,86.0,16,22,72.7,0,0.1,0.1,-0.1,3,15,0,13
,,2.7,151,183,82.5,2361.0,796.0,87,96,90.6,42,51,82.4,14,24,58.3,0,0.1,0.0,0.0,1,18,0,20
,,2.7,162,178,91.0,2711.0,758.0,72,80,90.0,80,84,95.2,7,9,77.8,1,0.6,0.3,0.7,3,18,0,20
,,5.0,168,206,81.6,3557.0,1485.0,43,49,87.8,99,106,93.4,24,47,51.1,0,0.0,0.0,0.0,0,10,0,11
,,0.8,55,63,87.3,931.0,353.0,25,27,92.6,29,30,96.7,1,4,25.0,0,0.1,0.0,0.0,0,9,0,8
,,2.1,93,123,75.6,1547.0,571.0,52,59,88.1,29,36,80.6,9,17,52.9,1,0.1,0.1,0.9,1,4,1,7
,,0.9,9,11,81.8,132.0,49.0,6,7,85.7,3,3,100.0,0,0,0.0,1,0.1,0.6,0.4,2,0,0,2
,,1.2,33,40,82.5,562.0,172.0,16,18,88.9,15,17,88.2,2,3,66.7,0,0.0,0.0,0.0,0,4,0,7
,,0.3,14,16,87.5,254.0,77.0,4,5,80.0,10,11,90.9,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,5.0,145,186,78.0,3163.0,2301.0,37,38,97.4,88,90,97.8,20,58,34.5,0,0.0,0.0,0.0,0,0,0,0
,,1.6,47,67,70.1,706.0,256.0,28,30,93.3,16,20,80.0,2,6,33.3,1,0.0,0.2,0.8,1,5,0,11
,,3.1,125,145,86.2,2178.0,516.0,60,62,96.8,48,56,85.7,13,20,65.0,0,0.1,0.1,-0.1,3,16,0,16
,,3.6,142,161,88.2,2835.0,841.0,41,45,91.1,88,96,91.7,11,17,64.7,0,0.0,0.0,0.0,0,1,0,3
,,4.7,182,204,89.2,3508.0,1062.0,68,73,93.2,94,99,94.9,18,23,78.3,1,0.6,0.3,0.7,6,25,0,32
,,5.0,101,134,75.4,2811.0,1770.0,10,10,100.0,61,61,100.0,29,61,47.5,1,0.0,0.1,0.9,1,3,0,0
,,3.0,43,76,56.6,783.0,296.0,24,37,64.9,12,20,60.0,6,12,50.0,0,0.3,0.1,-0.1,2,1,4,3
,,1.2,34,38,89.5,713.0,340.0,10,11,90.9,17,17,100.0,6,9,66.7,0,0.0,0.0,0.0,0,0,0,1
,,1.3,32,39,82.1,435.0,167.0,15,16,93.8,14,18,77.8,0,1,0.0,0,0.3,0.2,-0.2,3,0,0,4
,,3.9,200,245,81.6,3562.0,1205.0,91,102,89.2,88,100,88.0,20,36,55.6,0,0.3,0.1,-0.1,3,16,2,30
,,2.4,102,113,90.3,2076.0,809.0,32,35,91.4,52,54,96.3,17,23,73.9,0,0.0,0.0,0.0,0,8,0,8
,,6.0,240,293,81.9,4476.0,1219.0,110,125,88.0,95,112,84.8,33,44,75.0,0,0.2,0.1,-0.1,4,30,2,25
,,5.0,149,165,90.3,3483.0,2164.0,34,34,100.0,85,86,98.8,30,45,66.7,0,0.0,0.0,0.0,0,1,0,0
,,1.3,55,67,82.1,780.0,407.0,34,38,89.5,18,23,78.3,1,3,33.3,0,0.1,0.0,0.0,0,8,0,5
,,2.7,54,89,60.7,978.0,462.0,25,32,78.1,19,32,59.4,8,18,44.4,0,0.6,0.3,-0.3,3,4,1,12
,,4.0,307,330,93.0,6010.0,2169.0,97,105,92.4,177,181,97.8,31,40,77.5,1,0.2,0.4,0.6,1,23,0,20
,,2.2,23,30,76.7,359.0,40.0,11,15,73.3,10,12,83.3,1,2,50.0,0,0.0,0.0,0.0,1,1,0,1
,,1.1,16,20,80.0,233.0,92.0,10,13,76.9,5,5,100.0,1,2,50.0,0,0.1,0.1,-0.1,2,3,1,2
,,4.1,137,189,72.5,2621.0,783.0,69,80,86.3,43,56,76.8,24,47,51.1,0,0.6,0.3,-0.3,7,16,1,17
,,2.5,141,176,80.1,2599.0,707.0,61,66,92.4,54,64,84.4,21,30,70.0,1,1.3,1.6,-0.6,9,19,6,27
,,0.2,11,13,84.6,137.0,10.0,7,7,100.0,3,3,100.0,0,0,0.0,0,0.0,0.0,0.0,1,1,0,0
,,1.7,44,59,74.6,690.0,303.0,21,24,87.5,22,30,73.3,1,4,25.0,0,0.0,0.0,0.0,0,2,0,4
,,1.3,61,73,83.6,834.0,250.0,33,37,89.2,22,26,84.6,2,3,66.7,1,0.6,0.3,0.7,4,7,0,10
,,0.1,2,2,100.0,34.0,18.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,1.1,11,21,52.4,203.0,16.0,5,8,62.5,4,11,36.4,2,2,100.0,0,0.0,0.0,0.0,1,2,0,2
,,0.9,13,17,76.5,146.0,44.0,11,13,84.6,2,4,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,1,1
,,4.0,82,114,71.9,1568.0,681.0,26,33,78.8,46,57,80.7,9,20,45.0,0,0.0,0.0,0.0,0,5,0,9
,,1.3,15,22,68.2,210.0,66.0,11,15,73.3,2,3,66.7,1,1,100.0,0,0.1,0.0,0.0,1,0,1,2
,,2.5,170,192,88.5,3179.0,1169.0,53,55,96.4,100,109,91.7,12,21,57.1,0,0.0,0.0,0.0,1,13,0,15
,,0.3,33,35,94.3,677.0,177.0,6,6,100.0,26,28,92.9,1,1,100.0,0,0.0,0.0,0.0,0,1,0,2
,,2.3,25,34,73.5,332.0,56.0,14,19,73.7,8,10,80.0,1,1,100.0,0,0.1,0.0,0.0,0,1,0,3
,,0.9,18,24,75.0,196.0,12.0,10,11,90.9,5,6,83.3,0,2,0.0,1,0.0,0.2,0.8,2,0,0,1
,,3.8,36,54,66.7,435.0,6.0,25,35,71.4,7,11,63.6,0,3,0.0,0,0.0,0.1,-0.1,2,0,0,0
,,2.9,117,148,79.1,1753.0,377.0,67,74,90.5,40,51,78.4,6,12,50.0,0,0.3,0.3,-0.3,10,6,1,14
,,2.7,154,181,85.1,2789.0,974.0,57,63,90.5,83,92,90.2,11,21,52.4,0,0.0,0.1,-0.1,2,14,0,10
,,3.8,73,138,52.9,1293.0,381.0,39,51,76.5,20,34,58.8,11,37,29.7,1,0.3,0.7,0.3,5,8,1,11
,,0.1,3,4,75.0,21.0,4.0,2,2,100.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,3.4,71,121,58.7,1165.0,698.0,36,40,90.0,29,53,54.7,5,20,25.0,0,0.0,0.0,0.0,1,10,0,8
,,2.6,82,111,73.9,957.0,320.0,61,76,80.3,19,25,76.0,0,2,0.0,0,0.1,0.0,0.0,1,8,0,14
,,1.0,14,21,66.7,193.0,88.0,6,9,66.7,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0
,,2.0,67,82,81.7,1052.0,381.0,38,43,88.4,20,23,87.0,6,10,60.0,1,0.8,0.5,0.5,6,5,2,10
,,5.0,276,310,89.0,5073.0,1500.0,114,119,95.8,135,146,92.5,24,36,66.7,0,0.3,0.1,-0.1,2,26,3,28
,,0.5,11,12,91.7,133.0,57.0,9,9,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,3
,,3.3,130,167,77.8,2045.0,830.0,70,78,89.7,47,61,77.0,9,20,45.0,0,0.2,1.0,-1.0,9,21,1,31
