stat_id,player_id,mp,min,ninety_s,starts,mn_per_start,compl,subs,mn_per_subs,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,329,3.7,4,82.0,3,0,0.0,1,1.75,5,6,-1,-0.27,2.3,4.6,-2.2,-0.61
,,3,222,2.5,3,74.0,1,0,0.0,0,1.0,1,1,0,0.0,1.5,0.6,0.9,0.38
,,5,423,4.7,5,85.0,4,0,0.0,0,1.4,6,6,0,0.0,6.4,5.6,0.8,0.17
,,0,0,0.0,0,0.0,0,0,0.0,3,3.0,2,0,2,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,1,2.0,4,3,1,0.33,3.4,3.2,0.2,0.06
,,5,277,3.1,3,87.0,2,2,8.0,0,1.0,3,6,-3,-0.97,4.0,4.4,-0.5,-0.15
,,5,209,2.3,2,72.0,0,3,22.0,0,1.4,3,1,2,0.86,2.6,3.5,-0.9,-0.38
,,2,164,1.8,2,82.0,1,0,0.0,0,0.0,0,3,-3,-1.65,1.6,3.4,-1.8,-0.99
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,2,0.0,0,0.0,0,1,2.0,4,3.0,1,0,1,45.0,0.3,0.0,0.3,14.69
,,4,199,2.2,2,67.0,0,2,33.0,1,2.0,2,2,0,0.0,1.9,2.1,-0.2,-0.1
,,5,366,4.1,4,90.0,4,1,6.0,0,2.2,10,7,3,0.74,6.9,5.3,1.5,0.38
,,0,0,0.0,0,0.0,0,0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,3,270,3.0,3,90.0,3,0,0.0,0,1.0,1,1,0,0.0,1.9,0.6,1.3,0.43
,,4,169,1.9,1,74.0,0,3,32.0,0,0.75,1,0,1,0.53,1.7,1.0,0.7,0.38
,,2,109,1.2,1,69.0,0,1,40.0,2,0.0,2,4,-2,-1.65,1.3,2.6,-1.3,-1.07
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,4,268,3.0,3,79.0,1,1,32.0,0,0.25,3,6,-3,-1.01,2.7,4.9,-2.2,-0.75
,,2,48,0.5,0,0.0,0,2,24.0,0,0.5,1,1,0,0.0,1.1,1.0,0.1,0.24
,,1,16,0.2,0,0.0,0,1,16.0,0,3.0,1,0,1,5.63,0.5,0.0,0.5,2.97
,,3,105,1.2,1,56.0,0,2,25.0,1,1.0,0,4,-4,-3.43,0.3,3.0,-2.6,-2.25
,,2,79,0.9,0,0.0,0,2,40.0,2,2.0,2,0,2,2.28,2.3,0.4,1.9,2.15
,,5,393,4.4,4,90.0,4,1,33.0,0,1.8,11,9,2,0.46,7.6,5.4,2.2,0.51
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,5,237,2.6,3,65.0,0,2,22.0,0,2.2,3,0,3,1.14,2.8,1.5,1.3,0.5
,,4,360,4.0,4,90.0,4,0,0.0,0,1.0,3,4,-1,-0.25,3.0,4.5,-1.5,-0.37
,,5,329,3.7,4,74.0,0,1,32.0,0,0.8,2,7,-5,-1.37,3.2,6.3,-3.1,-0.85
,,4,181,2.0,3,58.0,0,1,6.0,1,1.0,1,4,-3,-1.49,1.9,2.0,-0.1,-0.07
,,3,135,1.5,2,63.0,0,1,10.0,2,0.33,0,4,-4,-2.67,0.7,3.7,-3.0,-1.99
,,2,29,0.3,0,0.0,0,2,15.0,3,0.0,0,0,0,0.0,0.4,0.0,0.4,1.31
,,2,177,2.0,2,89.0,1,0,0.0,1,2.0,3,2,1,0.51,2.5,2.6,-0.2,-0.08
,,4,143,1.6,2,55.0,0,2,17.0,0,0.75,0,2,-2,-1.26,1.2,0.9,0.3,0.17
,,4,172,1.9,2,74.0,1,2,12.0,2,1.0,1,3,-2,-1.05,1.4,3.0,-1.6,-0.82
,,0,0,0.0,0,0.0,0,0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,0,0,0.0,0,0.0,0,0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,1,19,0.2,0,0.0,0,1,19.0,2,0.0,0,1,-1,-4.74,0.1,0.3,-0.2,-0.73
,,4,349,3.9,4,87.0,3,0,0.0,1,1.75,6,6,0,0.0,3.5,4.8,-1.3,-0.34
,,1,15,0.2,0,0.0,0,1,15.0,2,0.0,0,1,-1,-6.0,0.1,0.1,0.0,-0.05
