stat_id,player_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,3.7,188,7,62,83,43,2,188,4,1,25.0,3,75.0,67,386.0,204.0,10,9,0,2,2,77,11
,,2.5,69,5,16,44,9,2,69,3,2,66.7,1,33.3,31,130.0,64.0,2,0,0,1,0,28,2
,,4.7,195,22,92,91,12,4,195,0,0,0.0,0,0.0,88,698.0,470.0,5,3,0,5,0,85,0
,,3.0,91,74,90,1,0,0,91,0,0,0.0,0,0.0,45,300.0,138.0,0,0,0,0,0,41,0
,,3.1,208,8,48,131,33,4,208,3,2,66.7,1,33.3,103,462.0,239.0,5,4,1,7,3,153,6
,,2.3,143,3,25,80,39,0,143,4,2,50.0,1,25.0,80,689.0,385.0,7,3,0,3,1,94,2
,,1.8,138,19,63,71,4,2,138,0,0,0.0,0,0.0,91,517.0,380.0,2,2,0,0,0,101,0
,,0.0,8,0,4,4,0,0,8,0,0,0.0,0,0.0,7,9.0,8.0,0,0,0,0,1,6,0
,,2.2,84,4,21,27,36,8,84,14,4,28.6,7,50.0,50,310.0,145.0,5,0,5,8,5,54,19
,,4.1,265,53,162,99,4,1,265,0,0,0.0,0,0.0,118,500.0,198.0,0,1,0,1,1,173,0
,,3.0,154,14,67,75,14,8,154,2,2,100.0,0,0.0,64,418.0,247.0,3,3,0,1,1,64,0
,,1.9,71,1,8,38,26,7,71,3,2,66.7,1,33.3,36,193.0,53.0,1,1,0,3,1,42,4
,,1.2,45,0,3,9,33,9,45,8,4,50.0,4,50.0,34,175.0,107.0,5,2,2,2,3,41,14
,,3.0,159,2,16,94,50,7,159,4,2,50.0,2,50.0,99,437.0,188.0,5,9,2,3,4,120,13
,,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233.0,152.0,6,3,1,1,0,31,10
,,0.2,7,0,5,2,0,0,7,0,0,0.0,0,0.0,5,17.0,10.0,0,0,0,0,0,5,0
,,1.2,59,5,19,34,8,0,59,4,2,50.0,1,25.0,30,162.0,91.0,2,1,0,1,2,32,2
,,0.9,89,2,10,60,20,1,89,2,2,100.0,0,0.0,50,205.0,108.0,3,1,0,2,0,64,3
,,4.4,297,4,74,116,111,16,297,17,7,41.2,10,58.8,174,1100.0,671.0,19,15,9,8,5,188,42
,,2.6,76,2,8,35,34,9,76,0,0,0.0,0,0.0,33,138.0,43.0,3,1,2,2,1,47,15
,,4.0,275,19,101,168,7,3,275,4,2,50.0,2,50.0,143,938.0,618.0,3,1,0,2,2,174,0
,,3.7,151,0,29,81,44,7,151,15,8,53.3,4,26.7,79,510.0,261.0,8,3,2,3,7,99,7
,,2.0,71,0,8,30,33,5,71,5,2,40.0,3,60.0,47,219.0,103.0,4,2,0,4,3,55,14
