stat_id,player_id,mp,min,ninety_s,starts,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,4,329,3.7,4,1,0.27,0,0.0,1,0.27,1,0.27,0,0,0,0,0.1,0.04,0.1,0.04,0.2,0.05,0.3,0.09
,,3,222,2.5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.0,0.01,0.1,0.03
,,5,423,4.7,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0,3,0,0.0,0.01,0.0,0.01,0.0,0.01,0.1,0.02
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,5,277,3.1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.04
,,5,209,2.3,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.08,0.2,0.08,0.0,0.02,0.2,0.11
,,2,164,1.8,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.18,0.3,0.18,0.0,0.01,0.4,0.19
,,1,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,199,2.2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.2,0.11,0.3,0.15
,,5,366,4.1,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.6,0.21,0.7,0.25
,,4,169,1.9,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.8,0.42,0.8,0.42,0.0,0.01,0.8,0.42
,,2,109,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,1,0.6,0.52,0.6,0.52,0.1,0.12,0.8,0.64
,,4,268,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
,,2,48,0.5,0,0,0.0,1,1.87,1,1.87,0,0.0,0,0,0,0,0.0,0.06,0.0,0.06,0.7,1.27,0.7,1.33
,,1,16,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,105,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,79,0.9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.08,0.1,0.08,0.1,0.07,0.1,0.14
,,5,393,4.4,4,1,0.23,1,0.23,2,0.46,1,0.23,0,0,2,0,0.4,0.08,0.4,0.08,0.3,0.07,0.7,0.15
,,5,237,2.6,3,1,0.38,0,0.0,1,0.38,1,0.38,0,0,0,0,1.1,0.42,1.1,0.42,0.0,0.01,1.1,0.42
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.02,0.1,0.02,0.0,0.01,0.1,0.03
,,5,329,3.7,4,0,0.0,1,0.27,1,0.27,0,0.0,0,0,1,0,0.4,0.12,0.4,0.12,0.1,0.04,0.6,0.16
,,4,181,2.0,3,0,0.0,1,0.5,1,0.5,0,0.0,0,0,0,0,0.3,0.14,0.3,0.14,0.2,0.1,0.5,0.24
,,3,135,1.5,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,2,29,0.3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.05,0.0,0.05,0.1,0.29,0.1,0.34
,,2,177,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01
,,4,143,1.6,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02
,,4,172,1.9,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.1,0.03,0.1,0.03
,,1,19,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,349,3.9,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.2,0.04,0.2,0.04
,,1,15,0.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.41,0.1,0.41
,,6,319,3.5,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7,0.19,0.7,0.19,0.0,0.0,0.7,0.19
,,5,377,4.2,4,2,0.48,2,0.48,4,0.95,2,0.48,0,1,1,0,2.0,0.48,1.2,0.29,0.6,0.15,1.8,0.44
,,3,87,1.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.02,0.0,0.02,0.0,0.05,0.1,0.07
,,3,109,1.2,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.1,0.1,0.1,0.3,0.25,0.4,0.35
,,4,346,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.04,0.1,0.04,0.0,0.0,0.1,0.04
,,3,270,3.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.05,0.2,0.05,0.0,0.01,0.2,0.06
,,4,321,3.6,4,0,0.0,2,0.56,2,0.56,0,0.0,0,0,1,0,0.8,0.22,0.8,0.22,1.5,0.42,2.3,0.64
,,3,231,2.6,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02
,,5,358,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.4,0.11,0.5,0.14
,,4,220,2.4,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,3,161,1.8,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.12,0.2,0.12,0.7,0.36,0.9,0.49
,,2,91,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.14,0.1,0.14,0.3,0.25,0.4,0.39
,,1,45,0.5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,4,191,2.1,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.2,0.09,0.2,0.09,0.1,0.04,0.3,0.13
,,4,315,3.5,3,0,0.0,1,0.29,1,0.29,0,0.0,0,0,1,0,0.1,0.04,0.1,0.04,0.3,0.07,0.4,0.11
,,4,238,2.6,2,1,0.38,0,0.0,1,0.38,1,0.38,0,0,1,0,1.0,0.38,1.0,0.38,0.1,0.03,1.1,0.42
,,2,175,1.9,2,1,0.51,0,0.0,1,0.51,1,0.51,0,0,0,0,0.2,0.09,0.2,0.09,0.0,0.0,0.2,0.09
,,1,4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,1,90,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,6,346,3.8,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.3,0.09,0.3,0.09,0.4,0.09,0.7,0.18
,,2,32,0.4,0,0,0.0,1,2.81,1,2.81,0,0.0,0,0,0,0,0.1,0.17,0.1,0.17,0.9,2.48,1.0,2.66
,,1,29,0.3,0,0,0.0,1,3.1,1,3.1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,2.7,0.9,2.7
,,1,87,1.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.05
,,5,322,3.6,4,1,0.28,0,0.0,1,0.28,1,0.28,0,0,0,0,0.2,0.05,0.2,0.05,0.5,0.14,0.7,0.19
,,3,70,0.8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.02,0.0,0.02,0.3,0.43,0.3,0.45
,,2,37,0.4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09
,,4,360,4.0,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.1,0.03,0.1,0.03,0.1,0.03,0.3,0.07
,,4,182,2.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.01,0.0,0.01,0.5,0.25,0.5,0.26
,,3,242,2.7,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.1,0.03,0.1,0.03,0.0,0.01,0.1,0.03
