stat_id,player_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,1,0.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,15,3.75,12,1,0,1,1,0,0,0.0,0,0,0,0,0,0
,,1.3,1,0.8,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.2,1,4.09,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
,,3.5,10,2.84,7,0,2,1,0,0,0,0.0,0,0,0,0,0,0
,,3.3,8,2.46,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.6,4,1.11,2,0,1,1,0,0,1,0.28,1,0,0,0,0,0
,,3.1,6,1.91,4,0,1,0,1,0,1,0.32,0,0,0,0,1,0
,,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,4,1.0,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,2.7,7,2.58,7,0,0,0,0,0,1,0.37,1,0,0,0,0,0
,,2.5,8,3.2,5,0,1,0,2,0,0,0.0,0,0,0,0,0,0
,,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.3,10,3.02,8,0,0,0,2,0,1,0.3,0,0,0,0,1,0
,,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.2,15,4.75,10,1,2,1,1,0,1,0.32,1,0,0,0,0,0
,,2.1,4,1.94,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.1,9,2.93,3,2,1,0,3,0,0,0.0,0,0,0,0,0,0
,,0.8,1,1.27,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
,,2.7,3,1.1,3,0,0,0,0,0,1,0.37,1,0,0,0,0,0
,,3.2,8,2.51,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0
,,4.0,7,1.75,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0
,,3.8,9,2.36,8,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,3.0,5,1.67,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,4,2.16,2,1,1,0,0,0,0,0.0,0,0,0,0,0,0
,,3.2,8,2.5,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0
,,1.9,5,2.68,4,0,0,0,1,0,1,0.54,1,0,0,0,0,0
,,2.9,13,4.42,10,0,1,2,0,0,4,1.36,4,0,0,0,0,0
,,2.6,4,1.51,2,2,0,0,0,0,1,0.38,1,0,0,0,0,0
,,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
,,3.8,7,1.85,5,0,2,0,0,0,0,0.0,0,0,0,0,0,0
