stat_id,player_id,ninety_s,ga,pka,fk,ck,og,psxg,psxg_per_sot,psxg_plus_minus,psxg_plus_minus_per_90,cmp,att,cmp_percent,att_gk,thr,launch_percent,avg_len,opp,stp,stp_percent,opa,opa_per_90,avg_dist
,,4.0,10,2,0,0,1,7.6,0.25,-1.4,-0.34,36,79,45.6,126,11,46.8,37.9,45,4,8.9,2,0.5,11.0
,,4.0,6,1,0,1,0,6.7,0.29,0.7,0.18,9,22,40.9,109,19,15.6,25.8,43,7,16.3,3,0.75,10.9
,,4.0,4,1,0,0,0,4.6,0.27,0.6,0.14,9,21,42.9,96,12,20.8,27.5,21,3,14.3,3,0.75,16.3
,,4.0,7,1,1,0,0,8.0,0.32,1.0,0.25,10,32,31.3,96,22,24.0,29.0,50,4,8.0,2,0.5,10.5
,,4.0,6,0,0,2,0,8.6,0.34,2.6,0.65,14,53,26.4,139,15,28.8,33.5,56,2,3.6,3,0.75,13.6
,,4.0,3,1,0,0,0,3.2,0.2,0.2,0.04,7,28,25.0,101,15,16.8,26.1,34,1,2.9,3,0.75,15.2
,,4.0,8,0,0,1,0,8.5,0.37,0.5,0.13,20,50,40.0,98,22,39.8,35.8,45,5,11.1,3,0.75,11.2
,,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,48,2,4.2,3,1.0,11.1
,,4.0,1,1,0,0,0,1.8,0.09,0.8,0.2,13,38,34.2,93,12,30.1,31.3,45,5,11.1,4,1.0,12.6
,,4.0,3,0,0,0,0,3.1,0.18,0.1,0.01,13,50,26.0,78,16,38.5,37.1,86,6,7.0,1,0.25,8.3
,,4.0,7,3,0,2,0,6.5,0.18,-0.5,-0.13,17,64,26.6,108,19,41.7,36.0,66,2,3.0,5,1.25,15.4
,,4.0,13,1,0,0,0,8.8,0.32,-4.2,-1.06,23,59,39.0,107,9,44.9,37.2,45,3,6.7,6,1.5,15.7
,,4.0,9,1,0,2,1,7.1,0.27,-0.9,-0.24,32,78,41.0,131,15,51.1,38.5,59,3,5.1,7,1.75,15.9
,,4.0,5,0,0,1,1,3.9,0.18,-0.1,-0.04,19,47,40.4,95,20,35.8,33.5,46,1,2.2,0,0.0,7.3
,,4.0,8,0,1,1,0,9.5,0.37,1.5,0.38,14,51,27.5,98,22,42.9,37.3,54,5,9.3,6,1.5,16.7
,,1.0,1,0,0,0,0,1.0,0.5,0.0,-0.01,4,9,44.4,50,2,18.0,25.9,20,0,0.0,1,1.0,13.8
,,4.0,4,0,0,0,1,2.9,0.24,-0.1,-0.02,18,44,40.9,97,14,25.8,28.9,49,2,4.1,2,0.5,12.8
,,4.0,4,0,0,1,0,4.9,0.31,0.9,0.24,8,35,22.9,145,23,20.7,27.2,44,2,4.5,9,2.25,19.2
,,4.0,1,0,0,1,0,1.9,0.17,0.9,0.22,18,46,39.1,98,13,33.7,33.7,56,7,12.5,2,0.5,8.7
