stat_id,player_id,mp,starts,min,ninety_s,ga,ga_per_90,sota,saves,save_percent,w,d,l,cs,cs_percent,pkatt,pka,pk_sv,pk_missed
,,4,4,360,4.0,10,2.5,23,14,65.2,1,0,3,1,25.0,2,2,0,0
,,4,4,360,4.0,6,1.5,22,16,77.3,1,1,2,0,0.0,1,1,0,0
,,4,4,360,4.0,4,1.0,14,10,78.6,2,0,2,2,50.0,1,1,0,0
,,4,4,360,4.0,7,1.75,23,16,73.9,2,0,2,1,25.0,1,1,0,0
,,4,4,360,4.0,6,1.5,27,21,77.8,2,1,1,0,0.0,0,0,0,0
,,4,4,360,4.0,3,0.75,12,9,83.3,4,0,0,1,25.0,1,1,0,0
,,4,4,360,4.0,8,2.0,23,15,65.2,0,1,3,0,0.0,0,0,0,0
,,3,3,270,3.0,6,2.0,22,16,77.3,1,1,1,0,0.0,1,1,0,0
,,4,4,360,4.0,1,0.25,11,10,100.0,3,1,0,3,75.0,1,1,0,0
,,4,4,360,4.0,3,0.75,17,14,82.4,2,1,1,2,50.0,0,0,0,0
,,4,4,360,4.0,7,1.75,23,16,82.6,1,0,3,1,25.0,3,3,0,0
,,4,4,360,4.0,13,3.25,25,12,52.0,0,1,3,0,0.0,1,1,0,0
,,4,4,360,4.0,9,2.25,24,16,66.7,1,0,3,0,0.0,1,1,0,0
,,4,4,360,4.0,5,1.25,18,13,72.2,2,0,2,2,50.0,1,0,1,0
,,4,4,360,4.0,8,2.0,26,18,69.2,1,1,2,1,25.0,0,0,0,0
,,1,1,90,1.0,1,1.0,2,1,50.0,0,1,0,0,0.0,0,0,0,0
,,4,4,360,4.0,4,1.0,12,9,66.7,1,2,1,2,50.0,0,0,0,0
,,4,4,360,4.0,4,1.0,15,10,73.3,3,1,0,1,25.0,1,0,1,0
,,4,4,360,4.0,1,0.25,11,10,90.9,2,2,0,3,75.0,0,0,0,0
