stat_id,team_id,ninety_s,tkl_tackles,tklw_tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,tkl_challenges,att_challenges,tkl_percent_challenges,lost_challenges,blocks_blocks,sh_blocks,pass_blocks,interceptions,tkl_plus_int,clr,err
,,4.0,94,58,47,27,20,46,83,55.4,37,38,6,32,40,134,77,5
,,4.0,73,43,41,23,9,32,74,43.2,42,43,15,28,31,104,107,4
,,4.0,91,59,35,37,19,56,86,65.1,30,48,14,34,44,135,76,0
,,4.0,76,53,36,31,9,28,57,49.1,29,42,14,28,38,114,81,1
,,4.0,77,39,36,29,12,45,76,59.2,31,54,12,42,41,118,103,0
,,4.0,77,43,24,38,15,43,77,55.8,34,38,4,34,23,100,36,2
,,4.0,86,49,38,33,15,36,65,55.4,29,54,16,38,45,131,80,3
,,4.0,61,38,35,19,7,35,59,59.3,24,32,9,23,30,91,69,3
,,4.0,93,67,45,36,12,48,73,65.8,25,36,8,28,35,128,62,1
,,4.0,79,44,39,31,9,48,86,55.8,38,27,5,22,34,113,60,1
,,4.0,84,55,46,26,12,42,75,56.0,33,42,12,30,28,112,150,1
,,4.0,72,47,23,42,7,34,67,50.7,33,37,10,27,30,102,65,5
,,4.0,74,44,33,33,8,31,52,59.6,21,32,6,26,26,100,39,2
,,4.0,68,44,32,26,10,39,70,55.7,31,58,27,31,27,95,80,4
,,4.0,77,40,32,35,10,42,69,60.9,27,42,14,28,32,109,79,0
,,4.0,62,43,31,25,6,37,68,54.4,31,50,20,30,33,95,102,3
,,4.0,84,46,45,26,13,47,68,69.1,21,44,16,28,30,114,95,0
,,4.0,79,43,30,39,10,39,68,57.4,29,34,11,23,30,109,72,1
