stat_id,team_id,ninety_s,sca,sca_per_90,passlive_sca,passdead_sca,to_sca,sh_sca,fld_sca,def_sca,gca,gca_per_90,passlive_gca,passdead_gca,to_gca,sh_gca,fld_gca,def_gca
,,4.0,67,16.75,53,3,3,2,4,2,4,1.0,3,0,0,0,1,0
,,4.0,87,21.75,71,4,3,2,6,1,6,1.5,2,1,1,0,2,0
,,4.0,82,20.5,53,12,3,4,7,3,9,2.25,5,0,0,2,2,0
,,4.0,82,20.5,49,9,6,4,10,4,9,2.25,4,2,0,0,3,0
,,4.0,93,23.25,71,7,5,8,2,0,5,1.25,4,0,0,1,0,0
,,4.0,100,25.0,81,5,4,6,4,0,8,2.0,5,0,1,2,0,0
,,4.0,79,19.75,62,5,5,6,1,0,6,1.5,4,0,0,2,0,0
,,4.0,91,22.75,72,3,2,8,5,1,21,5.25,18,0,0,1,2,0
,,4.0,128,32.0,101,10,9,5,3,0,12,3.0,8,2,1,1,0,0
,,4.0,69,17.25,49,6,2,4,6,2,3,0.75,0,0,0,2,1,0
,,4.0,81,20.25,54,9,10,5,2,1,10,2.5,7,0,2,1,0,0
,,4.0,79,19.75,55,9,5,4,5,1,10,2.5,6,1,1,2,0,0
,,4.0,139,34.75,107,7,10,6,6,3,31,7.75,26,1,1,1,2,0
,,4.0,67,16.75,49,6,5,3,2,2,11,2.75,8,0,2,1,0,0
,,4.0,105,26.25,68,12,6,9,5,5,15,3.75,7,3,2,1,2,0
,,4.0,76,19.0,47,6,9,7,5,2,2,0.5,1,0,1,0,0,0
,,4.0,82,20.5,56,9,2,4,7,4,13,3.25,10,0,0,1,1,1
,,4.0,76,19.0,44,11,7,6,5,3,7,1.75,5,0,1,0,0,1
