stat_id,team_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,4.0,10,0,0,58,44,9,72,40,58,1,0,0,179,46,40,53.5
,,4.0,9,2,1,46,50,4,83,31,43,0,1,1,167,44,50,46.8
,,4.0,10,0,0,44,50,6,70,44,59,3,2,1,179,53,51,51.0
,,4.0,8,0,0,42,47,8,61,38,53,2,1,0,177,48,48,50.0
,,4.0,6,1,0,57,36,14,80,41,39,0,0,0,189,64,49,56.6
,,4.0,7,0,0,43,44,9,75,23,43,0,1,0,196,39,29,57.4
,,4.0,6,0,0,53,39,13,62,45,49,1,0,0,174,34,48,41.5
,,4.0,9,1,1,51,38,4,34,30,38,2,1,0,156,35,19,64.8
,,4.0,5,1,1,49,63,8,64,35,67,0,1,0,226,47,37,56.0
,,4.0,13,0,0,54,48,5,78,34,44,1,1,0,174,32,47,40.5
,,4.0,10,0,0,48,34,5,74,28,55,0,0,0,162,44,58,43.1
,,4.0,10,1,1,46,63,9,70,30,47,0,1,0,168,39,49,44.3
,,4.0,5,0,0,36,45,6,59,26,44,2,1,0,183,28,24,53.8
,,4.0,6,1,0,33,51,3,52,27,44,0,0,0,165,26,47,35.6
,,4.0,8,0,0,55,35,5,63,32,40,0,1,1,172,49,34,59.0
,,4.0,10,0,0,66,43,12,45,33,43,0,3,0,167,46,62,42.6
,,4.0,11,0,0,44,60,5,40,30,46,0,1,0,158,49,40,55.1
,,4.0,7,1,0,55,45,1,65,30,43,0,0,1,176,59,50,54.1
