stat_id,team_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,4.0,1724,1532,183,49,7,2,72,80,22,12,8,0,1352,9,35
,,4.0,1983,1800,179,62,1,19,83,63,18,8,8,0,1603,4,39
,,4.0,1755,1575,174,61,0,8,70,59,15,5,8,0,1365,6,35
,,4.0,1586,1419,159,45,6,4,61,63,13,6,6,0,1241,8,27
,,4.0,1937,1741,182,49,11,7,80,75,20,13,5,0,1513,14,48
,,4.0,2511,2338,164,49,2,9,75,66,21,6,7,0,2147,9,38
,,4.0,1787,1573,201,47,3,9,62,85,24,15,5,0,1399,13,52
,,4.0,2659,2498,157,43,3,6,34,76,6,2,1,0,2350,4,40
,,4.0,2174,1946,220,75,15,9,64,84,24,12,6,0,1781,8,37
,,4.0,1820,1629,186,48,2,18,78,64,20,5,12,0,1491,5,28
,,4.0,1593,1424,164,37,4,5,74,77,17,5,9,0,1251,5,29
,,4.0,1869,1675,185,66,9,3,70,63,18,9,7,0,1534,9,33
,,4.0,3014,2822,186,54,9,13,59,76,28,3,8,0,2732,6,40
,,4.0,1725,1550,172,59,5,12,52,63,10,6,2,0,1407,3,27
,,4.0,1735,1565,165,43,5,8,63,67,20,17,2,0,1410,5,30
,,4.0,1556,1351,193,51,2,15,45,80,10,4,6,0,1207,12,20
,,4.0,2066,1862,199,66,6,6,40,78,14,4,8,0,1715,5,33
,,4.0,1773,1578,194,48,3,8,65,81,22,6,15,0,1385,1,34
