stat_id,team_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,kp,one_third,crspa,prgp
,,4.0,1352,1724,78.4,22799.0,8273.0,655,740,88.5,552,646,85.4,109,234,46.6,1,29,102,9,130
,,4.0,1603,1983,80.8,28702.0,10353.0,678,767,88.4,724,819,88.4,156,288,54.2,2,36,110,7,166
,,4.0,1365,1755,77.8,26063.0,10197.0,600,702,85.5,557,670,83.1,180,315,57.1,1,34,107,10,110
,,4.0,1241,1586,78.2,21519.0,8442.0,561,645,87.0,555,645,86.0,98,213,46.0,3,31,93,9,142
,,4.0,1513,1937,78.1,24343.0,10069.0,782,896,87.3,545,657,83.0,128,238,53.8,2,43,118,10,165
,,4.0,2147,2511,85.5,36611.0,11319.0,1007,1108,90.9,950,1052,90.3,153,233,65.7,3,41,182,9,229
,,4.0,1399,1787,78.3,23044.0,9563.0,685,788,86.9,541,639,84.7,121,225,53.8,2,35,116,6,169
,,4.0,2350,2659,88.4,37325.0,11988.0,1192,1262,94.5,1003,1089,92.1,108,209,51.7,6,31,152,6,145
,,4.0,1781,2174,81.9,29040.0,11257.0,881,994,88.6,737,853,86.4,116,230,50.4,6,57,124,9,176
,,4.0,1491,1820,81.9,27298.0,9678.0,639,699,91.4,631,709,89.0,181,318,56.9,0,28,117,8,137
,,4.0,1251,1593,78.5,22535.0,8499.0,527,593,88.9,588,682,86.2,116,246,47.2,4,35,94,10,120
,,4.0,1534,1869,82.1,25904.0,9859.0,707,783,90.3,701,805,87.1,103,201,51.2,5,31,101,5,150
,,4.0,2732,3014,90.6,44225.0,12837.0,1335,1413,94.5,1139,1215,93.7,183,252,72.6,13,63,177,5,234
,,4.0,1407,1725,81.6,25082.0,9195.0,619,682,90.8,618,700,88.3,134,265,50.6,4,29,95,5,137
,,4.0,1410,1735,81.3,26088.0,10050.0,572,648,88.3,646,749,86.2,164,267,61.4,6,43,129,8,181
,,4.0,1207,1556,77.6,22321.0,8602.0,514,593,86.7,535,638,83.9,136,262,51.9,1,28,90,4,121
,,4.0,1715,2066,83.0,29459.0,10650.0,737,843,87.4,814,920,88.5,124,224,55.4,5,35,92,8,101
,,4.0,1385,1773,78.1,24601.0,9271.0,608,704,86.4,625,734,85.1,126,253,49.8,4,34,103,3,142
