stat_id,team_id,age,mp,min,mn_per_mp,min_percent,ninety_s,starts,mn_per_start,compl,subs,mn_per_sub,unsub,ppm,on_g,on_ga,plus_minus,plus_minus_per_90,onxg,onxga,xg_plus_minus,xg_plus_minus_per_90
,,27.3,4,360,90.0,100.0,4.0,44,81.0,25,19,20.0,17,0.25,2,8,-6,-1.5,3.3,6.6,-3.3,-0.82
,,26.8,4,360,90.0,100.0,4.0,44,81.0,25,17,19.0,19,0.75,3,9,-6,-1.5,4.1,8.3,-4.2,-1.05
,,29.0,4,360,90.0,100.0,4.0,44,83.0,26,18,17.0,15,0.75,6,10,-4,-1.0,6.3,8.3,-2.0,-0.5
,,26.8,4,360,90.0,100.0,4.0,44,83.0,28,16,19.0,20,1.5,6,7,-1,-0.25,5.5,5.8,-0.3,-0.07
,,27.6,4,360,90.0,100.0,4.0,44,81.0,24,20,20.0,15,2.0,4,1,3,0.75,7.4,2.8,4.5,1.14
,,25.9,4,360,90.0,100.0,4.0,44,79.0,23,21,23.0,15,1.5,5,4,1,0.25,5.5,4.5,1.1,0.26
,,27.8,4,360,90.0,100.0,4.0,44,83.0,26,18,18.0,18,1.0,4,8,-4,-1.0,5.5,8.0,-2.5,-0.62
,,26.4,4,360,90.0,100.0,4.0,44,85.0,27,17,13.0,19,2.5,12,4,8,2.0,6.9,5.0,1.9,0.47
,,24.7,4,360,90.0,100.0,4.0,44,82.0,24,19,18.0,17,2.5,7,1,6,1.5,8.6,3.2,5.4,1.34
,,26.7,4,360,90.0,100.0,4.0,44,82.0,30,14,24.0,20,0.25,2,13,-11,-2.75,3.2,7.5,-4.3,-1.07
,,26.4,4,360,90.0,100.0,4.0,44,85.0,25,19,11.0,18,1.75,6,3,3,0.75,4.9,4.2,0.7,0.17
,,26.6,4,360,90.0,100.0,4.0,44,83.0,25,18,15.0,18,1.0,6,6,0,0.0,6.1,4.9,1.2,0.3
,,24.1,4,360,90.0,100.0,4.0,44,79.0,24,20,25.0,16,3.0,16,3,13,3.25,12.1,3.2,8.9,2.21
,,24.8,4,360,90.0,100.0,4.0,44,82.0,27,16,17.0,22,1.75,6,6,0,0.0,2.8,7.4,-4.6,-1.14
,,26.6,4,360,90.0,100.0,4.0,44,83.0,26,18,18.0,18,1.5,8,5,3,0.75,5.2,4.5,0.7,0.17
,,26.5,4,360,90.0,100.0,4.0,44,82.0,25,19,19.0,17,0.75,1,7,-6,-1.5,2.9,8.7,-5.7,-1.43
,,22.4,4,360,90.0,100.0,4.0,44,82.0,26,18,20.0,20,1.25,8,7,1,0.25,6.6,6.2,0.4,0.1
,,25.2,4,360,90.0,100.0,4.0,44,80.0,25,18,21.0,18,1.25,4,4,0,0.0,5.0,2.8,2.2,0.55
