stat_id,team_id,ninety_s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_percent,tkld,tkld_percent,carries,tot_dist,prg_dist,prgc,one_third,cpa,mis,dis,rec,prgr
,,4.0,2213,218,721,968,541,68,2212,79,29,36.7,46,58.2,1063,5350.0,2462.0,54,30,12,68,44,1342,130
,,4.0,2444,248,818,1113,537,62,2444,65,23,35.4,33,50.8,1400,6741.0,3373.0,67,55,9,54,45,1586,166
,,4.0,2206,265,760,977,488,76,2202,65,23,35.4,40,61.5,1055,5377.0,2491.0,50,38,13,53,26,1353,109
,,4.0,2017,221,734,861,444,63,2015,63,30,47.6,25,39.7,1115,6019.0,3073.0,61,35,13,65,31,1233,140
,,4.0,2435,208,703,1119,634,84,2434,65,26,40.0,36,55.4,1176,5679.0,2839.0,55,53,5,64,38,1498,163
,,4.0,2898,172,602,1421,898,125,2898,79,38,48.1,40,50.6,1903,10331.0,5389.0,104,94,28,54,45,2132,226
,,4.0,2260,261,733,943,607,109,2259,78,25,32.1,46,59.0,1179,6184.0,2993.0,79,40,20,65,31,1383,165
,,4.0,3047,280,1040,1510,518,84,3045,65,24,36.9,36,55.4,2013,9094.0,4288.0,60,48,23,50,36,2323,144
,,4.0,2645,213,739,1298,636,113,2645,96,43,44.8,46,47.9,1575,9021.0,4691.0,99,77,30,68,39,1768,175
,,4.0,2224,243,700,1040,502,57,2223,72,25,34.7,41,56.9,1164,6757.0,3119.0,57,37,14,60,43,1482,136
,,4.0,2082,263,720,890,497,76,2081,73,33,45.2,37,50.7,992,5559.0,2681.0,67,43,20,56,35,1244,119
,,4.0,2302,221,730,1147,448,92,2302,91,30,33.0,51,56.0,1262,7056.0,3874.0,71,43,21,67,41,1516,147
,,4.0,3446,247,840,1716,912,127,3444,96,34,35.4,59,61.5,2187,11820.0,6293.0,126,92,49,66,32,2718,233
,,4.0,2154,308,865,876,437,61,2154,81,41,50.6,37,45.7,1241,7094.0,3470.0,66,46,9,59,29,1396,137
,,4.0,2182,206,614,973,618,114,2182,77,33,42.9,40,51.9,1179,6040.0,3389.0,68,55,26,57,42,1396,178
,,4.0,2020,291,796,864,383,46,2020,78,32,41.0,42,53.8,1054,5878.0,2890.0,53,46,11,75,37,1200,119
,,4.0,2507,350,1138,1036,355,66,2507,71,28,39.4,41,57.7,1406,6622.0,3310.0,65,41,18,60,45,1688,98
,,4.0,2188,240,691,1054,473,77,2188,64,28,43.8,32,50.0,1243,5716.0,2854.0,56,32,17,58,40,1366,138
