stat_id,team_id,ninety_s,gls,sh,sot,sot_percent,sh_per_90,sot_per_90,g_per_sh,g_per_sot,dist,fk,pk,pkatt,xg,npxg,npxg_per_sh,g_minus_xg,npg_minus_xg
,,4.0,2,39,13,33.3,9.75,3.25,0.03,0.08,20.2,1,1,1,3.3,2.5,0.06,-1.3,-1.5
,,4.0,3,48,16,33.3,12.0,4.0,0.06,0.19,18.9,2,0,0,4.1,4.1,0.09,-1.1,-1.1
,,4.0,6,44,16,36.4,11.0,4.0,0.07,0.19,17.7,1,3,4,6.3,3.1,0.07,-0.3,-0.1
,,4.0,5,44,16,36.4,11.0,4.0,0.07,0.19,20.9,1,2,2,5.5,4.0,0.09,-0.5,-1.0
,,4.0,3,53,20,37.7,13.25,5.0,0.04,0.1,16.1,1,1,1,7.4,6.6,0.13,-4.4,-4.6
,,4.0,5,58,20,34.5,14.5,5.0,0.09,0.25,16.4,2,0,0,5.5,5.5,0.1,-0.5,-0.5
,,4.0,4,44,16,36.4,11.0,4.0,0.09,0.25,16.5,0,0,1,5.5,4.7,0.11,-1.5,-0.7
,,4.0,11,48,22,45.8,12.0,5.5,0.19,0.41,17.1,2,2,2,6.9,5.3,0.12,4.1,3.7
,,4.0,7,71,24,33.8,17.75,6.0,0.1,0.29,16.4,1,0,0,8.6,8.6,0.12,-1.6,-1.6
,,4.0,2,37,15,40.5,9.25,3.75,0.03,0.07,20.6,3,1,1,3.2,2.5,0.07,-1.2,-1.5
,,4.0,6,45,16,35.6,11.25,4.0,0.11,0.31,17.5,1,1,1,4.9,4.1,0.1,1.1,0.9
,,4.0,6,46,17,37.0,11.5,4.25,0.13,0.35,14.3,3,0,0,6.1,6.1,0.14,-0.1,-0.1
,,4.0,16,73,34,46.6,18.25,8.5,0.19,0.41,15.9,4,2,2,12.1,10.5,0.15,3.9,3.5
,,4.0,6,37,14,37.8,9.25,3.5,0.16,0.43,18.3,0,0,0,2.8,2.8,0.08,3.2,3.2
,,4.0,8,60,24,40.0,15.0,6.0,0.13,0.33,16.5,2,0,0,5.2,5.2,0.09,2.8,2.8
,,4.0,1,46,14,30.4,11.5,3.5,0.02,0.07,19.1,2,0,0,2.9,2.9,0.07,-1.9,-1.9
,,4.0,7,47,22,46.8,11.75,5.5,0.15,0.32,15.3,2,0,0,6.6,6.6,0.14,0.4,0.4
,,4.0,4,45,16,35.6,11.25,4.0,0.09,0.25,15.2,1,0,0,5.0,5.0,0.11,-1.0,-1.0
