stat_id,team_id,age,poss,mp,starts,min,ninety_s,gls,gls_per_90,ast,ast_per_90,g_a,g_a_per_90,g_pk,g_pk_per_90,pk,pkatt,crd_y,crd_r,xg,xg_per_90,npxg,npxg_per_90,xag,xag_per_90,npxg_xag,npxg_xag_per_90
,,27.3,45.0,4,44,360,4.0,2,0.5,1,0.25,3,0.75,1,0.25,1,1,10,0,3.3,0.82,2.5,0.63,2.2,0.55,4.7,1.18
,,26.8,50.0,4,44,360,4.0,3,0.75,2,0.5,5,1.25,3,0.75,0,0,9,2,4.1,1.02,4.1,1.02,3.7,0.93,7.8,1.95
,,29.0,44.5,4,44,360,4.0,6,1.5,1,0.25,7,1.75,3,0.75,3,4,10,0,6.3,1.57,3.1,0.78,1.9,0.47,5.0,1.25
,,26.8,40.3,4,44,360,4.0,5,1.25,3,0.75,8,2.0,3,0.75,2,2,8,0,5.5,1.39,4.0,0.99,3.0,0.76,7.0,1.75
,,27.6,50.5,4,44,360,4.0,3,0.75,2,0.5,5,1.25,2,0.5,1,1,6,1,7.4,1.84,6.6,1.66,5.3,1.33,11.9,2.98
,,25.9,61.0,4,44,360,4.0,5,1.25,3,0.75,8,2.0,5,1.25,0,0,7,0,5.5,1.39,5.5,1.39,4.3,1.07,9.8,2.46
,,27.8,46.8,4,44,360,4.0,4,1.0,2,0.5,6,1.5,4,1.0,0,1,6,0,5.5,1.39,4.7,1.17,3.4,0.86,8.1,2.03
,,26.4,62.0,4,44,360,4.0,11,2.75,6,1.5,17,4.25,9,2.25,2,2,9,1,6.9,1.73,5.3,1.34,2.9,0.72,8.2,2.06
,,24.7,60.5,4,44,360,4.0,7,1.75,6,1.5,13,3.25,7,1.75,0,0,5,1,8.6,2.15,8.6,2.15,6.8,1.7,15.4,3.85
,,26.7,48.0,4,44,360,4.0,2,0.5,0,0.0,2,0.5,1,0.25,1,1,13,0,3.2,0.8,2.5,0.62,1.5,0.37,4.0,0.99
,,26.4,39.5,4,44,360,4.0,6,1.5,4,1.0,10,2.5,5,1.25,1,1,10,0,4.9,1.22,4.1,1.03,3.3,0.83,7.4,1.86
,,26.6,50.5,4,44,360,4.0,6,1.5,5,1.25,11,2.75,6,1.5,0,0,10,1,6.1,1.52,6.1,1.52,3.6,0.9,9.7,2.42
,,24.1,67.3,4,44,360,4.0,16,4.0,13,3.25,29,7.25,14,3.5,2,2,5,0,12.1,3.02,10.5,2.62,10.0,2.5,20.5,5.12
,,24.8,43.5,4,44,360,4.0,6,1.5,4,1.0,10,2.5,6,1.5,0,0,6,1,2.8,0.71,2.8,0.71,2.4,0.6,5.2,1.31
,,26.6,46.5,4,44,360,4.0,8,2.0,6,1.5,14,3.5,8,2.0,0,0,8,0,5.2,1.29,5.2,1.29,3.2,0.79,8.3,2.08
,,26.5,45.3,4,44,360,4.0,1,0.25,1,0.25,2,0.5,1,0.25,0,0,10,0,2.9,0.74,2.9,0.74,1.6,0.4,4.5,1.13
,,22.4,55.3,4,44,360,4.0,7,1.75,5,1.25,12,3.0,7,1.75,0,0,11,0,6.6,1.65,6.6,1.65,5.1,1.26,11.6,2.91
,,25.2,43.8,4,44,360,4.0,4,1.0,4,1.0,8,2.0,4,1.0,0,0,7,1,5.0,1.24,5.0,1.24,4.1,1.03,9.1,2.28
