stat_id,player_id,ninety_s,crd_y,crd_r,two_crd_y,fls,fld,off,crs,interceptions,tklw,pkwon,pkcon,og,recov,won,lost,won_percent
,,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
,,4.0,0,0,0,6,3,0,0,2,1,0,0,0,12,6,4,60.0
,,4.0,0,0,0,8,6,0,14,4,6,0,0,0,29,2,0,100.0
,,1.3,0,0,0,0,1,0,0,0,4,0,0,0,5,0,1,0.0
,,0.2,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,50.0
,,3.5,0,0,0,3,5,1,2,0,0,0,0,0,6,7,12,36.8
,,3.3,1,0,0,6,0,0,10,3,6,0,0,0,18,2,2,50.0
,,3.6,0,0,0,6,2,1,6,2,0,0,0,0,9,5,6,45.5
,,3.1,0,0,0,9,5,2,1,0,1,1,0,0,8,8,5,61.5
,,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
,,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
,,4.0,0,0,0,5,3,0,0,6,6,0,0,0,22,4,2,66.7
,,2.7,1,0,0,4,2,1,8,5,5,0,0,0,16,2,2,50.0
,,2.5,1,0,0,8,2,0,0,5,5,0,0,0,11,5,3,62.5
,,1.0,0,0,0,2,1,0,1,1,3,0,0,0,4,1,3,25.0
,,3.3,1,0,0,3,6,1,0,0,2,2,0,0,7,15,13,53.6
,,2.0,0,0,0,1,2,0,6,0,2,0,0,0,9,3,3,50.0
,,3.2,0,0,0,3,6,1,8,0,6,0,0,0,22,1,0,100.0
,,2.1,0,0,0,0,5,0,10,1,1,0,0,0,10,3,4,42.9
,,3.1,0,0,0,2,11,1,12,1,2,0,0,0,11,1,6,14.3
,,0.8,0,0,0,0,0,1,3,0,1,0,0,0,3,1,0,100.0
,,2.7,2,0,0,6,3,0,6,5,9,0,1,0,8,2,2,50.0
,,3.2,1,0,0,5,1,0,8,1,9,0,0,0,13,3,4,42.9
,,4.0,0,0,0,6,3,0,2,3,3,0,0,0,19,8,2,80.0
,,3.8,0,0,0,1,2,0,1,5,1,0,0,0,21,0,7,0.0
,,3.0,1,0,0,3,6,1,1,4,5,0,0,0,20,8,2,80.0
,,1.9,0,0,0,3,0,0,7,1,7,0,1,0,8,2,0,100.0
,,3.2,0,0,0,2,1,0,7,4,5,0,0,0,13,3,2,60.0
,,1.9,0,0,0,2,3,1,4,1,2,0,0,0,11,0,2,0.0
,,2.9,0,0,0,0,1,1,6,0,1,0,0,0,8,1,2,33.3
,,2.6,1,0,0,9,2,0,4,6,1,0,1,0,14,3,1,75.0
,,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
,,3.8,1,0,0,6,5,0,2,4,3,0,0,0,19,3,3,50.0
,,0.9,0,0,0,1,1,0,0,1,0,0,0,0,2,0,5,0.0
,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,,1.0,1,0,0,2,1,0,1,0,3,0,0,0,3,0,1,0.0
,,1.9,0,0,0,3,1,1,1,0,0,0,0,0,1,6,5,54.5
,,0.2,0,0,0,1,0,0,3,0,1,0,0,0,2,1,0,100.0
,,4.0,0,0,0,2,13,2,21,3,5,0,0,0,14,2,1,66.7
,,2.0,0,0,0,2,1,0,0,3,2,0,0,0,7,2,0,100.0
,,1.8,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0.0
,,2.7,1,0,0,2,2,0,1,4,2,0,0,0,6,3,1,75.0
,,2.4,0,0,0,3,2,1,1,0,4,0,0,0,8,2,2,50.0
,,2.9,1,0,0,4,4,0,8,1,3,0,0,0,12,0,5,0.0
,,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0
,,4.0,1,0,0,6,3,0,0,7,2,0,0,0,14,10,4,71.4
,,1.0,0,0,0,2,1,0,0,1,3,0,0,0,8,0,1,0.0
,,2.8,1,0,0,8,3,0,1,4,4,0,0,0,18,0,1,0.0
,,3.1,0,0,0,8,14,1,5,0,7,0,0,0,16,2,2,50.0
,,1.9,0,0,0,3,2,1,13,1,1,0,0,0,3,0,0,0.0
,,3.0,2,0,0,3,2,0,0,1,6,0,0,0,14,1,2,33.3
,,1.1,0,0,0,3,0,0,0,1,3,0,0,0,5,0,1,0.0
