stat_id,player_id,ninety_s,att,live,dead,fk,tb,sw,crs,ti,ck,inn,outt,str,cmp,off,blocks
,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
,,4.0,175,150,24,11,0,0,0,1,0,0,0,0,154,1,0
,,4.0,251,224,26,11,2,0,14,3,5,3,1,0,200,1,3
,,1.3,60,54,6,6,0,1,0,0,0,0,0,0,49,0,0
,,0.2,12,10,2,0,0,0,1,2,0,0,0,0,10,0,1
,,3.5,59,57,2,0,0,2,2,0,0,0,0,0,44,0,2
,,3.3,179,146,32,0,0,1,10,28,4,4,0,0,139,1,6
,,3.6,61,56,5,0,0,0,6,2,1,1,0,0,41,0,1
,,3.1,42,38,4,0,0,0,1,0,0,0,0,0,24,0,2
,,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
,,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
,,4.0,276,255,21,7,1,6,0,1,0,0,0,0,241,0,1
,,2.7,173,140,33,3,0,1,8,30,0,0,0,0,138,0,7
,,2.5,99,96,1,1,0,0,0,0,0,0,0,0,87,2,0
,,1.0,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0
,,3.3,95,94,1,0,0,1,0,0,0,0,0,0,64,0,1
,,2.0,60,53,7,1,0,0,6,6,0,0,0,0,42,0,1
,,3.2,161,155,5,2,0,1,8,1,2,0,1,0,132,1,7
,,2.1,123,109,14,3,0,3,10,10,1,1,0,0,99,0,5
,,3.1,67,61,5,2,2,0,12,0,3,0,3,0,47,1,3
,,0.8,25,24,1,0,0,0,3,0,1,0,1,0,18,0,1
,,2.7,142,117,24,3,0,0,6,21,0,0,0,0,102,1,5
,,3.2,140,110,30,1,1,0,8,29,0,0,0,0,121,0,4
,,4.0,264,227,35,4,0,0,2,31,0,0,0,0,233,2,5
,,3.8,121,117,3,3,0,1,1,0,0,0,0,0,95,1,3
,,3.0,225,214,9,8,0,1,1,1,0,0,0,0,180,2,4
,,1.9,100,77,21,3,0,0,7,18,0,0,0,0,69,2,5
,,3.2,122,102,19,1,0,0,7,18,0,0,0,0,97,1,4
,,1.9,158,153,5,1,0,1,4,1,3,2,1,0,132,0,0
,,2.9,142,130,10,1,0,0,6,3,2,0,0,0,122,2,2
,,2.6,124,102,22,3,0,0,4,19,0,0,0,0,96,0,2
,,0.1,6,5,1,0,0,0,0,0,0,0,0,0,6,0,0
,,3.8,183,181,2,2,0,0,2,0,0,0,0,0,164,0,2
,,0.9,24,22,2,0,0,0,0,0,0,0,0,0,19,0,0
,,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
,,1.0,21,21,0,0,0,0,1,0,0,0,0,0,19,0,0
,,1.9,33,29,4,0,0,0,1,0,0,0,0,0,23,0,0
,,0.2,22,18,4,0,0,0,3,4,0,0,0,0,19,0,0
,,4.0,157,126,30,13,0,1,21,8,9,3,6,0,114,1,4
,,2.0,196,189,7,3,0,1,0,0,0,0,0,0,186,0,1
,,1.8,35,34,1,0,0,0,0,1,0,0,0,0,28,0,1
,,2.7,78,71,7,1,1,0,1,6,0,0,0,0,63,0,2
,,2.4,73,73,0,0,0,0,1,0,0,0,0,0,59,0,4
,,2.9,128,101,27,2,0,0,8,25,0,0,0,0,88,0,6
,,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
,,4.0,171,166,4,3,0,0,0,1,0,0,0,0,150,1,1
,,1.0,50,50,0,0,0,0,0,0,0,0,0,0,43,0,2
,,2.8,80,78,2,1,0,0,1,1,0,0,0,0,71,0,1
,,3.1,148,139,8,2,2,1,5,2,4,2,0,0,116,1,3
,,1.9,91,82,7,2,0,1,13,0,5,1,3,0,63,2,3
,,3.0,276,265,11,3,0,1,0,8,0,0,0,0,259,0,2
,,1.1,48,46,2,1,0,0,0,0,0,0,0,0,41,0,0
,,4.0,150,115,35,11,0,0,0,0,0,0,0,0,102,0,0
,,3.7,117,104,13,4,1,2,18,1,8,7,1,0,88,0,2
,,0.6,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
,,1.1,25,22,3,0,0,0,4,0,3,3,0,0,18,0,2
,,1.7,129,122,7,2,0,0,0,1,0,0,0,0,115,0,1
,,0.8,58,58,0,0,0,1,0,0,0,0,0,0,56,0,0
,,1.4,46,39,6,3,2,0,6,1,2,1,0,0,29,1,2
,,3.0,144,138,5,5,2,0,2,0,0,0,0,0,119,1,6
,,0.9,48,40,8,2,0,1,6,0,6,4,1,0,36,0,1
,,0.8,40,35,5,0,0,0,5,3,2,1,1,0,35,0,1
,,3.0,261,250,10,2,0,0,2,2,0,0,0,0,235,1,3
,,1.9,94,73,21,1,0,0,3,20,0,0,0,0,80,0,2
,,4.0,131,101,30,8,0,0,0,0,0,0,0,0,116,0,0
,,1.9,133,117,16,6,0,0,7,1,9,2,2,0,116,0,0
,,3.5,100,85,15,6,0,1,15,4,5,4,1,0,65,0,1
,,4.0,161,145,16,8,0,1,0,0,0,0,0,0,145,0,0
,,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
,,3.0,193,173,20,6,0,0,15,1,13,8,3,0,158,0,5
,,3.9,154,139,15,3,0,0,7,0,0,0,0,0,128,0,3
,,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1
,,1.9,60,52,8,2,1,1,6,0,5,5,0,0,45,0,0
,,3.8,165,157,7,4,0,0,3,1,0,0,0,0,124,1,8
,,0.4,35,34,1,0,1,0,2,1,0,0,0,0,32,0,1
,,3.1,91,79,12,1,1,0,4,8,0,0,0,0,66,0,2
,,3.1,146,142,4,2,0,1,4,1,0,0,0,0,117,0,1
,,3.0,145,144,1,1,0,0,1,0,0,0,0,0,133,0,0
,,4.0,162,152,10,10,0,0,1,0,0,0,0,0,137,0,0
,,2.5,91,69,21,2,0,0,11,12,7,4,2,0,66,1,0
,,0.0,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0
,,2.9,43,42,1,0,2,0,2,0,0,0,0,0,22,0,4
,,4.0,112,89,23,7,0,0,0,0,0,0,0,0,95,0,0
,,4.0,227,211,15,13,1,2,2,0,0,0,0,0,186,1,1
,,2.4,99,94,5,5,1,2,1,0,0,0,0,0,87,0,0
,,3.7,154,120,32,6,0,1,17,18,8,4,3,0,109,2,2
