stat_id,player_id,ninety_s,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,xa,xag,a_xag,kp,one_third_ppa,crspa,prgp
,,0.0,2,2,100.0,41.0,0.0,0,0,0.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,4.0,154,175,88.0,2773.0,923.0,56,59,94.9,88,94,93.6,8,19,42.1,0,0.0,0.0,0.0,0,11,0,9
,,4.0,200,251,79.7,2839.0,782.0,111,126,88.1,72,82,87.8,6,26,23.1,0,0.7,0.9,-0.9,9,23,0,29
,,1.3,49,60,81.7,802.0,276.0,21,23,91.3,25,31,80.6,1,3,33.3,0,0.0,0.0,0.0,0,1,0,3
,,0.2,10,12,83.3,116.0,24.0,4,4,100.0,3,4,75.0,0,0,0.0,0,0.0,0.5,-0.5,1,0,0,1
,,3.5,44,59,74.6,728.0,139.0,20,24,83.3,20,27,74.1,3,4,75.0,0,0.5,0.6,-0.6,5,4,0,12
,,3.3,139,179,77.7,1908.0,920.0,79,91,86.8,41,51,80.4,9,17,52.9,0,1.1,0.3,-0.3,4,8,1,11
,,3.6,41,61,67.2,522.0,152.0,26,33,78.8,13,19,68.4,0,3,0.0,0,0.4,0.1,-0.1,1,2,0,6
,,3.1,24,42,57.1,331.0,66.0,14,20,70.0,6,12,50.0,1,3,33.3,0,0.0,0.1,-0.1,3,2,0,1
,,0.3,8,10,80.0,138.0,11.0,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0
,,0.0,1,3,33.3,21.0,19.0,0,1,0.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
,,4.0,241,276,87.3,4603.0,1976.0,98,106,92.5,117,121,96.7,25,47,53.2,0,0.1,0.1,-0.1,1,14,0,24
,,2.7,138,173,79.8,1902.0,727.0,84,93,90.3,36,51,70.6,8,11,72.7,1,0.5,0.7,0.3,2,7,0,9
,,2.5,87,99,87.9,1376.0,292.0,41,47,87.2,41,42,97.6,2,3,66.7,0,0.0,0.0,0.0,2,5,0,10
,,1.0,10,17,58.8,143.0,71.0,7,10,70.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,4
,,3.3,64,95,67.4,877.0,126.0,40,52,76.9,21,32,65.6,1,2,50.0,0,0.2,0.3,-0.3,5,5,0,3
,,2.0,42,60,70.0,602.0,143.0,24,27,88.9,16,20,80.0,1,11,9.1,0,0.0,0.0,0.0,0,2,0,4
,,3.2,132,161,82.0,1874.0,537.0,79,86,91.9,38,52,73.1,7,8,87.5,1,1.1,0.8,0.2,7,6,0,22
,,2.1,99,123,80.5,1814.0,639.0,36,43,83.7,52,60,86.7,9,16,56.3,0,0.1,0.2,-0.2,4,7,1,15
,,3.1,47,67,70.1,622.0,167.0,34,39,87.2,8,17,47.1,3,4,75.0,0,0.4,0.6,-0.6,4,2,0,5
,,0.8,18,25,72.0,270.0,58.0,6,7,85.7,11,15,73.3,0,1,0.0,0,0.0,0.0,0.0,1,0,0,3
,,2.7,102,142,71.8,1626.0,603.0,55,66,83.3,41,57,71.9,4,12,33.3,0,0.0,0.1,-0.1,2,10,0,9
,,3.2,121,140,86.4,2051.0,760.0,57,59,96.6,51,55,92.7,10,18,55.6,0,0.3,0.2,-0.2,4,11,2,18
,,4.0,233,264,88.3,3855.0,1005.0,97,104,93.3,124,138,89.9,11,14,78.6,0,0.4,0.2,-0.2,4,19,0,16
,,3.8,95,121,78.5,1603.0,606.0,45,53,84.9,37,46,80.4,9,12,75.0,0,0.1,0.1,-0.1,2,8,0,20
,,3.0,180,225,80.0,2993.0,750.0,85,95,89.5,81,94,86.2,12,23,52.2,0,0.2,0.3,-0.3,2,18,0,24
,,1.9,69,100,69.0,1062.0,465.0,38,49,77.6,30,38,78.9,1,6,16.7,0,0.2,0.0,0.0,0,6,2,11
,,3.2,97,122,79.5,1638.0,623.0,42,47,89.4,45,53,84.9,7,13,53.8,0,0.1,0.2,-0.2,4,6,3,7
,,1.9,132,158,83.5,2403.0,445.0,63,75,84.0,49,52,94.2,18,25,72.0,1,0.2,0.2,0.8,3,20,0,18
,,2.9,122,142,85.9,1812.0,403.0,72,79,91.1,35,41,85.4,10,12,83.3,2,0.5,1.3,0.7,8,12,0,15
,,2.6,96,124,77.4,1564.0,591.0,43,55,78.2,50,59,84.7,2,7,28.6,1,0.3,0.1,0.9,2,2,1,12
,,0.1,6,6,100.0,94.0,11.0,4,4,100.0,2,2,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.8,164,183,89.6,2505.0,683.0,88,94,93.6,68,73,93.2,4,5,80.0,0,0.1,0.1,-0.1,3,9,0,16
,,0.9,19,24,79.2,211.0,30.0,14,14,100.0,3,5,60.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,2
,,0.1,2,2,100.0,13.0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,1.0,19,21,90.5,196.0,45.0,15,16,93.8,2,3,66.7,0,0,0.0,0,0.0,0.0,0.0,1,1,0,2
,,1.9,23,33,69.7,270.0,24.0,16,21,76.2,4,7,57.1,1,1,100.0,0,0.0,0.1,-0.1,3,2,0,1
,,0.2,19,22,86.4,315.0,92.0,13,13,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,3,0,3
,,4.0,114,157,72.6,1946.0,540.0,58,70,82.9,39,54,72.2,14,25,56.0,2,1.7,1.8,0.2,11,8,3,11
,,2.0,186,196,94.9,3265.0,1341.0,72,73,98.6,101,104,97.1,10,15,66.7,0,0.0,0.0,0.0,0,4,0,4
,,1.8,28,35,80.0,320.0,45.0,15,19,78.9,9,11,81.8,0,0,0.0,0,0.2,0.0,0.0,0,0,0,3
,,2.7,63,78,80.8,1294.0,580.0,20,22,90.9,36,39,92.3,7,14,50.0,0,0.2,0.1,-0.1,1,5,1,6
,,2.4,59,73,80.8,720.0,190.0,42,46,91.3,12,16,75.0,1,1,100.0,0,0.2,0.1,-0.1,1,2,0,9
,,2.9,88,128,68.8,1579.0,573.0,38,50,76.0,41,54,75.9,8,17,47.1,0,0.0,0.0,0.0,0,8,0,11
,,0.1,3,4,75.0,27.0,0.0,3,3,100.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
,,4.0,150,171,87.7,2982.0,1058.0,43,44,97.7,95,104,91.3,11,19,57.9,0,0.1,0.0,0.0,0,8,0,9
,,1.0,43,50,86.0,658.0,154.0,23,23,100.0,18,21,85.7,1,3,33.3,0,0.0,0.0,0.0,1,7,0,7
,,2.8,71,80,88.8,1003.0,242.0,44,46,95.7,21,21,100.0,4,7,57.1,0,0.0,0.0,0.0,1,4,0,5
,,3.1,116,148,78.4,1614.0,491.0,73,83,88.0,35,45,77.8,2,9,22.2,0,0.5,1.3,-1.3,5,8,0,24
,,1.9,63,91,69.2,1023.0,419.0,40,47,85.1,13,22,59.1,8,11,72.7,0,0.4,0.2,-0.2,4,6,2,6
,,3.0,259,276,93.8,4768.0,1704.0,88,90,97.8,150,158,94.9,18,23,78.3,0,0.1,0.0,0.0,0,23,0,11
,,1.1,41,48,85.4,711.0,177.0,18,21,85.7,20,21,95.2,3,6,50.0,0,0.0,0.0,0.0,0,0,0,0
,,4.0,102,150,68.0,3532.0,2879.0,13,13,100.0,40,41,97.6,49,96,51.0,0,0.0,0.0,0.0,0,1,0,0
,,3.7,88,117,75.2,1518.0,476.0,44,49,89.8,31,44,70.5,11,19,57.9,2,0.7,0.7,1.3,9,9,2,14
,,0.6,10,11,90.9,174.0,21.0,3,3,100.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,0,0,1
,,1.1,18,25,72.0,238.0,68.0,14,15,93.3,3,5,60.0,1,2,50.0,1,0.1,0.1,0.9,2,2,0,2
,,1.7,115,129,89.1,2198.0,1035.0,36,39,92.3,67,69,97.1,10,17,58.8,0,0.0,0.0,0.0,0,4,0,10
,,0.8,56,58,96.6,945.0,174.0,29,30,96.7,23,23,100.0,4,4,100.0,0,0.0,0.0,0.0,0,1,0,3
,,1.4,29,46,63.0,456.0,129.0,15,20,75.0,10,16,62.5,3,6,50.0,0,0.3,0.0,0.0,0,3,0,4
,,3.0,119,144,82.6,1852.0,665.0,56,65,86.2,57,64,89.1,4,7,57.1,1,0.5,0.5,0.5,4,14,0,21
,,0.9,36,48,75.0,646.0,141.0,15,16,93.8,17,21,81.0,4,10,40.0,0,0.0,0.0,0.0,0,3,0,4
,,0.8,35,40,87.5,614.0,163.0,15,16,93.8,18,19,94.7,2,4,50.0,0,0.2,0.0,0.0,1,1,1,4
,,3.0,235,261,90.0,3622.0,1079.0,114,117,97.4,110,120,91.7,7,15,46.7,0,0.0,0.0,0.0,0,13,0,10
,,1.9,80,94,85.1,1237.0,466.0,47,50,94.0,30,34,88.2,3,7,42.9,1,0.3,0.1,0.9,1,7,2,8
,,4.0,116,131,88.5,2582.0,1653.0,34,34,100.0,57,57,100.0,25,39,64.1,0,0.0,0.0,0.0,0,1,0,0
,,1.9,116,133,87.2,1648.0,348.0,71,78,91.0,34,40,85.0,7,9,77.8,1,0.4,0.7,0.3,6,8,1,12
,,3.5,65,100,65.0,1112.0,232.0,35,49,71.4,21,34,61.8,8,15,53.3,0,0.4,0.3,-0.3,6,4,1,6
,,4.0,145,161,90.1,2781.0,988.0,53,57,93.0,75,81,92.6,15,21,71.4,0,0.0,0.0,0.0,0,5,0,8
,,0.0,4,4,100.0,48.0,8.0,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,3.0,158,193,81.9,2606.0,652.0,71,83,85.5,67,75,89.3,12,23,52.2,1,0.4,0.4,0.6,7,15,1,12
,,3.9,128,154,83.1,2085.0,424.0,65,74,87.8,54,63,85.7,7,10,70.0,0,0.6,0.2,-0.2,5,12,2,16
,,0.3,3,7,42.9,44.0,23.0,2,5,40.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,2
,,1.9,45,60,75.0,774.0,244.0,20,25,80.0,20,25,80.0,3,6,50.0,0,0.3,0.0,0.0,0,6,0,6
,,3.8,124,165,75.2,1790.0,668.0,70,89,78.7,40,47,85.1,8,12,66.7,0,0.4,0.3,-0.3,5,15,0,26
,,0.4,32,35,91.4,510.0,107.0,17,18,94.4,12,13,92.3,2,2,100.0,0,0.1,0.0,0.0,2,2,2,3
,,3.1,66,91,72.5,1072.0,282.0,37,45,82.2,23,29,79.3,6,8,75.0,0,0.1,0.1,-0.1,2,5,1,8
,,3.1,117,146,80.1,2117.0,505.0,44,57,77.2,64,71,90.1,6,13,46.2,1,0.1,0.2,0.8,3,11,0,17
,,3.0,133,145,91.7,2573.0,818.0,45,46,97.8,70,75,93.3,17,22,77.3,0,0.0,0.0,0.0,0,7,0,4
,,4.0,137,162,84.6,2806.0,1005.0,44,49,89.8,75,80,93.8,17,32,53.1,0,0.0,0.0,0.0,0,5,0,4
,,2.5,66,91,72.5,1015.0,483.0,38,46,82.6,20,28,71.4,6,12,50.0,0,0.6,0.3,-0.3,5,4,3,2
,,0.0,1,2,50.0,25.0,25.0,0,0,0.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.9,22,43,51.2,324.0,62.0,14,24,58.3,8,12,66.7,0,0,0.0,0,0.2,0.2,-0.2,2,3,1,2
,,4.0,95,112,84.8,2178.0,1596.0,32,32,100.0,37,39,94.9,26,41,63.4,0,0.0,0.0,0.0,0,0,0,0
,,4.0,186,227,81.9,3330.0,1175.0,74,84,88.1,84,98,85.7,22,35,62.9,1,0.2,0.2,0.8,3,21,1,22
,,2.4,87,99,87.9,1638.0,512.0,43,45,95.6,29,32,90.6,15,18,83.3,0,0.3,0.0,0.0,0,13,0,15
,,3.7,109,154,70.8,1931.0,705.0,50,60,83.3,45,59,76.3,13,28,46.4,1,0.5,0.6,0.4,4,6,2,10
,,2.1,73,96,76.0,1203.0,449.0,35,38,92.1,34,42,81.0,3,13,23.1,0,0.0,0.1,-0.1,2,5,0,7
,,2.8,231,248,93.1,3703.0,1572.0,107,111,96.4,119,125,95.2,3,7,42.9,0,0.0,0.0,0.0,0,4,0,4
,,1.9,77,89,86.5,1516.0,647.0,38,39,97.4,24,28,85.7,15,20,75.0,0,0.1,0.2,-0.2,1,5,0,7
,,1.5,43,49,87.8,673.0,202.0,19,21,90.5,20,22,90.9,2,3,66.7,0,0.4,0.1,-0.1,2,2,1,9
,,1.0,47,56,83.9,845.0,482.0,20,20,100.0,23,26,88.5,4,9,44.4,0,0.0,0.5,-0.5,1,4,1,4
,,0.4,9,10,90.0,111.0,0.0,6,6,100.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.2,8,9,88.9,189.0,93.0,3,3,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0
,,1.5,33,45,73.3,463.0,105.0,21,26,80.8,10,13,76.9,1,3,33.3,0,0.1,0.1,-0.1,4,2,0,2
,,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.8,118,160,73.8,2031.0,685.0,49,60,81.7,61,72,84.7,7,24,29.2,0,0.2,0.5,-0.5,1,4,0,6
,,0.6,44,57,77.2,672.0,164.0,23,28,82.1,15,17,88.2,3,6,50.0,0,0.1,0.0,0.0,0,3,0,8
,,2.0,87,108,80.6,1570.0,683.0,45,52,86.5,32,35,91.4,10,18,55.6,0,0.0,0.0,0.0,1,3,0,6
,,3.8,241,279,86.4,3941.0,1662.0,114,124,91.9,115,121,95.0,8,24,33.3,0,0.1,0.0,0.0,0,22,0,25
,,0.5,19,24,79.2,215.0,55.0,11,14,78.6,5,7,71.4,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,2.1,41,54,75.9,488.0,59.0,29,35,82.9,11,12,91.7,0,1,0.0,0,0.1,0.1,-0.1,2,2,0,4
,,3.7,63,82,76.8,891.0,267.0,32,38,84.2,22,30,73.3,2,5,40.0,1,0.2,0.2,0.8,4,4,0,8
,,0.1,3,3,100.0,63.0,37.0,2,2,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0
,,3.7,116,164,70.7,1973.0,782.0,60,76,78.9,33,49,67.3,17,30,56.7,1,0.8,0.4,0.6,10,14,2,15
,,2.6,120,153,78.4,1802.0,439.0,68,87,78.2,38,43,88.4,9,11,81.8,2,1.5,2.5,-0.5,9,11,1,17
,,4.0,97,121,80.2,2307.0,1522.0,22,22,100.0,57,58,98.3,18,41,43.9,0,0.0,0.0,0.0,0,1,0,0
,,0.2,5,6,83.3,51.0,0.0,3,3,100.0,1,2,50.0,0,0,0.0,0,0.0,0.1,-0.1,1,0,0,0
,,4.0,326,340,95.9,5850.0,2202.0,112,115,97.4,188,191,98.4,18,20,90.0,1,0.1,0.1,0.9,1,29,0,20
,,3.1,52,60,86.7,833.0,138.0,22,26,84.6,22,24,91.7,4,4,100.0,0,0.2,0.2,-0.2,1,2,0,9
,,3.3,96,117,82.1,1482.0,228.0,51,61,83.6,40,43,93.0,2,7,28.6,0,0.1,0.1,-0.1,1,9,0,10
,,0.0,1,2,50.0,6.0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.2,6,7,85.7,117.0,60.0,3,4,75.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,1
,,1.5,22,27,81.5,218.0,18.0,16,18,88.9,3,5,60.0,0,1,0.0,0,0.1,0.0,0.0,0,0,0,0
,,1.3,63,78,80.8,1152.0,570.0,20,22,90.9,37,40,92.5,5,8,62.5,0,0.0,0.0,0.0,0,9,0,7
,,0.2,1,4,25.0,9.0,0.0,1,3,33.3,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0
,,0.0,7,9,77.8,122.0,33.0,3,3,100.0,4,5,80.0,0,0,0.0,0,0.0,0.0,0.0,0,3,0,2
,,3.1,100,132,75.8,1362.0,302.0,59,71,83.1,32,40,80.0,4,7,57.1,0,0.4,0.6,-0.6,3,8,0,11
,,4.0,114,157,72.6,3079.0,2141.0,10,10,100.0,67,68,98.5,35,76,46.1,0,0.0,0.0,0.0,0,0,0,0
,,0.1,16,17,94.1,325.0,89.0,7,7,100.0,7,7,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,3
,,4.0,99,122,81.1,2158.0,1199.0,27,27,100.0,54,54,100.0,17,40,42.5,0,0.0,0.0,0.0,0,0,0,0
,,0.9,35,43,81.4,534.0,170.0,21,21,100.0,11,14,78.6,2,4,50.0,1,0.8,1.2,-0.2,5,3,2,6
,,4.0,250,297,84.2,4599.0,2212.0,87,92,94.6,135,157,86.0,23,40,57.5,0,0.0,0.0,0.0,1,15,1,16
,,2.9,114,129,88.4,1734.0,512.0,61,65,93.8,44,51,86.3,5,6,83.3,0,0.1,0.1,-0.1,1,7,1,5
,,3.5,137,162,84.6,2258.0,520.0,59,68,86.8,63,71,88.7,9,14,64.3,1,0.2,0.6,0.4,5,15,0,16
,,0.3,14,17,82.4,190.0,22.0,10,12,83.3,4,5,80.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,1
,,3.0,99,135,73.3,1601.0,670.0,48,58,82.8,44,55,80.0,6,13,46.2,0,0.1,0.1,-0.1,1,10,2,10
,,1.0,43,47,91.5,782.0,287.0,18,19,94.7,23,25,92.0,2,3,66.7,0,0.0,0.0,0.0,0,3,0,3
